Gene1	Gene2	EdgeWeight
EgrNab	EgrNab	120
cJun	cJun	119
Cebpa	EgrNab	118
EgrNab	Pu1	117
Gata2	EgrNab	116
Gfi1	EgrNab	115
cJun	Gfi1	114
EgrNab	Gfi1	113
Cebpa	Gfi1	112
Pu1	EgrNab	111
Fli1	Pu1	110
Scl	Pu1	109
Pu1	cJun	108
Pu1	Gfi1	107
Gfi1	cJun	106
Pu1	Pu1	105
Gfi1	Gata1	104
cJun	EgrNab	103
Gata1	Pu1	102
Fog1	Pu1	101
Cebpa	cJun	100
Cebpa	Gata2	99
EgrNab	cJun	98
Eklf	cJun	97
Gata2	Cebpa	96
Fli1	Fli1	95
Gata2	cJun	94
Gata1	Gfi1	93
Gata2	Gata1	92
Eklf	Pu1	91
cJun	Gata2	90
Pu1	Cebpa	89
Gfi1	Cebpa	88
Cebpa	Pu1	87
Gata1	Gata2	86
Gata2	Gfi1	85
Scl	Fli1	84
Gata1	Fli1	83
Eklf	Fli1	82
Gfi1	Gata2	81
cJun	Cebpa	80
Eklf	EgrNab	79
Eklf	Eklf	78
Gfi1	Pu1	77
Gata2	Gata2	76
Fog1	Cebpa	75
cJun	Pu1	74
Gata1	cJun	73
Scl	EgrNab	72
Fli1	EgrNab	71
Eklf	Gata1	70
Fog1	Fli1	69
Pu1	Gata1	68
Gfi1	Gfi1	67
Fli1	Gata1	66
Fog1	cJun	65
Fli1	cJun	64
Gata2	Pu1	63
Cebpa	Cebpa	62
Scl	Gata1	61
Gata1	EgrNab	60
Fli1	Gfi1	59
Scl	cJun	58
Fog1	Fog1	57
EgrNab	Cebpa	56
Gata1	Gata1	55
Fog1	Gfi1	54
Gata1	Cebpa	53
Scl	Gfi1	52
Scl	Scl	51
Fog1	Scl	50
Fog1	Eklf	49
Fog1	Gata1	48
Fog1	EgrNab	47
Fli1	Gata2	46
Eklf	Cebpa	45
Eklf	Gfi1	44
Fli1	Cebpa	43
EgrNab	Gata1	42
Scl	Cebpa	41
Scl	Fog1	40
Fog1	Gata2	39
Cebpa	Gata1	38
Scl	Eklf	37
Scl	Gata2	36
Eklf	Gata2	35
Eklf	Fog1	34
Gata1	Eklf	33
cJun	Gata1	32
Fli1	Scl	31
Gata2	Fli1	30
Pu1	Gata2	29
Fli1	Eklf	28
Fli1	Fog1	27
EgrNab	Gata2	26
Eklf	Scl	25
Gata1	Fog1	24
Pu1	Fli1	23
cJun	Fli1	22
Gata1	Scl	21
Gfi1	Fli1	20
EgrNab	Eklf	19
Gfi1	Eklf	18
Gata2	Fog1	17
Pu1	Scl	16
Cebpa	Fli1	15
cJun	Fog1	14
Gfi1	Fog1	13
Pu1	Eklf	12
Gata2	Eklf	11
Gfi1	Scl	10
Gata2	Scl	9
Cebpa	Eklf	8
EgrNab	Fog1	7
EgrNab	Scl	6
cJun	Scl	5
Pu1	Fog1	4
cJun	Eklf	3
EgrNab	Fli1	2
Cebpa	Scl	1
Cebpa	Fog1	0
