Gene1	Gene2	EdgeWeight
Fli1	Eklf	120
cJun	cJun	119
Scl	Eklf	118
Eklf	Eklf	117
Fog1	Gata1	116
Pu1	cJun	115
Gfi1	Gfi1	114
Scl	Gfi1	113
Cebpa	Eklf	112
Gata1	Pu1	111
Gfi1	Cebpa	110
Gata2	Pu1	109
cJun	Gfi1	108
Pu1	Pu1	107
Eklf	Scl	106
Gfi1	Eklf	105
Gata1	Gata2	104
Cebpa	Gata1	103
Cebpa	Gata2	102
Gata2	Eklf	101
Fog1	Eklf	100
cJun	Cebpa	99
Gata1	Fli1	98
Eklf	Cebpa	97
Pu1	Gata2	96
Gata1	Cebpa	95
Gata2	Gata1	94
cJun	Eklf	93
EgrNab	Eklf	92
Scl	Fog1	91
Eklf	Gata2	90
Eklf	Gfi1	89
Fli1	Fog1	88
Pu1	Cebpa	87
EgrNab	Pu1	86
Fog1	Gfi1	85
Fog1	Scl	84
Gata2	Gata2	83
Pu1	Gfi1	82
EgrNab	Fli1	81
Gfi1	Scl	80
EgrNab	Gfi1	79
Fog1	Cebpa	78
Gata1	Eklf	77
cJun	Pu1	76
Fli1	Gata1	75
Fog1	Fli1	74
Gata2	Scl	73
Fli1	Gfi1	72
Fli1	Gata2	71
Gata2	cJun	70
Cebpa	Cebpa	69
Scl	Scl	68
Fli1	Scl	67
EgrNab	Gata1	66
EgrNab	Gata2	65
Gfi1	Pu1	64
EgrNab	Fog1	63
Gfi1	Gata2	62
Cebpa	cJun	61
Fli1	Cebpa	60
Cebpa	Gfi1	59
EgrNab	Cebpa	58
Eklf	Gata1	57
Scl	Gata2	56
Scl	Fli1	55
Gata1	Gata1	54
Gata2	Fli1	53
Fog1	Fog1	52
Fli1	Fli1	51
Pu1	Eklf	50
Gfi1	Gata1	49
Scl	Gata1	48
Gata1	Scl	47
Fog1	Gata2	46
Cebpa	Fli1	45
Pu1	Gata1	44
Cebpa	Pu1	43
cJun	Gata1	42
Scl	Cebpa	41
Cebpa	Scl	40
Eklf	Fli1	39
cJun	Gata2	38
EgrNab	Scl	37
Gata2	Fog1	36
Gfi1	cJun	35
Gata1	Gfi1	34
Fli1	cJun	33
Gata2	Cebpa	32
Eklf	Fog1	31
cJun	Fog1	30
Gata2	Gfi1	29
Pu1	Scl	28
Gata1	Fog1	27
Gata1	cJun	26
Pu1	Fli1	25
Cebpa	Fog1	24
cJun	Fli1	23
cJun	Scl	22
Scl	cJun	21
EgrNab	cJun	20
Eklf	Pu1	19
Eklf	cJun	18
Gfi1	Fli1	17
Pu1	Fog1	16
Gfi1	Fog1	15
Fog1	cJun	14
Scl	Pu1	13
Fli1	Pu1	12
Fog1	Pu1	11
EgrNab	EgrNab	10
cJun	EgrNab	9
Gata2	EgrNab	8
Eklf	EgrNab	7
Pu1	EgrNab	6
Scl	EgrNab	5
Fli1	EgrNab	4
Cebpa	EgrNab	3
Fog1	EgrNab	2
Gfi1	EgrNab	1
Gata1	EgrNab	0
