Gene1	Gene2	EdgeWeight
Fog1	Pu1	2.0
Scl	Pu1	2.0
EgrNab	Gfi1	2.0
EgrNab	Cebpa	2.0
EgrNab	Gata2	0.5
Eklf	Pu1	0.5
Eklf	Pu1	0.5
EgrNab	Fog1	0.22221999999999997
Fog1	Gfi1	0.22221999999999997
EgrNab	Eklf	0.22221999999999997
Scl	cJun	0.22221999999999997
Scl	Gata1	0.125
Fli1	EgrNab	0.08
Pu1	Scl	0.08
Fli1	Cebpa	0.08
cJun	Gfi1	0.05555
Scl	Gata2	0.05555
Fli1	Pu1	0.05555
EgrNab	Gata1	0.05555
Pu1	Cebpa	0.04081
Eklf	Cebpa	0.04081
cJun	Gata1	0.04081
cJun	Fog1	0.03125
Fog1	Cebpa	0.03125
Fli1	Gata2	0.02469
Fog1	cJun	0.02469
cJun	Eklf	0.02
Fli1	cJun	0.02
Eklf	EgrNab	0.02
Fli1	Gata1	0.01652
cJun	Scl	0.01652
Eklf	Gfi1	0.013880000000000002
Eklf	Gata2	0.013880000000000002
Gata1	Fli1	0.013880000000000002
Fog1	Gata1	0.01183
Fli1	Eklf	0.01183
Gfi1	Cebpa	0.01183
cJun	Fli1	0.01183
cJun	Gata2	0.0102
Fog1	Gata2	0.008879999999999999
Gfi1	Gata1	0.007809999999999999
Gata1	Cebpa	0.007809999999999999
Fli1	Scl	0.007809999999999999
Gata1	Gfi1	0.007809999999999999
Pu1	Fog1	0.00692
Gfi1	cJun	0.00692
Cebpa	Gfi1	0.00692
Cebpa	Eklf	0.00617
Fli1	Gfi1	0.00617
Gfi1	Pu1	0.00617
Eklf	Fli1	0.00554
Gata2	EgrNab	0.00554
cJun	Cebpa	0.005
Gfi1	Gata2	0.00413
Gata1	Pu1	0.0037799999999999995
Pu1	Eklf	0.0037799999999999995
Pu1	Gfi1	0.0037799999999999995
EgrNab	Pu1	0.0034700000000000004
Gata2	Gfi1	0.0034700000000000004
Fli1	Fog1	0.0032
Eklf	Gata1	0.00295
Gata2	Eklf	0.00295
Scl	Eklf	0.00237
Gfi1	EgrNab	0.00237
EgrNab	cJun	0.0022199999999999998
Gata2	Cebpa	0.0022199999999999998
Gata2	cJun	0.0022199999999999998
cJun	Pu1	0.0020800000000000003
Cebpa	Gata1	0.00183
Pu1	cJun	0.00183
Pu1	Fli1	0.00173
Fog1	Scl	0.0016300000000000002
Gata1	Fog1	0.0016300000000000002
Gata2	Pu1	0.0015400000000000001
Cebpa	EgrNab	0.0015400000000000001
cJun	EgrNab	0.00146
Gfi1	Scl	0.00146
Gfi1	Eklf	0.0013800000000000002
Gata2	Gata1	0.00131
Pu1	EgrNab	0.00125
Eklf	Fog1	0.00118
Cebpa	Pu1	0.0011300000000000001
Gata1	Eklf	0.00108
Gfi1	Fli1	0.00108
Scl	Cebpa	0.00103
Gata1	EgrNab	0.00098
Gata2	Scl	0.0009400000000000001
Cebpa	cJun	0.0009400000000000001
Pu1	Gata2	0.00086
Cebpa	Fli1	0.0008300000000000001
EgrNab	Scl	0.0008
Cebpa	Scl	0.0007599999999999999
Gata1	Gata2	0.00073
Cebpa	Fog1	0.00073
Fog1	EgrNab	0.00073
Cebpa	Gata2	0.00073
Gfi1	Fog1	0.0007099999999999999
Gata2	Fli1	0.0006799999999999999
Fog1	Eklf	0.00066
Pu1	Gata1	0.00063
Eklf	Scl	0.00043
