Gene1	Gene2	EdgeWeight
Pu1	EgrNab	120
Fog1	Eklf	120
Cebpa	Gata1	120
Pu1	Pu1	120
Cebpa	Fli1	119
Cebpa	Pu1	119
Fli1	Eklf	119
EgrNab	EgrNab	119
Scl	Eklf	118
Gata1	Pu1	118
Gfi1	cJun	118
Scl	Fli1	117
Pu1	cJun	117
Gfi1	Gata2	117
Gata2	cJun	116
Gata1	Gata1	116
cJun	Pu1	116
Gata2	Gata1	115
Scl	Cebpa	115
Fli1	Gfi1	115
Fli1	Pu1	114
Fli1	Gata2	114
cJun	cJun	114
Cebpa	cJun	113
Fli1	Cebpa	113
Eklf	Cebpa	113
Cebpa	Cebpa	112
Scl	Gata2	112
Gfi1	Pu1	112
Gata1	Gata2	112
cJun	EgrNab	111
Fog1	Gata2	111
Gata1	cJun	111
Fli1	Gata1	111
Gata2	Gfi1	110
Cebpa	Gata2	109
Eklf	Eklf	109
Eklf	Pu1	109
Fog1	Cebpa	108
Gata2	Fli1	108
Fog1	Pu1	108
Eklf	Gata1	108
cJun	Gfi1	107
Cebpa	EgrNab	107
Pu1	Gata2	107
EgrNab	cJun	106
Gata1	Eklf	106
Fli1	Scl	106
Fli1	cJun	106
EgrNab	Cebpa	105
cJun	Gata2	105
Eklf	Gfi1	105
Pu1	Cebpa	105
EgrNab	Pu1	104
Eklf	Fog1	104
Scl	Pu1	104
Gfi1	Gata1	103
Fog1	cJun	103
Gata1	Gfi1	102
Scl	cJun	101
Fog1	Fli1	101
Gata2	Pu1	100
EgrNab	Eklf	100
Fog1	Gfi1	100
EgrNab	Gfi1	98
Scl	Gata1	98
Gfi1	Gfi1	97
Eklf	cJun	97
Gata2	Eklf	97
Fog1	EgrNab	97
cJun	Cebpa	96
Fog1	Gata1	95
Pu1	Gfi1	95
Pu1	Fli1	94
Gata1	Cebpa	94
cJun	Gata1	93
EgrNab	Scl	92
Gata2	Scl	89
Gfi1	EgrNab	86
Scl	Scl	86
Gfi1	Cebpa	85
EgrNab	Gata2	84
Gfi1	Scl	83
cJun	Scl	81
Pu1	Gata1	80
Gata2	Gata2	79
EgrNab	Gata1	79
Gata2	Cebpa	78
Eklf	Gata2	78
Fli1	EgrNab	76
cJun	Fli1	75
Pu1	Eklf	74
Scl	Gfi1	73
Gata1	Fli1	72
Gfi1	Fog1	72
Gata1	EgrNab	71
Eklf	EgrNab	70
Fog1	Scl	70
Cebpa	Scl	69
Gata2	Fog1	68
Fog1	Fog1	68
EgrNab	Fog1	66
Gata2	EgrNab	63
Pu1	Scl	62
cJun	Fog1	61
Gfi1	Fli1	59
Gfi1	Eklf	57
Cebpa	Gfi1	56
Scl	EgrNab	55
Eklf	Fli1	52
Cebpa	Eklf	51
EgrNab	Fli1	51
Gata1	Fog1	50
Gata1	Scl	46
Eklf	Scl	45
Cebpa	Fog1	44
Scl	Fog1	44
Fli1	Fli1	43
cJun	Eklf	36
Fli1	Fog1	30
Pu1	Fog1	29
