Gene1	Gene2	EdgeWeight
Cebpa	Gfi1	1.967379131992887
Gfi1	Cebpa	1.967379131992887
cJun	EgrNab	1.9477575054022531
EgrNab	cJun	1.9477575054022531
Scl	Fog1	1.8418276391408623
Fog1	Scl	1.8418276391408623
Gata2	Gata1	1.837903685260624
Gata1	Gata2	1.837903685260624
Gfi1	EgrNab	1.7698525679603758
EgrNab	Gfi1	1.7698525679603758
Pu1	Gata1	1.7677257046978825
Gata1	Pu1	1.7677257046978825
Cebpa	EgrNab	1.7239526921260562
EgrNab	Cebpa	1.7239526921260562
Scl	Gata1	1.7156586417191306
Gata1	Scl	1.7156586417191306
Fog1	Gata1	1.7143253672015666
Gata1	Fog1	1.7143253672015666
Gata2	Pu1	1.7062932797776624
Pu1	Gata2	1.7062932797776624
cJun	Gfi1	1.6865755197050545
Gfi1	cJun	1.6865755197050545
Eklf	Fog1	1.6744406548046546
Fog1	Eklf	1.6744406548046546
Fli1	Fog1	1.6679796802690947
Fog1	Fli1	1.6679796802690947
Eklf	Scl	1.665361116394965
Scl	Eklf	1.665361116394965
Scl	Fli1	1.636991212048717
Fli1	Scl	1.636991212048717
cJun	Cebpa	1.6270497917799034
Cebpa	cJun	1.6270497917799034
Pu1	Scl	1.6089280233816834
Scl	Pu1	1.6089280233816834
Pu1	Fog1	1.57746213013292
Fog1	Pu1	1.57746213013292
Eklf	Fli1	1.3976618630592108
Fli1	Eklf	1.3976618630592108
Eklf	Gata1	1.3609382239008845
Gata1	Eklf	1.3609382239008845
Fli1	Gata1	1.315228917793953
Gata1	Fli1	1.315228917793953
Eklf	Pu1	1.1983059646689636
Pu1	Eklf	1.1983059646689636
Pu1	Fli1	1.1779834899172592
Fli1	Pu1	1.1779834899172592
cJun	Gata1	1.1214946174794878
Gata1	cJun	1.1214946174794878
cJun	Gata2	1.1210939385165055
Gata2	cJun	1.1210939385165055
Gata2	Eklf	1.0187841877429569
Eklf	Gata2	1.0187841877429569
Gata2	Fli1	1.0152656899674564
Fli1	Gata2	1.0152656899674564
Gata2	Gfi1	0.8789280177106977
Gfi1	Gata2	0.8789280177106977
Cebpa	Fog1	0.6930931141060217
Fog1	Cebpa	0.6930931141060217
Scl	Cebpa	0.6646405222289868
Cebpa	Scl	0.6646405222289868
cJun	Pu1	0.6522956596395892
Pu1	cJun	0.6522956596395892
Gata2	Scl	0.6177715616885755
Scl	Gata2	0.6177715616885755
Gata2	Cebpa	0.5984469325008963
Cebpa	Gata2	0.5984469325008963
Gata2	Fog1	0.5229067601097899
Fog1	Gata2	0.5229067601097899
Gata2	EgrNab	0.49159348955121
EgrNab	Gata2	0.49159348955121
Gata1	EgrNab	0.4645609245855742
EgrNab	Gata1	0.4645609245855742
Fog1	Gfi1	0.4631429049378821
Gfi1	Fog1	0.4631429049378821
Scl	Gfi1	0.4345920452940909
Gfi1	Scl	0.4345920452940909
Cebpa	Gata1	0.4273454781327383
Gata1	Cebpa	0.4273454781327383
Pu1	Gfi1	0.4195508191111496
Gfi1	Pu1	0.4195508191111496
Gfi1	Gata1	0.4071310527293087
Gata1	Gfi1	0.4071310527293087
Eklf	Cebpa	0.4011368511472819
Cebpa	Eklf	0.4011368511472819
Fli1	Gfi1	0.3744761658113992
Gfi1	Fli1	0.3744761658113992
Fli1	EgrNab	0.3480922652823535
EgrNab	Fli1	0.3480922652823535
Eklf	Gfi1	0.3313634325956226
Gfi1	Eklf	0.3313634325956226
cJun	Eklf	0.3286326062125352
Eklf	cJun	0.3286326062125352
Fog1	EgrNab	0.3280117793286481
EgrNab	Fog1	0.3280117793286481
Pu1	Cebpa	0.32077538193248123
Cebpa	Pu1	0.32077538193248123
cJun	Scl	0.31866416464277103
Scl	cJun	0.31866416464277103
cJun	Fli1	0.2943482518614837
Fli1	cJun	0.2943482518614837
cJun	Fog1	0.26813356910514985
Fog1	cJun	0.26813356910514985
Pu1	EgrNab	0.2678526021099879
EgrNab	Pu1	0.2678526021099879
Fli1	Cebpa	0.2533500388041157
Cebpa	Fli1	0.2533500388041157
Scl	EgrNab	0.21458498797987785
EgrNab	Scl	0.21458498797987785
Eklf	EgrNab	0.19707763290803856
EgrNab	Eklf	0.19707763290803856
