Gene1	Gene2	EdgeWeight
Gata1	Pu1	0.132528032046513
Gata1	Fog1	0.0922054303383281
Gata2	Cebpa	0.0907033664586041
Gata1	Cebpa	0.0881514932856032
cJun	EgrNab	0.0876745042081197
EgrNab	cJun	0.0832672409911811
Gata1	cJun	0.0797322010796129
cJun	Pu1	0.0778599586175653
Gata1	Fli1	0.0768277851849096
Gata2	Gfi1	0.0765838161286776
Gata1	Gata2	0.0759514689211599
Gata1	Gfi1	0.0692426818621801
Pu1	EgrNab	0.0687420555214231
cJun	Gata2	0.068736086684871
Gfi1	Cebpa	0.0681956362726327
cJun	Scl	0.0680017346893355
Gata2	Gata1	0.0677727788646062
Gfi1	Gata2	0.0676146449684806
Gfi1	cJun	0.0675308779806678
Fog1	Gata1	0.0671186764537995
Gata2	Fog1	0.0649260809777805
cJun	Cebpa	0.0625936844617276
Gata1	Scl	0.0609732746588061
Gata2	Scl	0.0605046493152026
Gata2	Eklf	0.0602030037296447
cJun	Fog1	0.0584098486313999
Pu1	cJun	0.0583958373475193
Gata2	cJun	0.0562371291984376
Cebpa	Gata1	0.0556595804154578
Fli1	Cebpa	0.0554988399642279
Eklf	Fli1	0.0554720982153566
Pu1	Cebpa	0.0551763365771514
Fli1	Gata1	0.0550822592869254
Gata2	Fli1	0.054174671515145
Cebpa	Gfi1	0.0539950668421168
Cebpa	Fog1	0.0534640049846191
Cebpa	Pu1	0.0531953155781318
Gfi1	Fog1	0.0527996526577465
EgrNab	Pu1	0.0498996297633651
Cebpa	Fli1	0.049683695836297004
Pu1	Gfi1	0.0488018555163828
Gata1	Eklf	0.0486558744021378
Gfi1	Pu1	0.0483275910974658
Fog1	Fli1	0.047520381276928994
Fog1	Eklf	0.0469759955306897
Pu1	Fli1	0.0468824671505207
cJun	Gata1	0.0465238609258307
cJun	Gfi1	0.0463997565503118
EgrNab	Gfi1	0.0462336290074151
Cebpa	cJun	0.04577982235985299
Gata1	EgrNab	0.0456604223617104
Eklf	Fog1	0.04551797229477201
Fli1	Eklf	0.042105534434142
Cebpa	Eklf	0.0420993428587027
Scl	EgrNab	0.0418682571468405
Cebpa	Scl	0.0418483222516399
cJun	Fli1	0.0416342280278644
Eklf	EgrNab	0.0410266450084753
Fog1	EgrNab	0.0409173698031099
Gfi1	Fli1	0.0408592928340459
Gata2	Pu1	0.0405690706159639
Scl	Fli1	0.0404548905123078
Fli1	Gfi1	0.0399864238429721
Cebpa	Gata2	0.0397969696367154
EgrNab	Scl	0.038935461394920996
Pu1	Fog1	0.0374711978711797
EgrNab	Fli1	0.0352638991720201
Pu1	Gata1	0.0350256572527658
EgrNab	Gata1	0.0345906055987318
Fog1	Scl	0.0334438217915886
Fli1	Scl	0.0330443650638315
Fli1	cJun	0.032487023936349994
Fog1	Gfi1	0.0322596927465956
Pu1	Eklf	0.0320981505107651
Fli1	Fog1	0.0319553017457766
Eklf	Gata1	0.0317253263616962
Fli1	Gata2	0.0315959187582514
Pu1	Scl	0.0313811107242936
Scl	Gata1	0.0311207247720144
Scl	Fog1	0.0306182474078551
Eklf	cJun	0.0304997878590811
Fog1	cJun	0.0303151738027868
Gfi1	Scl	0.0302208508330471
cJun	Eklf	0.0301765280123597
Eklf	Pu1	0.0294301335176979
Scl	cJun	0.0294077980134439
Gfi1	Gata1	0.028948771941148
Eklf	Gata2	0.0288816726635676
Fli1	Pu1	0.0283162910744849
Fog1	Pu1	0.0278688305029002
Scl	Eklf	0.0277879929456897
Pu1	Gata2	0.0276843002037922
Gfi1	Eklf	0.0276708886285464
Fog1	Cebpa	0.0272716177771876
Eklf	Gfi1	0.0271589867257009
Scl	Gfi1	0.0262451980325475
Gata2	EgrNab	0.0251058256154823
Eklf	Scl	0.0241939139871289
EgrNab	Cebpa	0.0235829841132869
Fog1	Gata2	0.0224872137479445
Eklf	Cebpa	0.0221769725837335
EgrNab	Eklf	0.0186974946670422
EgrNab	Fog1	0.0181731730536997
Fli1	EgrNab	0.0175213534299477
EgrNab	Gata2	0.0169652331797768
Scl	Pu1	0.0168644151744745
Cebpa	EgrNab	0.0164707048619928
Gfi1	EgrNab	0.0136749722917788
Scl	Gata2	0.0130403856395432
Scl	Cebpa	0.0126255244192974
