Gene1	Gene2	EdgeWeight
Gfi1	Pu1	0.10114971916947699
Gata1	Fog1	0.0994561328713227
Gfi1	Cebpa	0.0934897894744502
Gata1	cJun	0.0911966417849827
Pu1	Gfi1	0.0868852029729075
cJun	Cebpa	0.0856131151468616
Cebpa	Gfi1	0.0831866585970733
Cebpa	Pu1	0.0820542055937579
Gata1	Gfi1	0.0790636117615671
Pu1	cJun	0.0771998233642073
Gata1	Gata2	0.0769150421466374
cJun	Gfi1	0.0749463954977555
Gata1	Fli1	0.0726952373609775
Gata2	Eklf	0.0726256058048702
Fli1	Eklf	0.0704099635616677
EgrNab	Pu1	0.0694393959226134
cJun	Pu1	0.0691262733406019
Pu1	Gata2	0.068450596954566
Gata1	Scl	0.067476407381503
Gata2	Gata1	0.0662595435602033
Gata2	Fog1	0.0651690331298106
Fli1	Fog1	0.063452034812193
cJun	Gata1	0.0626231234419113
Eklf	Gfi1	0.0618788744916167
Scl	Gfi1	0.060884713519248006
Gata1	Pu1	0.0599496188063746
Scl	Eklf	0.0597758542525863
cJun	EgrNab	0.0546053548475686
Fog1	Gfi1	0.0543279203594925
Cebpa	Gata1	0.0541864225702671
Fog1	Eklf	0.053833836714068
Cebpa	cJun	0.0528709258276187
Pu1	EgrNab	0.0509100797665814
Gata1	Eklf	0.0501486562243857
EgrNab	Gfi1	0.04977348145747701
Pu1	Fog1	0.0486760838559295
Gfi1	cJun	0.0486685863087876
Gfi1	Gata1	0.0483498185698734
Gata1	Cebpa	0.0482959635717695
Pu1	Cebpa	0.0476468787818458
Cebpa	EgrNab	0.0472523204272137
cJun	Gata2	0.0447726603883156
EgrNab	cJun	0.0440575619504303
Scl	Cebpa	0.0440424285052699
Gata2	Cebpa	0.0439815759346871
Fli1	Gata2	0.0426846824722624
Cebpa	Gata2	0.0418335896161945
Pu1	Gata1	0.0405341505572394
Gata2	cJun	0.040386888724621005
Gata2	Pu1	0.0402187545185006
Gata2	Gfi1	0.0394863268967179
Gata2	Scl	0.0394085049674733
Eklf	Fog1	0.0380590386195994
Scl	Gata2	0.0364784780633605
Gfi1	Gata2	0.0364384933999406
EgrNab	Eklf	0.0360249466524026
Gata2	Fli1	0.0350481330498919
Eklf	Cebpa	0.0335296737332402
Gfi1	Eklf	0.0327862566440484
EgrNab	Fli1	0.0324037221979154
cJun	Eklf	0.0323304739912887
cJun	Fli1	0.0319768086474625
Pu1	Scl	0.0309587715914654
Fog1	Fli1	0.0308591529560597
Scl	Fog1	0.0305211284155619
Cebpa	Eklf	0.0304384892316817
Fog1	Gata1	0.0301398793841499
cJun	Scl	0.0300111315281082
Pu1	Eklf	0.0298097079918975
Fog1	Gata2	0.0297681578206308
Cebpa	Scl	0.0297337013414202
Scl	Fli1	0.0295075039170855
Fog1	Cebpa	0.0294928877038553
Eklf	EgrNab	0.0289517289075249
Eklf	Gata2	0.0287275238930741
Gfi1	Scl	0.0285122873002367
Fli1	Gata1	0.0284669648290622
EgrNab	Gata1	0.0272248240001551
cJun	Fog1	0.0258082247576225
Scl	EgrNab	0.0255363383974507
EgrNab	Cebpa	0.0245211394729515
Pu1	Fli1	0.0243743513870065
Cebpa	Fli1	0.0236634262458714
EgrNab	Scl	0.0235034439323276
Fli1	Cebpa	0.0233807579239551
Fli1	Gfi1	0.0224379790316738
Fog1	Pu1	0.0224000309277222
Eklf	Pu1	0.0219577538865198
Gata1	EgrNab	0.0219267837640126
Fli1	Scl	0.0218873364257937
Eklf	Scl	0.0218842511296038
Gata2	EgrNab	0.021355305584134
EgrNab	Gata2	0.0213443987480224
Fog1	cJun	0.0213418621591468
Fog1	Scl	0.0211765608032854
Eklf	Gata1	0.0211189264094438
Fog1	EgrNab	0.0208477333029215
Gfi1	Fog1	0.0205271445621268
Scl	cJun	0.0198680508210471
Eklf	cJun	0.0197593219171316
Cebpa	Fog1	0.019758560815808998
Fli1	EgrNab	0.0195498003661633
Eklf	Fli1	0.0189579458356166
Scl	Gata1	0.018503410714577
EgrNab	Fog1	0.0168509484354058
Gfi1	Fli1	0.0164549293632169
Scl	Pu1	0.0163996322954036
Fli1	Pu1	0.0144599503258757
Fli1	cJun	0.0144185505940083
Gfi1	EgrNab	0.0108328349420526
