Gene1	Gene2	EdgeWeight
Cebpa	Scl	417.44554047395104
Gfi1	Scl	356.120909531339
Cebpa	Fog1	306.92029460688
Gfi1	Fog1	227.977843650588
Cebpa	Eklf	227.811863527662
cJun	Eklf	219.74182691968102
Pu1	Scl	209.038532244669
Gata2	Scl	203.424752252794
cJun	Scl	197.99586260633998
Gata1	Scl	151.45100751674102
Gfi1	Gata1	117.189262215093
Gfi1	Eklf	115.89162638525801
cJun	Gfi1	114.66600916936899
Cebpa	Fli1	113.578762358034
Gfi1	Fli1	112.392100321521
Gfi1	Gata2	102.685393901803
cJun	Fli1	98.74851427433359
cJun	Gata2	95.36846136531088
Cebpa	Gata2	89.7706583584643
cJun	Cebpa	89.7113291333188
cJun	Fog1	79.5537204778727
Gata2	Fli1	76.83797599649291
Gata2	EgrNab	76.4177052294871
Cebpa	Gata1	75.521709963561
Pu1	Fli1	74.1221454187464
Pu1	Eklf	73.8246137814295
Gata1	EgrNab	69.9232925286363
cJun	Gata1	67.4185631072924
Pu1	Gfi1	67.3548549900723
EgrNab	Scl	67.131809857976
Gata1	Fli1	66.18157819377521
Gfi1	EgrNab	63.479607326903
Pu1	Gata2	63.35317710244461
cJun	EgrNab	63.2135918476983
Gata2	Gfi1	62.495028288692396
Pu1	Gata1	55.8840732505624
Gata2	Fog1	55.197923870777
Pu1	EgrNab	54.3779855214047
Gata1	Eklf	54.1219353716654
Gata1	cJun	52.3071889018766
Gfi1	cJun	50.074918815180396
Gata2	cJun	49.2047519319882
Gata1	Pu1	48.16632255370421
EgrNab	Fli1	48.0924914011434
Gata1	Fog1	47.3316571996564
Gata2	Gata1	46.6691009170287
Gata2	Pu1	46.2548423967345
EgrNab	Eklf	42.4140684524334
Cebpa	cJun	42.123797035312
Fog1	cJun	41.77884399605461
Gata2	Gata2	40.8737730990679
Pu1	Cebpa	40.5727928551963
Gata1	Gata1	39.4947799090465
Gata2	Cebpa	38.6085796516844
Fog1	EgrNab	37.93051304633421
Fog1	Pu1	36.5517783033032
Gfi1	Cebpa	35.2189910011613
Scl	cJun	34.4829057090953
Eklf	cJun	34.3851273987461
Gata1	Gata2	34.2017915114753
Eklf	Fli1	34.1839287737999
Fli1	cJun	33.9997251195435
Pu1	Fog1	33.9738799765566
Fli1	EgrNab	31.615148604618806
Eklf	Pu1	30.795302078709998
Fli1	Pu1	30.3549434481372
Eklf	Gata1	29.367466453016892
Pu1	cJun	29.0735616968758
EgrNab	Cebpa	28.5932373553372
Cebpa	Cebpa	27.7033589456992
Eklf	Fog1	27.689069799660697
Gfi1	Gfi1	27.336889688708897
Scl	Pu1	27.2440690102006
Fli1	Fli1	26.5407671677062
Eklf	Scl	25.814749713339
cJun	cJun	23.796083012453106
Scl	Eklf	23.626165847514898
Fli1	Gata1	22.6855569012301
Fog1	Gata1	22.682016910461602
Cebpa	Gfi1	22.656666034599105
Eklf	EgrNab	22.581742787561694
Gata2	Eklf	21.3884425309783
cJun	Pu1	21.2627374524809
Scl	Scl	21.104820012686602
Fog1	Fli1	20.9753270052594
Fli1	Fog1	20.4152513297712
Cebpa	EgrNab	20.317136038461
Cebpa	Pu1	19.3799610951873
Scl	Gata1	19.235562604444198
Scl	Cebpa	19.1305171128489
EgrNab	Gfi1	19.0178493396598
Gata1	Gfi1	18.8144658557853
Eklf	Gata2	18.2555413554471
Pu1	Pu1	17.80681609845
Fog1	Scl	17.7896906799029
Scl	Gfi1	17.771709264578604
Fog1	Gfi1	17.7127674584369
Scl	Fli1	16.872467534830403
Fli1	Scl	16.6766910720838
Fog1	Fog1	16.0870041731022
Fli1	Gata2	14.671868630357098
Fog1	Cebpa	14.416928053916399
Fog1	Gata2	14.322622203494001
EgrNab	Gata2	13.9587876578807
EgrNab	EgrNab	13.7972538094444
Scl	EgrNab	13.5963651834092
Gata1	Cebpa	12.6978972821388
Scl	Fog1	12.1726949186675
Gfi1	Pu1	11.4354593736013
Eklf	Eklf	10.928633846882999
Fli1	Gfi1	10.561891701312
EgrNab	Gata1	10.430083329676801
EgrNab	Fog1	10.3759722033078
Scl	Gata2	9.1386302661344
Eklf	Cebpa	8.77607304707199
Fli1	Cebpa	7.82414379062449
Eklf	Gfi1	4.997909989992969
EgrNab	cJun	2.60743934148551
Fli1	Eklf	2.55315747307188
EgrNab	Pu1	2.4804937113187098
Fog1	Eklf	2.29466189459314
