Gene1	Gene2	EdgeWeight
Fog1	Gata1	722
Scl	Gata1	718
Pu1	Gata1	627
cJun	Gata1	534
EgrNab	Gata1	532
Fli1	Gata1	503
Gata1	Gata2	498
Eklf	Gata1	496
Cebpa	Gata1	411
EgrNab	Gata2	352
Pu1	Gata2	352
Gata2	Gata1	321
Fog1	Gata2	314
Scl	Gata2	303
cJun	Gata2	248
Gfi1	Gata1	232
Gata1	Pu1	198
Fli1	Gata2	196
Eklf	Gata2	183
Gfi1	Gata2	176
Cebpa	Gata2	149
Gfi1	Pu1	144
cJun	Pu1	139
Gfi1	Cebpa	133
Gata2	Pu1	84
Fog1	Cebpa	76
Scl	Cebpa	71
Fog1	Pu1	64
Scl	Pu1	64
Cebpa	Pu1	62
Eklf	Pu1	57
EgrNab	Pu1	45
Fli1	Pu1	42
Gata1	Cebpa	36
Pu1	Cebpa	20
EgrNab	Cebpa	20
Fli1	Cebpa	19
cJun	Cebpa	19
Eklf	Cebpa	18
Gata2	Cebpa	14
Fog1	Fli1	14
Fog1	Eklf	14
Scl	Fli1	14
Scl	Eklf	14
Eklf	Fli1	11
Fli1	Eklf	9
EgrNab	cJun	9
Gata1	Eklf	7
Gata1	Fli1	7
cJun	Eklf	7
cJun	Fli1	7
EgrNab	Fli1	6
Gfi1	Fli1	6
Cebpa	Fli1	6
Pu1	Fli1	6
Gata2	Fli1	6
Gata2	Eklf	6
Pu1	Eklf	6
Gfi1	Eklf	6
EgrNab	Eklf	6
Fog1	Scl	6
Cebpa	Eklf	5
Pu1	Scl	4
Cebpa	Scl	4
Gfi1	cJun	3
Gata1	Scl	3
cJun	Scl	3
Gata2	Scl	3
Eklf	Scl	2
EgrNab	Scl	2
cJun	Gfi1	1
cJun	EgrNab	1
Gata2	EgrNab	1
Cebpa	EgrNab	1
EgrNab	Gfi1	1
Fog1	Gfi1	1
Scl	Gfi1	1
Gata2	cJun	1
Eklf	cJun	1
Gfi1	Scl	1
Pu1	cJun	1
Scl	cJun	1
Fli1	cJun	1
Scl	Fog1	1
Cebpa	cJun	1
Fog1	cJun	1
Gata1	cJun	1
Fli1	Scl	1
Gfi1	EgrNab	0
Fog1	EgrNab	0
Fli1	EgrNab	0
Scl	EgrNab	0
Pu1	EgrNab	0
Eklf	EgrNab	0
Gata1	Fog1	0
EgrNab	Fog1	0
cJun	Fog1	0
Gata2	Fog1	0
Eklf	Fog1	0
Pu1	Fog1	0
Gata1	Gfi1	0
Fli1	Fog1	0
Cebpa	Gfi1	0
Fli1	Gfi1	0
Cebpa	Fog1	0
Pu1	Gfi1	0
Eklf	Gfi1	0
Gata2	Gfi1	0
Gfi1	Fog1	0
Gata1	EgrNab	0
