Gene1	Gene2	EdgeWeight
Fog1	Fli1	0.9838031018371179
Fli1	Fog1	0.9838031018371179
Fli1	Scl	0.978017965197611
Scl	Fli1	0.978017965197611
Fog1	Scl	0.975338309270374
Scl	Fog1	0.975338309270374
Scl	Eklf	0.944037148552647
Eklf	Scl	0.944037148552647
Fog1	Eklf	0.935050472891835
Eklf	Fog1	0.9261130595364301
Gata1	Scl	0.9116214424401659
Gata1	Fog1	0.911042257188808
Gata1	Eklf	0.897549487322658
Gata1	Pu1	0.872619662065053
Pu1	Gata1	0.872619662065053
cJun	EgrNab	0.8650377298785099
Gfi1	Cebpa	0.840894974129578
Cebpa	Gfi1	0.840894974129578
Pu1	EgrNab	0.8285644415539319
Gata2	cJun	0.8284750166418029
cJun	Fog1	0.81636713094556
Pu1	Fog1	0.815094512459018
cJun	Scl	0.8147734562884201
Gata2	Gata1	0.81457470101977
Gata1	Gata2	0.81457470101977
cJun	Eklf	0.8091980315968421
Pu1	Eklf	0.805994692273119
Pu1	Scl	0.800834068896574
Fli1	Eklf	0.7866123449688621
Eklf	Fli1	0.7866123449688621
Cebpa	EgrNab	0.7814162967152021
Gata1	Fli1	0.7789826807610171
Fli1	Gata1	0.7789826807610171
Fog1	Gata1	0.77808858463492
Scl	Gata1	0.7706436728119079
Gata1	EgrNab	0.770192932086795
cJun	Pu1	0.770070539826515
Gfi1	cJun	0.7615786800061759
Gata2	EgrNab	0.761451651266693
Gata1	Gfi1	0.7609507595684771
cJun	Gata1	0.75202740124085
Pu1	cJun	0.7499529169577479
Gfi1	EgrNab	0.747341751306937
EgrNab	Pu1	0.7417154917084341
Gata2	Gfi1	0.740206159005499
EgrNab	cJun	0.7385379139147241
cJun	Gata2	0.73423589901801
Gata1	Cebpa	0.7328766486293492
Fli1	Pu1	0.729944402692602
Pu1	Fli1	0.729944402692602
Fog1	Pu1	0.7247075148733091
Scl	Pu1	0.7238475531332751
Cebpa	cJun	0.719538698068494
Pu1	Gata2	0.7156679489877309
Eklf	Gata1	0.715034509615996
Gata2	Fli1	0.7142252795556949
Gata1	cJun	0.711276716733431
Gata2	Pu1	0.710895948487712
Pu1	Gfi1	0.703142188978539
Cebpa	Gata1	0.701869779406468
Cebpa	Fog1	0.700911553444912
Cebpa	Scl	0.6962128723661221
Pu1	Cebpa	0.68732224549338
Cebpa	Pu1	0.686994181057123
cJun	Cebpa	0.6834484523327671
Gata2	Cebpa	0.6818523832175739
Gfi1	Gata2	0.679652645806227
Cebpa	Fli1	0.678556316834182
Gfi1	Scl	0.6761836286267879
Gata2	Scl	0.6727297852279599
Gfi1	Fli1	0.6686537006108461
Gfi1	Fog1	0.667426154249929
Gata2	Eklf	0.6664496935506801
Gfi1	Gata1	0.66545063920193
EgrNab	Cebpa	0.6640695037931079
Gfi1	Pu1	0.662508318674094
Gata2	Fog1	0.660990146118212
Eklf	Pu1	0.651883697973212
Cebpa	Gata2	0.641428452099957
cJun	Gfi1	0.639320901523706
cJun	Fli1	0.63410291601402
Scl	Gata2	0.625864260131815
Fog1	Gata2	0.6229311680958921
Eklf	Gata2	0.607794057241347
Scl	Cebpa	0.5955376718468299
Fog1	Cebpa	0.5941447021338321
EgrNab	Gfi1	0.583831903468279
Eklf	Cebpa	0.579616452611027
Fli1	Cebpa	0.5764671735552621
Fli1	Gata2	0.574991930738213
EgrNab	Gata2	0.5672530001048139
EgrNab	Eklf	0.545785400406229
Gfi1	Eklf	0.5245730840879199
Scl	Gfi1	0.512659890846486
Fog1	Gfi1	0.511805134932736
Eklf	Gfi1	0.497339333273558
Fli1	cJun	0.48497320052832393
Fog1	cJun	0.480708095153632
Scl	cJun	0.48065925400303106
Fli1	Gfi1	0.48022021998788395
EgrNab	Gata1	0.47134242919603103
Eklf	cJun	0.458964605717248
Cebpa	Eklf	0.237696133923099
Fog1	EgrNab	0.207830214004372
Scl	EgrNab	0.20266548208415602
Fli1	EgrNab	0.18794650537786997
EgrNab	Scl	0.160594906053192
EgrNab	Fog1	0.15822093271941298
EgrNab	Fli1	0.156241231713629
Eklf	EgrNab	0.15205224149871802
