Gene1	Gene2	EdgeWeight
Eklf	Pu1	2.0
Scl	EgrNab	2.0
EgrNab	Gata2	2.0
Fli1	Pu1	0.5
EgrNab	Pu1	0.5
Fli1	Pu1	0.5
EgrNab	Fli1	0.22221999999999997
Fli1	cJun	0.22221999999999997
Fli1	cJun	0.22221999999999997
Eklf	Gfi1	0.125
Fog1	Cebpa	0.125
EgrNab	Scl	0.125
Scl	cJun	0.08
Scl	Cebpa	0.08
EgrNab	Gata1	0.08
EgrNab	cJun	0.05555
Fog1	Pu1	0.05555
Fog1	Gfi1	0.04081
EgrNab	Fog1	0.04081
Eklf	EgrNab	0.04081
cJun	Gfi1	0.03125
Fli1	Gfi1	0.03125
Fli1	Gfi1	0.03125
Fog1	EgrNab	0.02469
Scl	Pu1	0.02469
Gata1	Eklf	0.02469
Fog1	cJun	0.02
Gata2	Fli1	0.02
Eklf	Gata2	0.02
Gata1	Pu1	0.01652
Fli1	Gata2	0.01652
Pu1	Scl	0.01652
Gata1	Cebpa	0.013880000000000002
Fli1	Cebpa	0.01183
Cebpa	Pu1	0.01183
Cebpa	Gata1	0.01183
Gata1	Gfi1	0.0102
Gata1	cJun	0.008879999999999999
Gata1	cJun	0.008879999999999999
Cebpa	cJun	0.007809999999999999
Fog1	Gata2	0.007809999999999999
Gata2	Cebpa	0.00617
Eklf	Cebpa	0.00617
EgrNab	Cebpa	0.00554
EgrNab	Gfi1	0.005
Fli1	EgrNab	0.005
Gata1	Scl	0.005
Gata1	Fog1	0.004529999999999999
cJun	Cebpa	0.00413
cJun	Gata1	0.0037799999999999995
Cebpa	Gata2	0.0034700000000000004
Gata2	Pu1	0.0034700000000000004
Gata2	EgrNab	0.00295
Gata2	cJun	0.00274
Gata2	Scl	0.00255
Gfi1	cJun	0.00255
Pu1	Gfi1	0.00237
Gata1	Gata2	0.00237
Scl	Gfi1	0.0022199999999999998
Gfi1	Scl	0.0022199999999999998
cJun	Pu1	0.0020800000000000003
Cebpa	Gfi1	0.0020800000000000003
Gata2	Gfi1	0.00195
Gfi1	Pu1	0.00183
Pu1	Fog1	0.00183
Pu1	cJun	0.00183
Gfi1	Cebpa	0.00173
Gfi1	Cebpa	0.00173
cJun	EgrNab	0.0015400000000000001
cJun	Fli1	0.00146
Cebpa	EgrNab	0.00146
Gfi1	Fli1	0.00125
Pu1	EgrNab	0.00118
Gfi1	Gata1	0.0011300000000000001
Eklf	cJun	0.0011300000000000001
Pu1	Cebpa	0.00108
Fli1	Fog1	0.00108
Pu1	Eklf	0.00098
Gata2	Eklf	0.00086
Fli1	Scl	0.0008
cJun	Gata2	0.00063
cJun	Fog1	0.00061
Cebpa	Fog1	0.00057
Fli1	Gata1	0.00055
Gfi1	Eklf	0.0005200000000000001
Eklf	Fog1	0.00047000000000000004
Gfi1	Gata2	0.00044
cJun	Scl	0.0004
Gata2	Fog1	0.00039
Gfi1	Fog1	0.00037
cJun	Eklf	0.00036
Gata1	Fli1	0.00033999999999999997
Gata2	Gata1	0.00033
