Gene1	Gene2	EdgeWeight
cJun	cJun	1.0
Fog1	Fog1	1.0
Pu1	cJun	1.0
cJun	cJun	1.0
Gata1	Gata1	1.0
Scl	Gata1	1.0
Cebpa	Cebpa	1.0
Scl	Fog1	1.0
Gfi1	Gfi1	1.0
Gata2	Gfi1	1.0
Fli1	Fog1	1.0
Fog1	Fog1	1.0
Gata1	Gata2	1.0
Scl	Fog1	1.0
Scl	Scl	1.0
Gata2	Cebpa	1.0
Fli1	Fli1	1.0
Gata1	Scl	1.0
Scl	Scl	1.0
Pu1	Pu1	1.0
cJun	Pu1	1.0
Cebpa	Gfi1	1.0
Gata2	Gata2	1.0
Fli1	Fli1	1.0
Eklf	Eklf	1.0
Gata1	Gfi1	1.0
Pu1	Pu1	1.0
Eklf	Eklf	1.0
Gata2	Gata2	1.0
Pu1	cJun	1.0
cJun	cJun	1.0
EgrNab	EgrNab	1.0
Fli1	Scl	1.0
Fog1	Scl	1.0
Gata2	Gata1	1.0
Gfi1	Gfi1	1.0
Gata2	Eklf	1.0
Cebpa	Gfi1	1.0
Gata2	Fog1	1.0
Gata1	Cebpa	1.0
Gfi1	Cebpa	1.0
Cebpa	Cebpa	1.0
Gata2	Fli1	1.0
Gata2	Scl	1.0
Pu1	Pu1	1.0
Scl	Fli1	1.0
Scl	Eklf	1.0
Cebpa	Cebpa	1.0
Gfi1	Gfi1	1.0
Pu1	cJun	1.0
Cebpa	Cebpa	1.0
cJun	EgrNab	1.0
cJun	cJun	1.0
Gata1	Gata1	1.0
Gata2	Gata1	1.0
Gfi1	Gfi1	1.0
Pu1	Cebpa	1.0
Gfi1	Cebpa	1.0
Gata2	Gata2	1.0
Gata1	Gata2	1.0
Gata2	Gata2	1.0
Pu1	Pu1	1.0
Gata1	Scl	1.0
Cebpa	Gfi1	1.0
Gata1	Gata1	1.0
Cebpa	Pu1	1.0
Fog1	Eklf	0.999993
EgrNab	cJun	0.999992
Fog1	Fli1	0.999991
Cebpa	Gata2	0.999983
Eklf	Fog1	0.999975
Gata1	cJun	0.999959
Gata1	Fog1	0.9998040000000001
Gata1	Pu1	0.9993360000000001
Pu1	Fli1	0.999202
Fli1	Gata2	0.9990040000000001
Eklf	Gfi1	0.998994
Gata2	cJun	0.9984139999999999
Gfi1	Fli1	0.994967
Eklf	Gata2	0.9949100000000001
Cebpa	cJun	0.992919
Gata2	Pu1	0.991933
Fog1	Gata1	0.990326
Fli1	Gata1	0.9797600000000001
Gfi1	EgrNab	0.9793729999999999
Fog1	Gata2	0.97896
Cebpa	Eklf	0.974893
Scl	Gata2	0.97215
Eklf	Pu1	0.962484
Gfi1	Fog1	0.961709
Fog1	Cebpa	0.9546899999999999
cJun	Gata2	0.945312
Gata1	Eklf	0.944067
Gfi1	cJun	0.943991
EgrNab	Cebpa	0.933992
Gfi1	Scl	0.9332
cJun	Fog1	0.925961
cJun	Scl	0.9139290000000001
EgrNab	Pu1	0.910998
Cebpa	EgrNab	0.9100969999999999
Eklf	Scl	0.8775799999999999
Gfi1	Gata2	0.8742969999999999
Cebpa	Gata1	0.858926
Fli1	Pu1	0.818632
Fog1	cJun	0.805732
Pu1	Gata2	0.798538
Gata1	Fli1	0.776767
Cebpa	Fli1	0.772424
Fog1	Gfi1	0.752855
Scl	cJun	0.748696
Eklf	Cebpa	0.7302930000000001
Gata2	EgrNab	0.6980310000000001
Fli1	cJun	0.689186
Fli1	Eklf	0.657977
Fli1	Gfi1	0.635321
Scl	Pu1	0.634466
Eklf	cJun	0.611322
Scl	EgrNab	0.602689
Fog1	Pu1	0.589651
Gfi1	Pu1	0.573074
Scl	Gfi1	0.5700149999999999
Pu1	Fog1	0.5698310000000001
EgrNab	Gata2	0.529239
EgrNab	Fog1	0.5267689999999999
Gfi1	Eklf	0.522489
EgrNab	Gata1	0.500541
Fli1	Cebpa	0.49340900000000004
Scl	Cebpa	0.48819300000000004
EgrNab	Fli1	0.478315
EgrNab	Scl	0.47774300000000003
EgrNab	Gfi1	0.47726199999999996
EgrNab	Eklf	0.476204
cJun	Gata1	0.47584099999999996
Eklf	Gata1	0.46143
Eklf	EgrNab	0.441817
Fog1	EgrNab	0.430655
Gata1	EgrNab	0.42626099999999995
Eklf	Fli1	0.425254
Fli1	EgrNab	0.419683
Cebpa	Scl	0.396517
Pu1	Gata1	0.380642
Gfi1	Gata1	0.376134
Pu1	EgrNab	0.264498
Cebpa	Fog1	0.26353000000000004
Pu1	Gfi1	0.243779
Pu1	Scl	0.208536
Pu1	Eklf	0.203683
cJun	Gfi1	0.11161700000000001
cJun	Eklf	0.107228
cJun	Fli1	0.10499100000000001
cJun	Cebpa	0.084687
