Gene1	Gene2	EdgeWeight
Scl	Fog1	0.976291585913527
Fog1	Scl	0.976291585913527
Cebpa	Gfi1	0.9430147517019641
Gfi1	Cebpa	0.9430147517019641
Scl	Eklf	0.9373850195340692
Eklf	Fog1	0.9345508390929809
Fog1	Eklf	0.9344644417961291
Scl	Fli1	0.9278335539503059
Fli1	Scl	0.9278335539503059
Eklf	Scl	0.922145858225445
Fli1	Fog1	0.913608591022026
Fog1	Fli1	0.913608591022026
Gata1	Gata2	0.913021913451922
Gata2	Gata1	0.913021913451922
Cebpa	EgrNab	0.856808629708021
Gata2	cJun	0.84293712452688
Gfi1	EgrNab	0.8386449970502041
cJun	EgrNab	0.836582371078037
Gata1	Fog1	0.83453223558164
Gfi1	Gata2	0.828807601648069
Gata1	Scl	0.822729582195604
Cebpa	Gata2	0.817229472958762
cJun	Pu1	0.8164555463212679
Eklf	Fli1	0.8156832675930351
Fli1	Eklf	0.8132872551171909
Cebpa	Pu1	0.812666532791182
Pu1	EgrNab	0.8121561494271651
Cebpa	cJun	0.8086769189546551
Gata1	Eklf	0.8055277429945821
Pu1	cJun	0.803837318161958
Gfi1	Gata1	0.797710735763783
Pu1	Gata2	0.79230600061517
Gata2	Pu1	0.79230600061517
Gfi1	Pu1	0.785656722757462
Gata1	cJun	0.782905688170464
Gfi1	cJun	0.7753526034101479
Cebpa	Gata1	0.7733786929787829
Gata2	EgrNab	0.771341101891285
cJun	Gata2	0.7649842796545601
Pu1	Gata1	0.756547929546968
Gata1	Pu1	0.756547929546968
EgrNab	cJun	0.750794584622813
cJun	Cebpa	0.74738831059889
cJun	Scl	0.747122630326146
cJun	Gata1	0.7395676990571991
cJun	Fog1	0.7276574437099971
cJun	Fli1	0.723803670656226
Scl	Gata1	0.7216977823869251
cJun	Eklf	0.7187470511568421
Gata2	Gfi1	0.7167019996647641
Pu1	Gfi1	0.715873772422863
Fog1	Gata1	0.711383123735452
Gata1	EgrNab	0.7057039068925409
EgrNab	Pu1	0.7053497233906929
Gata2	Fog1	0.7039377720395992
Pu1	Scl	0.7039085717057622
Eklf	Gata1	0.701703571935783
Gata1	Gfi1	0.7002179171831789
Gata2	Cebpa	0.6937685167225129
Gata2	Fli1	0.6880635719532371
Gata2	Scl	0.6876787041309461
Gata1	Cebpa	0.6817634178143449
Gfi1	Eklf	0.671504134262245
cJun	Gfi1	0.666473683496281
EgrNab	Cebpa	0.6630615243270109
Pu1	Fog1	0.6533116192988929
Gfi1	Scl	0.652352073772901
Pu1	Cebpa	0.652123449552874
Fli1	Gata1	0.6519825837534879
Gata1	Fli1	0.6519825837534879
Scl	Cebpa	0.6458093770539189
Fog1	Gfi1	0.645738884626681
Fog1	Cebpa	0.644511322246223
Scl	Gfi1	0.6425291907619879
Gfi1	Fog1	0.6389838626617429
Gfi1	Fli1	0.637921215786773
Pu1	Eklf	0.637136156316756
EgrNab	Gfi1	0.63484251600426
Eklf	Cebpa	0.631963238246442
Eklf	Gfi1	0.631604629467275
Cebpa	Fli1	0.6147775331898822
Scl	Gata2	0.6073123181200799
Fog1	Gata2	0.603629899712228
Fli1	Gata2	0.597426317137485
Eklf	Gata2	0.5949065205847801
Cebpa	Scl	0.5894214368687141
Gata2	Eklf	0.578347051263126
EgrNab	Gata2	0.574033246407215
Cebpa	Fog1	0.572359017681026
Fli1	Cebpa	0.5605573518478371
Cebpa	Eklf	0.553636430601085
EgrNab	Gata1	0.52674574799191
Pu1	Fli1	0.521784011327928
Fli1	Gfi1	0.518055180453974
Scl	Pu1	0.510295693126055
Fog1	Pu1	0.506916754444914
Scl	cJun	0.504656926937426
Fog1	cJun	0.500451527059622
Eklf	Pu1	0.49232665690064603
Eklf	cJun	0.490443814429564
Fli1	Pu1	0.46352926032853103
Fli1	cJun	0.38489171351519
Eklf	EgrNab	0.34697399257567496
Scl	EgrNab	0.324036127133551
Fli1	EgrNab	0.318838024392882
Fog1	EgrNab	0.301210950181602
EgrNab	Fog1	0.219758472164547
EgrNab	Fli1	0.150564791046182
EgrNab	Eklf	0.14231389566789499
EgrNab	Scl	0.127458350982917
