Gene1	Gene2	EdgeWeight
cJun	EgrNab	258.2559322062609
Cebpa	Gfi1	240.31918998743973
Gata1	Gata2	212.43196963501617
Gfi1	Cebpa	208.85599149211362
EgrNab	cJun	205.44734716195825
Eklf	Fli1	203.70375791290044
Fog1	Eklf	174.6303335329532
Gata1	Eklf	165.65951370552122
Fli1	Eklf	162.89664106959174
Cebpa	EgrNab	145.64304325185267
Fog1	Fli1	145.2621781260015
Scl	Fli1	139.33646934358651
Gata1	Fli1	137.3022579713887
Gfi1	EgrNab	135.25952131162043
Scl	Eklf	132.1030029295452
Gfi1	cJun	132.0134056219069
Cebpa	cJun	131.9187616752113
Fli1	Gata2	129.66339657837713
Eklf	Gata2	127.97214766036059
Gata1	Scl	126.89677530120792
cJun	Cebpa	124.7362706204882
Fog1	Gata1	123.3996214903008
Scl	Fog1	118.06279508955888
Fog1	Scl	117.91995650855158
Scl	Gata1	117.7303220415512
Scl	Gata2	112.99746488733874
Gata1	Fog1	111.504687529391
cJun	Gfi1	105.43674279278707
EgrNab	Gfi1	100.93956533828407
Fog1	Gata2	98.0152913712605
Cebpa	Gata2	97.89974364421587
Pu1	Gata2	95.69808212731995
EgrNab	Cebpa	94.10785591972298
Gata1	Pu1	83.5768885408242
Gfi1	Gata2	76.27158048480192
Eklf	Fog1	72.55825912102753
Eklf	Scl	71.42051039054046
Eklf	Gata1	66.64274168858121
Fli1	Scl	66.34984021142647
Fli1	Gata1	64.25827581126332
Fli1	Fog1	59.46902362075458
Pu1	Fli1	57.169875081235574
Gata2	Fli1	55.392599384429424
Pu1	Eklf	51.583903770847996
Pu1	Gata1	50.73779558869176
Gata2	Pu1	44.75337485111157
Fog1	Pu1	44.05480119753653
Gata2	Eklf	43.90138437883845
Gata1	Cebpa	42.798303939522775
cJun	Gata2	42.78408991527422
Eklf	Pu1	42.576357522414455
Cebpa	Gata1	40.755233436176574
Pu1	Scl	40.41026752130053
cJun	Eklf	40.1813973141569
Cebpa	Fli1	39.732091234192474
Scl	Pu1	39.262083690376585
Scl	cJun	36.96397764825983
Fog1	cJun	36.80601173398718
cJun	Fli1	36.406912071039706
Cebpa	Eklf	35.725456165879386
Pu1	Fog1	33.9066207969433
Gata2	Gata1	33.00371555959042
Gata1	EgrNab	32.85045341154303
Cebpa	Fog1	31.293594061794938
Scl	Gfi1	31.048257029630786
Pu1	EgrNab	30.78805231019461
Gata1	cJun	30.446689146031066
EgrNab	Gata2	30.266233696034952
Fli1	Pu1	29.69447581150052
Gfi1	Fli1	28.839641244045293
Fog1	EgrNab	27.125151517662612
cJun	Fog1	26.550607644502858
Pu1	cJun	26.550266476541715
cJun	Scl	26.23715028694961
Pu1	Gfi1	24.769937643195643
cJun	Gata1	24.693676085639076
Cebpa	Pu1	24.38169813322313
Cebpa	Scl	24.017415771586762
Fog1	Cebpa	23.80477094355459
EgrNab	Pu1	23.30441925520539
Gata1	Gfi1	22.60356444859428
Scl	EgrNab	21.398950318291206
Gfi1	Pu1	21.302631996550282
Scl	Cebpa	21.29203448935047
Gata2	EgrNab	21.16882005174674
Fog1	Gfi1	21.16108309731957
Pu1	Cebpa	20.739137384782303
Gfi1	Eklf	20.19660813974391
Gfi1	Gata1	19.161417675926863
EgrNab	Eklf	18.12175899292197
EgrNab	Fog1	18.04294449102979
Gfi1	Scl	17.732566136350087
Eklf	Cebpa	17.111297108555355
Gfi1	Fog1	17.051864618766725
EgrNab	Fli1	16.854217631180347
Gata2	cJun	16.313711601137832
cJun	Pu1	16.09326900125733
Gata2	Gfi1	14.75966370263242
Fli1	Gfi1	14.733280604044786
Fli1	EgrNab	14.164707053102045
Fli1	cJun	14.11841833922909
Gata2	Cebpa	13.85211883646792
Fli1	Cebpa	13.702219265441725
EgrNab	Gata1	12.617200622278755
Eklf	cJun	12.421410595736784
Eklf	Gfi1	11.22871535607159
Eklf	EgrNab	10.345368567725707
EgrNab	Scl	7.572241648156212
Gata2	Fog1	6.559603026230349
Gata2	Scl	6.44327622393042
