Gene1	Gene2	EdgeWeight
cJun	cJun	1.0
EgrNab	cJun	1.0
Gata1	Gata1	1.0
Cebpa	Cebpa	1.0
Scl	Gata1	1.0
Gfi1	Gfi1	1.0
Gata2	Gfi1	1.0
Fog1	Fog1	1.0
Scl	Fog1	1.0
Cebpa	Cebpa	1.0
Gfi1	Cebpa	1.0
Scl	Fog1	1.0
Fli1	Fli1	1.0
cJun	Pu1	1.0
cJun	Pu1	1.0
Scl	Eklf	1.0
Eklf	Eklf	1.0
Fli1	Fog1	1.0
Gata2	Gata2	1.0
cJun	cJun	1.0
Gata2	Gata2	1.0
Fog1	Fog1	1.0
Pu1	Pu1	1.0
Gata2	Gata2	1.0
Scl	Scl	1.0
cJun	cJun	1.0
EgrNab	EgrNab	1.0
Fli1	Scl	1.0
Fog1	Scl	1.0
Gata2	Gata1	1.0
Gata1	Gfi1	1.0
Gfi1	Gfi1	1.0
Scl	Fli1	1.0
Gata2	Fog1	1.0
Gfi1	Cebpa	1.0
Cebpa	Cebpa	1.0
Gata2	Fli1	1.0
Fli1	Fli1	1.0
Gata2	Scl	1.0
EgrNab	Pu1	1.0
cJun	cJun	1.0
Scl	Scl	1.0
Eklf	Eklf	1.0
Gata1	Gata1	1.0
Gata1	Gata2	1.0
Cebpa	Cebpa	1.0
Cebpa	Gfi1	1.0
Gfi1	Gfi1	1.0
Gata2	Gata2	1.0
Gata1	Gata1	1.0
Cebpa	Gfi1	1.0
Gata2	Gata1	1.0
Gfi1	Cebpa	1.0
Gfi1	Gfi1	1.0
Pu1	Pu1	1.0
Gata1	Scl	1.0
cJun	EgrNab	1.0
Cebpa	Pu1	1.0
Gata2	Eklf	0.999999
Fog1	Eklf	0.999994
Fog1	Fli1	0.9999879999999999
Gata2	Cebpa	0.999984
Eklf	Fog1	0.999975
Gata1	cJun	0.9999450000000001
Gata1	Fog1	0.999817
Eklf	Gfi1	0.9997209999999999
Pu1	Cebpa	0.999031
Gfi1	Gata2	0.997842
Gata2	cJun	0.99605
Fog1	Gata1	0.993972
Fli1	Gata2	0.9905379999999999
Eklf	Cebpa	0.97988
Fog1	Gata2	0.973858
cJun	Eklf	0.97277
Fli1	Gata1	0.967626
Scl	Gata2	0.9495790000000001
Gata1	Eklf	0.949153
Eklf	Gata2	0.9425690000000001
Eklf	Gata1	0.938911
Eklf	Pu1	0.9349540000000001
Gfi1	Fli1	0.9256489999999999
Gata1	Cebpa	0.9246040000000001
EgrNab	Cebpa	0.9220379999999999
Gata2	Pu1	0.9208780000000001
Fog1	Cebpa	0.9166
Fog1	cJun	0.8432850000000001
Cebpa	EgrNab	0.841698
Pu1	cJun	0.8292299999999999
Gfi1	Scl	0.7940560000000001
cJun	Gfi1	0.763234
Fli1	cJun	0.752252
Gata1	Fli1	0.7509779999999999
Cebpa	Gata2	0.739157
Pu1	Gfi1	0.727441
Eklf	cJun	0.721769
Fli1	Gfi1	0.71619
Scl	cJun	0.704627
Fli1	Eklf	0.696933
Fli1	Cebpa	0.6865439999999999
cJun	Fog1	0.6222840000000001
Gfi1	Fog1	0.5954079999999999
Gfi1	cJun	0.559184
Scl	EgrNab	0.5578029999999999
Gfi1	Eklf	0.54743
Fli1	Pu1	0.543896
EgrNab	Gata2	0.542112
Fog1	Gfi1	0.536738
Scl	Cebpa	0.515861
EgrNab	Fog1	0.515369
EgrNab	Gata1	0.511946
Eklf	Scl	0.494641
EgrNab	Scl	0.487609
EgrNab	Fli1	0.483408
EgrNab	Gfi1	0.477445
EgrNab	Eklf	0.47549600000000003
Fog1	Pu1	0.46878000000000003
Gata2	EgrNab	0.468287
Gata1	EgrNab	0.46700600000000003
Cebpa	cJun	0.450392
cJun	Gata2	0.447499
Scl	Gfi1	0.442079
Scl	Pu1	0.43318599999999996
Cebpa	Fog1	0.42842600000000003
Pu1	Gata2	0.421346
Eklf	EgrNab	0.42107700000000003
Eklf	Fli1	0.41017299999999995
Fli1	EgrNab	0.408669
Fog1	EgrNab	0.40626100000000004
Gata1	Pu1	0.399993
Cebpa	Eklf	0.38551399999999997
Gfi1	Gata1	0.38535
Gfi1	EgrNab	0.30149000000000004
Cebpa	Gata1	0.276425
cJun	Cebpa	0.251807
Cebpa	Scl	0.239693
Pu1	Fli1	0.192349
Cebpa	Fli1	0.161494
cJun	Gata1	0.159943
cJun	Fli1	0.119458
Pu1	Gata1	0.082648
cJun	Scl	0.080402
Pu1	Fog1	0.076829
Pu1	EgrNab	0.076198
Pu1	Scl	0.075321
Pu1	Eklf	0.06275
Gfi1	Pu1	0.041935
