Gene1	Gene2	EdgeWeight
Cebpa	Gfi1	0.4855444775569408
Gfi1	Cebpa	0.4738079751382844
cJun	EgrNab	0.3705702531336569
Fog1	Scl	0.36950754167659694
Scl	Fog1	0.36121704953045547
EgrNab	cJun	0.3600386022336495
Pu1	Gata1	0.3535149508043477
Gata1	Pu1	0.3323538181607156
Fli1	Eklf	0.3202125047733748
Eklf	Fli1	0.2904894801472579
Pu1	Fog1	0.23968680489546684
Pu1	Scl	0.22840870891696374
Fog1	Gata1	0.20928867865460188
Scl	Gata1	0.2061967020710624
Scl	Pu1	0.20051886945031175
Gfi1	EgrNab	0.19376460610766533
Cebpa	EgrNab	0.1883368931707665
Scl	Fli1	0.1882341706071212
Pu1	Gata2	0.18781630139826566
Gata1	Scl	0.182471989154308
Fog1	Fli1	0.18100563641998274
Gata1	Fog1	0.17762859348567914
Scl	Eklf	0.1760867708470191
Cebpa	cJun	0.17400574228240456
Fog1	Eklf	0.17189804055621002
Gata1	Gata2	0.1562739959331204
Fog1	Pu1	0.15461309014442376
Gfi1	cJun	0.14952543338912336
cJun	Gfi1	0.13859457271515674
EgrNab	Gfi1	0.1354433929534953
Cebpa	Gata2	0.1350905682927717
EgrNab	Cebpa	0.13387878391671446
cJun	Cebpa	0.1328523176509645
Pu1	Fli1	0.10994802056430747
Scl	Gata2	0.10048577649067422
Pu1	Eklf	0.09853046710753352
Fog1	Gata2	0.09415793005641132
Pu1	cJun	0.0931505677295991
Fli1	Gata2	0.09296227669041296
Gata1	Fli1	0.09290536147220167
Eklf	Gata2	0.09210536452666153
Fli1	Gata1	0.08513706525926096
Pu1	EgrNab	0.08326292385791617
Gata1	cJun	0.08212249185345077
Gata2	Pu1	0.07954632688280884
Gata1	Eklf	0.07932260514751126
Eklf	Fog1	0.07863474273902044
Fli1	Fog1	0.07853857840735358
Eklf	Scl	0.07650331290238209
Fli1	Scl	0.07574060415589684
Pu1	Gfi1	0.07478766316824913
Fli1	Pu1	0.07186444364491104
Gfi1	Gata2	0.0691268794330118
Pu1	Cebpa	0.060542316873438924
Fog1	Cebpa	0.058345898503835626
Scl	Cebpa	0.057004360252063624
Eklf	Pu1	0.05476959829635325
Eklf	Gata1	0.054076476528024005
Gata2	Eklf	0.051589449786933986
Gata1	EgrNab	0.048587738788289966
cJun	Gata2	0.04765933727438877
Scl	cJun	0.04499253248213765
Gata2	Fli1	0.042591000298163886
Scl	Gfi1	0.03956410688962037
Fog1	Gfi1	0.03863626515724219
Fog1	cJun	0.03673169245309401
Scl	EgrNab	0.035108662767528324
Gfi1	Eklf	0.0339670462025496
Gata2	Gata1	0.033285881890077036
Gata1	Gfi1	0.03295456417603476
Cebpa	Fli1	0.032755068337336754
Fog1	EgrNab	0.032573541687667525
Gata1	Cebpa	0.031535646889012836
Cebpa	Eklf	0.030768262551092163
Cebpa	Pu1	0.02936931117380985
cJun	Pu1	0.02772202650376289
Gata2	cJun	0.026605268391954862
Gata2	Gfi1	0.025161376159057808
cJun	Gata1	0.02484859249272732
EgrNab	Pu1	0.02464275112693974
Gfi1	Pu1	0.024599764615963082
Gfi1	Fli1	0.02436380342060437
EgrNab	Gata2	0.024321569904281918
cJun	Fli1	0.02396798307745893
Gata2	Cebpa	0.0232232041100514
Cebpa	Scl	0.02038468015763176
cJun	Eklf	0.020372532286129227
Cebpa	Fog1	0.018885416754627973
EgrNab	Eklf	0.01725232074164631
Fli1	cJun	0.016991774582242734
Fli1	EgrNab	0.01695084469169658
Gata2	Scl	0.01613998083169419
Eklf	EgrNab	0.015982258375715274
Eklf	cJun	0.015835894602343657
Cebpa	Gata1	0.015742137189903322
Fli1	Cebpa	0.015542306462210213
Gata2	EgrNab	0.014862277419097656
Fli1	Gfi1	0.014829755715786245
Gata2	Fog1	0.014638195584083587
Eklf	Gfi1	0.01448382550841746
cJun	Scl	0.013878351276308258
EgrNab	Fli1	0.013739475655565266
cJun	Fog1	0.013424448185846705
Eklf	Cebpa	0.013267190203424315
Gfi1	Fog1	0.01018650955212058
EgrNab	Gata1	0.009448338406850956
Gfi1	Scl	0.00909025115208158
Gfi1	Gata1	0.00846117670314501
EgrNab	Scl	0.00787457977613656
EgrNab	Fog1	0.007159660865345091
