Gene1	Gene2	EdgeWeight
Gfi1	Cebpa	533
Scl	Cebpa	405
Fog1	Cebpa	397
EgrNab	Cebpa	330
Gata1	Gata2	316
Pu1	Gata1	311
cJun	Cebpa	306
Gata2	Gata1	295
Scl	Gata1	291
Fli1	Cebpa	283
Eklf	Cebpa	278
EgrNab	Gata1	269
Fog1	Gata1	266
cJun	Gata1	265
Eklf	Gata1	247
Fli1	Gata1	247
Gata1	Cebpa	245
Pu1	Cebpa	243
Gata2	Cebpa	211
EgrNab	Gata2	146
Pu1	Gata2	143
Cebpa	Gata1	140
cJun	Gata2	131
Gfi1	Gata1	118
Scl	Gata2	70
Cebpa	Gata2	66
Fli1	Gata2	60
Fog1	Gata2	59
Gfi1	Gata2	57
Eklf	Gata2	57
Scl	Fli1	9
Fog1	Fli1	8
cJun	Pu1	7
Fog1	Eklf	6
Gata1	Pu1	6
Scl	Eklf	5
Fog1	Scl	5
cJun	Fli1	4
Gata2	EgrNab	4
cJun	Eklf	4
Cebpa	Fli1	3
Eklf	Fli1	3
Pu1	Fli1	3
Cebpa	Scl	3
EgrNab	Fli1	3
EgrNab	Eklf	3
Fli1	Eklf	3
Pu1	Eklf	3
cJun	EgrNab	3
Gfi1	Fli1	3
Pu1	Scl	2
cJun	Scl	2
EgrNab	Scl	2
Cebpa	Eklf	2
Scl	Fog1	1
Cebpa	Gfi1	1
EgrNab	Gfi1	1
Gata1	Fli1	1
Gata2	cJun	1
Eklf	cJun	1
Fli1	cJun	1
Gata2	Fli1	1
Gata2	Pu1	1
Gata1	Eklf	1
Gfi1	Eklf	1
Gata1	cJun	1
Gfi1	cJun	1
Fog1	cJun	1
Cebpa	cJun	1
Scl	cJun	1
Scl	Pu1	1
Gata1	Scl	1
Cebpa	Pu1	1
Fog1	Pu1	1
Gfi1	Scl	1
Gata2	Eklf	0
Eklf	Pu1	0
Gfi1	EgrNab	0
Fog1	EgrNab	0
Pu1	EgrNab	0
EgrNab	cJun	0
Eklf	EgrNab	0
Fli1	EgrNab	0
Scl	EgrNab	0
Gata1	Gfi1	0
Pu1	cJun	0
Cebpa	EgrNab	0
Scl	Gfi1	0
Fog1	Gfi1	0
Fli1	Gfi1	0
Fli1	Scl	0
Eklf	Scl	0
Gata2	Scl	0
EgrNab	Pu1	0
Gfi1	Pu1	0
cJun	Fog1	0
Gata2	Fog1	0
Eklf	Fog1	0
Pu1	Fog1	0
Fli1	Pu1	0
Fli1	Fog1	0
Cebpa	Fog1	0
Gfi1	Fog1	0
Gata1	Fog1	0
EgrNab	Fog1	0
cJun	Gfi1	0
Gata2	Gfi1	0
Eklf	Gfi1	0
Pu1	Gfi1	0
Gata1	EgrNab	0
