Gene1	Gene2	EdgeWeight
Eklf	Pu1	1.21771780742773
Fli1	Cebpa	1.08197270795442
Fog1	Cebpa	1.03201784925201
Scl	cJun	1.0
EgrNab	Pu1	1.0
Fli1	Gata2	1.0
Fog1	Gfi1	1.0
Fli1	Gfi1	0.996681860172191
EgrNab	cJun	0.9744438622970121
Gata1	cJun	0.9290402003669509
EgrNab	Cebpa	0.888032483487817
Fli1	Pu1	0.8381890366945659
Gfi1	Cebpa	0.8331455280657379
Pu1	Cebpa	0.8280784180515219
Scl	Gata2	0.786758689765275
EgrNab	Gfi1	0.7662518785093001
Eklf	cJun	0.7392738938570121
Scl	Cebpa	0.729294965865131
Eklf	Gata2	0.723920514927742
Eklf	Gfi1	0.692477231967303
Scl	Gfi1	0.684096415287544
Scl	Pu1	0.653947917080099
Gata1	Cebpa	0.642636585551703
Fli1	cJun	0.639566924580769
Gata1	Pu1	0.637883286031834
Eklf	Cebpa	0.6096776740998261
Gfi1	Gfi1	0.5933252703877651
Cebpa	cJun	0.543792383825204
Pu1	Gfi1	0.5365966139606829
Eklf	EgrNab	0.5313329345261111
Gfi1	cJun	0.53029391326973
Fog1	Pu1	0.51043538514244
Fog1	cJun	0.488017634836642
Gata1	Gata2	0.47857367584007204
Gata1	Gfi1	0.475387659117554
Fog1	Gata2	0.464479327232557
Gfi1	Gata2	0.44952015231145703
Gata2	cJun	0.427360940243485
Gata1	Gata1	0.422023881290159
Cebpa	Cebpa	0.3754816480444
Gfi1	Pu1	0.37310358525993603
cJun	Pu1	0.37034584860526293
Cebpa	Gata1	0.36890595005416105
Gata2	Pu1	0.35345377036809295
Fli1	EgrNab	0.339437893310173
EgrNab	Gata2	0.336375352775229
EgrNab	Gata1	0.33566880594949
Gfi1	Gata1	0.327000512660385
cJun	cJun	0.32367887540386303
cJun	Cebpa	0.32049424477368205
Cebpa	Pu1	0.309813016991402
Cebpa	Gata2	0.298982004306526
Pu1	cJun	0.298751338143255
Eklf	Fog1	0.297526508148539
Cebpa	Gfi1	0.295692551952242
Fli1	Eklf	0.288028613122099
Gata2	Cebpa	0.279745111645425
cJun	Gfi1	0.26270015439519395
EgrNab	EgrNab	0.253662809873618
Pu1	Gata2	0.24516829411731797
Pu1	Gata1	0.2398608427714
Gata2	Gfi1	0.23299574952373497
Gata2	Gata2	0.20500755854916602
Pu1	Pu1	0.196509086492832
Fli1	Fog1	0.18479749802662399
Gata2	Gata1	0.156233645534541
Eklf	Eklf	0.135950308772665
cJun	Gata1	0.13445785122537401
cJun	Gata2	0.12285660428538499
Fog1	Eklf	0.119202667030982
Fog1	Fog1	0.11188018643058699
Scl	EgrNab	0.099993839164143
Gata1	Fog1	0.0639209768411087
Scl	Eklf	0.0592509708402442
Gata1	EgrNab	0.0569350685537663
Scl	Fog1	0.0508120717223793
Fog1	Gata1	0.0463420674322307
EgrNab	Fog1	0.0390629389113167
Gata2	EgrNab	0.0372039232519637
cJun	EgrNab	0.0355573744940456
Fog1	EgrNab	0.0311546827420766
Pu1	EgrNab	0.0307436725745892
Cebpa	EgrNab	0.0305562122946195
Gfi1	EgrNab	0.030341425951562
Cebpa	Fog1	0.0302695723316863
EgrNab	Eklf	0.0237767555689475
Eklf	Scl	0.0188359424181676
Scl	Scl	0.0184033333180407
Fog1	Scl	0.0140448777590932
Scl	Fli1	0.0135900520061092
Scl	Gata1	0.0123080023907482
Pu1	Fog1	0.00910285250861839
cJun	Fli1	0.00627335546912522
cJun	Scl	0.00283894002341015
EgrNab	Scl	0.00209784737781063
Fli1	Gata1	0.00152053986779282
Eklf	Gata1	0.000472445963203836
Fli1	Scl	0.000421043008421805
EgrNab	Fli1	0.00035438975013570896
Gata2	Scl	1.3993361459494198e-36
Eklf	Fli1	1.35653279575436e-36
Gata1	Fli1	1.19658992335678e-36
Gata2	Fog1	7.23518856058223e-37
Fli1	Fli1	6.65938970806035e-37
Gata1	Scl	5.914442921646689e-37
Gata1	Eklf	2.7202284559180697e-37
Gata2	Fli1	1.74089206277148e-37
cJun	Eklf	1.44625036492148e-37
cJun	Fog1	1.37452623799324e-37
Cebpa	Eklf	9.32401192535963e-38
Gfi1	Scl	7.407975821285799e-39
Gfi1	Fli1	0.0
Fog1	Fli1	0.0
Gata2	Eklf	0.0
Cebpa	Fli1	0.0
Pu1	Fli1	0.0
Gata2	Eklf	0.0
Cebpa	Scl	0.0
Pu1	Scl	0.0
Gfi1	Eklf	0.0
Pu1	Eklf	0.0
Fog1	Fli1	0.0
Pu1	Eklf	0.0
Fog1	Fli1	0.0
Gata2	Eklf	0.0
Pu1	Eklf	0.0
Gfi1	Eklf	0.0
Pu1	Scl	0.0
Cebpa	Scl	0.0
Pu1	Fli1	0.0
Cebpa	Fli1	0.0
Fog1	Fli1	0.0
Gfi1	Fli1	0.0
Gfi1	Fog1	0.0
Gfi1	Fog1	0.0
Gfi1	Fli1	0.0
Cebpa	Fli1	0.0
Gfi1	Eklf	0.0
Pu1	Fli1	0.0
Cebpa	Scl	0.0
Pu1	Scl	0.0
Gfi1	Eklf	0.0
Pu1	Eklf	0.0
Gata2	Eklf	0.0
Gfi1	Fog1	0.0
Gfi1	Fli1	0.0
Cebpa	Fli1	0.0
Pu1	Fli1	0.0
Cebpa	Scl	0.0
Pu1	Scl	0.0
Gfi1	Fog1	0.0
