Gene1	Gene2	EdgeWeight
Cebpa	Gfi1	0.4826476921200191
Gfi1	Cebpa	0.4440081320608536
cJun	EgrNab	0.4267008230556845
Scl	Fog1	0.4195414075238398
EgrNab	cJun	0.40853466621929774
Fog1	Scl	0.395094497685415
Fli1	Eklf	0.3279894805937268
Scl	Gata1	0.32213851130330234
Eklf	Fli1	0.30280423443864657
Fog1	Gata1	0.2914635676334147
Gata1	Scl	0.26866059084062743
Gata1	Fog1	0.2458107502585794
Gata1	Pu1	0.22213600969513894
Gata1	Gata2	0.2174812934517877
Fog1	Fli1	0.21563034752293025
Scl	Fli1	0.2096328864140556
Scl	Eklf	0.1918180949645
Fog1	Eklf	0.17745467448436678
Gfi1	EgrNab	0.1583927276498582
cJun	Cebpa	0.15787665731873918
Cebpa	cJun	0.15632288876406858
Cebpa	EgrNab	0.1506021186661918
Gfi1	cJun	0.14856538622991994
Scl	Pu1	0.14343660338400993
Fog1	Pu1	0.13223868035461425
cJun	Gfi1	0.12859706275966104
EgrNab	Gfi1	0.12652496830522314
Fli1	Fog1	0.12415804922155595
Gata1	Eklf	0.12225275638524165
EgrNab	Cebpa	0.11761546774853365
Fli1	Scl	0.1168236730312833
Gata1	Fli1	0.11425155779178026
Eklf	Scl	0.11252595455993482
Fli1	Gata1	0.11093298447047788
Eklf	Gata2	0.10927098625485884
Scl	Gata2	0.10869111175381294
Fli1	Gata2	0.10768697624800096
Gata2	Pu1	0.10621718448417897
Cebpa	Gata2	0.10078122841616058
Fog1	Gata2	0.099581291806695
Eklf	Fog1	0.09600025742747262
Pu1	Gata2	0.09407576604708184
Eklf	Gata1	0.09369681304785747
Gata1	cJun	0.0903131718352393
Fli1	Pu1	0.0760274646548859
Gfi1	Gata2	0.07545163283687585
Gata1	EgrNab	0.07452510677706495
Pu1	Gata1	0.07360458884860913
Eklf	Pu1	0.06900865912713268
Cebpa	Pu1	0.06569889793236666
EgrNab	Pu1	0.06330451094712028
Gfi1	Pu1	0.06153219178757183
Scl	Cebpa	0.06094221742847439
cJun	Pu1	0.06039979763298019
Pu1	EgrNab	0.06019180086878865
Gata1	Cebpa	0.05939738013765295
Fog1	Cebpa	0.059385691849887685
Gata1	Gfi1	0.05790767070944373
cJun	Gata2	0.057797699819608826
Gata2	Gata1	0.056857185148405626
Gata2	Eklf	0.05646847451436069
Fog1	cJun	0.04904232564834355
Pu1	Fog1	0.048482712864827936
Scl	Gfi1	0.0466011037956728
Fog1	Gfi1	0.045917001982132534
Scl	cJun	0.043823008790495804
Gata2	Fli1	0.04211681587866657
Pu1	Scl	0.041380879469731714
Pu1	Eklf	0.03916228136763425
Gata2	Gfi1	0.03832598713515189
Pu1	Fli1	0.03692402876983748
Scl	EgrNab	0.035233721519531976
Gata2	cJun	0.034692199192575705
Pu1	cJun	0.034175577141818084
Fog1	EgrNab	0.03289170688450403
Pu1	Cebpa	0.030410285544655608
Gata2	Cebpa	0.029721649307785723
Pu1	Gfi1	0.029696475357831306
EgrNab	Gata2	0.02918201336511775
Gfi1	Eklf	0.027257481805437685
Gata2	EgrNab	0.02543244700584465
Cebpa	Fli1	0.02508933995449029
Cebpa	Eklf	0.02440703501039272
Cebpa	Fog1	0.023870584698666604
Eklf	Gfi1	0.022034962209824024
Fli1	Gfi1	0.021747075625040142
Gfi1	Fli1	0.020672772251595268
Cebpa	Scl	0.020593115770485646
Fli1	Cebpa	0.02046444327987606
Eklf	Cebpa	0.020178075323541805
cJun	Fli1	0.01982989803507346
cJun	Eklf	0.018493109190211143
Fli1	cJun	0.018484295572771783
Fli1	EgrNab	0.01835492304062261
Eklf	EgrNab	0.017674624531908392
Cebpa	Gata1	0.01606773392401483
Eklf	cJun	0.016046480605469846
cJun	Fog1	0.01603709473185783
Gata2	Scl	0.0150901387879917
cJun	Gata1	0.014809940487381375
EgrNab	Eklf	0.014696611684128313
cJun	Scl	0.014052573415927591
EgrNab	Fli1	0.013048118942924649
Gata2	Fog1	0.012463775991257921
EgrNab	Gata1	0.010691005518767609
Gfi1	Gata1	0.00973766961776828
Gfi1	Scl	0.009656144784882591
Gfi1	Fog1	0.007579126257303539
EgrNab	Scl	0.006122431653719731
EgrNab	Fog1	0.0060562410246384705
