Gene1	Gene2	EdgeWeight
Cebpa	Gfi1	1.932174073614624
Gfi1	Cebpa	1.932174073614624
cJun	EgrNab	1.915324416666778
EgrNab	cJun	1.915324416666778
Pu1	Gata1	1.8665534965475377
Gata1	Pu1	1.8665534965475377
Scl	Fog1	1.7995909657698292
Fog1	Scl	1.7995909657698292
Gfi1	EgrNab	1.7826451909333894
EgrNab	Gfi1	1.7826451909333894
Gata2	Gata1	1.7684353315664485
Gata1	Gata2	1.7684353315664485
Cebpa	EgrNab	1.7671788081162392
EgrNab	Cebpa	1.7671788081162392
Scl	Gata1	1.6943381293365982
Gata1	Scl	1.6943381293365982
Pu1	Scl	1.6892229716416265
Scl	Pu1	1.6892229716416265
Fog1	Gata1	1.6841009013778736
Gata1	Fog1	1.6841009013778736
cJun	Gfi1	1.6805348616552505
Gfi1	cJun	1.6805348616552505
Gata2	Pu1	1.6781238807546317
Pu1	Gata2	1.6781238807546317
Pu1	Fog1	1.6776007720110844
Fog1	Pu1	1.6776007720110844
cJun	Cebpa	1.6347033689453296
Cebpa	cJun	1.6347033689453296
Scl	Fli1	1.6313605164283609
Fli1	Scl	1.6313605164283609
Eklf	Scl	1.6206001805067458
Scl	Eklf	1.6206001805067458
Eklf	Fog1	1.6109792483801892
Fog1	Eklf	1.6109792483801892
Fli1	Fog1	1.607386136449275
Fog1	Fli1	1.607386136449275
Eklf	Fli1	1.3270077101163018
Fli1	Eklf	1.3270077101163018
Fli1	Gata1	1.299242228293305
Gata1	Fli1	1.299242228293305
Pu1	Fli1	1.2961924843748838
Fli1	Pu1	1.2961924843748838
Eklf	Pu1	1.2865854779709882
Pu1	Eklf	1.2865854779709882
Gata2	Gfi1	1.2847794741549636
Gfi1	Gata2	1.2847794741549636
Eklf	Gata1	1.2658133562496292
Gata1	Eklf	1.2658133562496292
Gata2	Cebpa	1.1682098466280042
Cebpa	Gata2	1.1682098466280042
cJun	Pu1	0.9959107774177008
Pu1	cJun	0.9959107774177008
Gata2	Fli1	0.9282557717011324
Fli1	Gata2	0.9282557717011324
cJun	Gata2	0.9045626373198395
Gata2	cJun	0.9045626373198395
cJun	Gata1	0.8886022014915294
Gata1	cJun	0.8886022014915294
Gata2	Eklf	0.8551388701272719
Eklf	Gata2	0.8551388701272719
Pu1	Gfi1	0.8433042216930093
Gfi1	Pu1	0.8433042216930093
Gfi1	Gata1	0.713429041007317
Gata1	Gfi1	0.713429041007317
Pu1	Cebpa	0.6947296801237505
Cebpa	Pu1	0.6947296801237505
Gata2	Fog1	0.6216849741924644
Fog1	Gata2	0.6216849741924644
Cebpa	Gata1	0.5937692085639985
Gata1	Cebpa	0.5937692085639985
Cebpa	Fog1	0.5908732094748931
Fog1	Cebpa	0.5908732094748931
Scl	Cebpa	0.5065769007128094
Cebpa	Scl	0.5065769007128094
Gata1	EgrNab	0.399077931083639
EgrNab	Gata1	0.399077931083639
Gata2	EgrNab	0.3901662911454518
EgrNab	Gata2	0.3901662911454518
Fli1	EgrNab	0.3858531515581151
EgrNab	Fli1	0.3858531515581151
cJun	Scl	0.3723447934719438
Scl	cJun	0.3723447934719438
Gata2	Scl	0.3619023550105561
Scl	Gata2	0.3619023550105561
Pu1	EgrNab	0.36008643783791777
EgrNab	Pu1	0.36008643783791777
Scl	Gfi1	0.3592644193089212
Gfi1	Scl	0.3592644193089212
Fog1	Gfi1	0.3576911649182248
Gfi1	Fog1	0.3576911649182248
Scl	EgrNab	0.3230738435267733
EgrNab	Scl	0.3230738435267733
cJun	Fli1	0.2937100368403702
Fli1	cJun	0.2937100368403702
cJun	Fog1	0.2825490812657885
Fog1	cJun	0.2825490812657885
cJun	Eklf	0.2765125007953061
Eklf	cJun	0.2765125007953061
Fog1	EgrNab	0.2615100547201283
EgrNab	Fog1	0.2615100547201283
Fli1	Cebpa	0.2602060198161379
Cebpa	Fli1	0.2602060198161379
Eklf	Cebpa	0.24806407703795924
Cebpa	Eklf	0.24806407703795924
Eklf	EgrNab	0.23825568966765515
EgrNab	Eklf	0.23825568966765515
Eklf	Gfi1	0.16983436178020533
Gfi1	Eklf	0.16983436178020533
Fli1	Gfi1	0.14308682368642242
Gfi1	Fli1	0.14308682368642242
