Gene1	Gene2	EdgeWeight
Pu1	EgrNab	120
Fog1	Eklf	120
Gata2	Cebpa	120
Gfi1	cJun	120
Eklf	Cebpa	119
EgrNab	cJun	119
Scl	Fli1	119
Gata2	cJun	119
Fli1	Fli1	118
Pu1	cJun	118
Eklf	cJun	118
Cebpa	cJun	118
cJun	cJun	117
cJun	Gata2	117
cJun	Gfi1	116
Pu1	Gata2	116
Fli1	Pu1	116
Gata1	Pu1	116
Eklf	Fli1	115
Gata2	Gata2	115
Gata2	Gata1	115
Fli1	cJun	115
Gfi1	Gfi1	114
Cebpa	Eklf	114
Gata1	Gfi1	113
EgrNab	Eklf	113
EgrNab	Cebpa	113
Gfi1	Pu1	113
Cebpa	Gata1	112
Cebpa	Pu1	112
Gata1	cJun	111
Gata1	Gata1	111
EgrNab	Gata1	111
Pu1	Gata1	110
Scl	Pu1	109
Pu1	Gfi1	109
Cebpa	Gfi1	109
Scl	Cebpa	109
Gfi1	Cebpa	108
Pu1	Cebpa	107
cJun	Pu1	107
Eklf	EgrNab	106
Gfi1	Gata2	105
EgrNab	Gata2	105
Gata1	Cebpa	104
cJun	Gata1	104
Fog1	cJun	103
cJun	Cebpa	103
Gata2	Eklf	101
Fli1	Gfi1	101
EgrNab	EgrNab	100
Eklf	Gfi1	100
Fog1	Gata2	99
EgrNab	Pu1	98
Scl	cJun	98
Fog1	Cebpa	97
EgrNab	Gfi1	97
Fli1	Eklf	96
Cebpa	EgrNab	96
Eklf	Gata2	95
Fog1	Gfi1	94
Gata1	Eklf	93
Fli1	Gata1	92
Cebpa	Fli1	92
Eklf	Eklf	92
EgrNab	Scl	91
Eklf	Pu1	91
Gfi1	EgrNab	91
Pu1	Pu1	90
Scl	Eklf	90
Scl	Gata2	90
Gfi1	Eklf	90
Fog1	Pu1	89
Gata2	Gfi1	88
Fli1	EgrNab	87
Scl	Gfi1	86
Fog1	Fli1	85
Fog1	Gata1	85
Eklf	Scl	84
Gata1	Gata2	84
Gata2	Fli1	82
Scl	Gata1	82
Gata2	Pu1	81
Gata2	EgrNab	80
Eklf	Gata1	80
EgrNab	Fog1	80
Fli1	Cebpa	77
Scl	Scl	77
Gata1	Scl	76
EgrNab	Fli1	75
Fli1	Gata2	74
Gfi1	Scl	72
Gata1	EgrNab	71
Cebpa	Cebpa	70
cJun	EgrNab	68
Gfi1	Gata1	68
Fog1	Scl	68
Gata1	Fli1	67
cJun	Scl	67
Fog1	EgrNab	67
Scl	EgrNab	66
Fog1	Fog1	63
Cebpa	Gata2	62
Cebpa	Scl	62
Gfi1	Fli1	61
Scl	Fog1	56
Pu1	Fli1	54
cJun	Fli1	53
Fli1	Scl	50
cJun	Fog1	48
Eklf	Fog1	41
Gata2	Scl	41
Pu1	Scl	38
Fli1	Fog1	38
cJun	Eklf	36
Gata2	Fog1	36
Gata1	Fog1	36
Gfi1	Fog1	30
Pu1	Fog1	29
Pu1	Eklf	24
Cebpa	Fog1	21
