Gene1	Gene2	EdgeWeight
Pu1	Eklf	379.645014033939
cJun	Eklf	280.333529840637
Pu1	Fli1	226.391942370022
cJun	Fli1	216.22048662664105
Cebpa	Eklf	200.513760724516
Gata2	EgrNab	173.37673133463403
cJun	Scl	169.510926346465
Gfi1	Scl	139.323305359086
Cebpa	Scl	115.964500571199
Gfi1	Eklf	109.980627790979
Cebpa	Fli1	107.18283719993201
cJun	EgrNab	99.656425667595
Gfi1	Fli1	95.81686476686157
Pu1	Fog1	88.3551380546467
Pu1	EgrNab	87.00759888215599
Gata2	Fog1	82.03014459318871
Cebpa	EgrNab	81.5544151504996
Pu1	Gata2	69.65433950790029
Gata1	EgrNab	67.9753483656929
EgrNab	Fli1	66.8769014816676
Pu1	Gata1	63.7400776921016
EgrNab	Fog1	62.35391350180939
Fli1	EgrNab	60.244517012253894
cJun	Fog1	59.9521942885053
cJun	Gata2	59.675564903428295
Gfi1	Gata2	56.3231452688671
Gata2	Eklf	56.20146042865829
Gata2	Gfi1	55.652647863406
Gata1	Fog1	52.3632787942599
Cebpa	Cebpa	51.4664477483366
Cebpa	Gata2	51.138552951178596
cJun	Gata1	51.0336616210516
Gata2	Gata1	50.574709834937494
Gata2	Fli1	50.03438162096401
EgrNab	Eklf	48.207688628798714
Gfi1	Cebpa	47.55280510956821
Gfi1	Fog1	46.9834448499407
Cebpa	Gfi1	45.808928791537
Gfi1	Gata1	43.669202402509
Gfi1	Gfi1	42.204001227378505
Cebpa	Fog1	41.229271199869
Scl	EgrNab	41.0451587887189
Cebpa	Gata1	38.41484657712071
Gfi1	EgrNab	37.9053074205658
cJun	Gfi1	37.732565794561204
Gata1	Eklf	37.330014308524795
cJun	Cebpa	35.3889578996244
Pu1	Gfi1	35.2526551802859
Gata2	Cebpa	34.2756747956727
Gata1	Fli1	34.1178242892411
Pu1	Scl	33.8247371193403
Gata1	Gfi1	31.961496985148106
Gata2	Gata2	30.923137608271
Gata1	Gata2	25.98380816882
Fli1	Fli1	25.8915673577537
Gata1	Gata1	25.5635764927843
Pu1	Cebpa	23.5228586665795
Eklf	EgrNab	21.7406599332117
Fli1	Gata1	20.4248339208501
Fli1	Gfi1	20.2361863269298
Fli1	Fog1	19.7400271282197
Gata2	cJun	18.889401968812802
EgrNab	Gata2	17.559352269167
Scl	Fli1	16.853538597892694
Fli1	Gata2	16.1197431122342
Gata1	Scl	15.9438858860426
EgrNab	cJun	15.757085423438197
Gata2	Scl	15.4168721228425
Gata1	Cebpa	14.831445024188099
Fli1	Cebpa	13.606183937607698
Fog1	cJun	12.997595245746
EgrNab	Gata1	12.757705801798199
Fog1	EgrNab	12.379705203359
Scl	Gfi1	12.362163075265801
Pu1	cJun	12.230213250184901
Fog1	Fog1	12.0000873066379
Gfi1	Pu1	11.4727781154735
Scl	Gata1	11.4409164556901
Eklf	cJun	11.3673292557997
Scl	Scl	11.2579991409486
Cebpa	Pu1	11.209442753090697
Fog1	Fli1	10.967382311733902
Fli1	Eklf	10.625522132614
EgrNab	Pu1	10.4344097257288
Gata1	cJun	10.1128883407101
Eklf	Cebpa	10.0958291960718
Gata2	Pu1	9.711291867603007
Fli1	cJun	9.52207607474195
Fog1	Cebpa	9.465209586622981
Scl	Fog1	8.9993074950688
cJun	Pu1	8.97740676853902
Gata1	Pu1	8.914896826474552
Eklf	Fog1	8.444139486716159
Scl	Gata2	8.21922756439304
Scl	Eklf	7.95121766903263
Scl	cJun	7.9013967875543
EgrNab	EgrNab	7.60489032347908
Eklf	Fli1	7.56999838424684
Fog1	Gfi1	7.4335541657910715
Pu1	Pu1	6.99888818822506
Eklf	Scl	6.955092749513639
Fog1	Gata2	6.70768177396156
Scl	Cebpa	6.45461865522593
Eklf	Eklf	6.14555657080883
Fli1	Scl	5.917367829060678
Fog1	Gata1	5.656581834213821
Fog1	Pu1	5.117827636469031
cJun	cJun	5.05832701295077
EgrNab	Gfi1	5.051296561650902
Eklf	Gfi1	4.97535520961421
Eklf	Gata2	4.63137621535185
Fog1	Scl	4.58565686839779
Fog1	Eklf	4.482397130796
Fli1	Pu1	4.37477091938151
Eklf	Gata1	4.33380140770668
Scl	Pu1	3.89589138709922
Cebpa	cJun	3.2863696080937004
Gfi1	cJun	3.21477870498639
EgrNab	Scl	2.75939200463937
Eklf	Pu1	2.04689057359843
EgrNab	Cebpa	1.09401830316505
