,VSC_2000_0,VSC_2000_0_20,VSC_2000_0_50,VSC_2000_1,VSC_2000_1_20,VSC_2000_1_50,VSC_2000_2,VSC_2000_2_20,VSC_2000_2_50,VSC_2000_3,VSC_2000_3_20,VSC_2000_3_50,VSC_2000_4,VSC_2000_4_20,VSC_2000_4_50,VSC_2000_5,VSC_2000_5_20,VSC_2000_5_50,VSC_2000_6,VSC_2000_6_20,VSC_2000_6_50,VSC_2000_7,VSC_2000_7_20,VSC_2000_7_50,VSC_2000_8,VSC_2000_8_20,VSC_2000_8_50,VSC_2000_9,VSC_2000_9_20,VSC_2000_9_50
PIDC,0.5,0.5,0.625,0.5,0.5,0.625,0.5,0.5625,0.5625,0.5,0.5,0.625,0.5,0.5,0.625,0.5,0.5,0.5625,0.5,0.5,0.5625,0.5,0.5,0.5625,0.5,0.5,0.625,0.5625,0.5625,0.625
GRNVBEM,0.1,0.14285714285714285,0.11764705882352941,0.10344827586206896,0.10344827586206896,0.2608695652173913,0.17391304347826086,0.13043478260869565,0.17391304347826086,0.041666666666666664,0.09090909090909091,0.16666666666666666,0.11538461538461539,0.08695652173913043,0.15,0.2,0.19230769230769232,0.2777777777777778,0.12,0.125,0.21739130434782608,0.18518518518518517,0.19230769230769232,0.3,0.15,0.16,0.15,0.25925925925925924,0.23076923076923078,0.2857142857142857
GENIE3,0.6666666666666666,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6,0.6666666666666666,0.6,0.6,0.6666666666666666,0.6,0.6,0.6666666666666666,0.6,0.6,0.6666666666666666,0.6,0.6,0.6666666666666666,0.6,0.6,0.6666666666666666,0.6,0.6,0.6666666666666666,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6
GRNBOOST2,0.7333333333333333,0.7333333333333333,0.6,0.7333333333333333,0.7333333333333333,0.6,0.7333333333333333,0.6666666666666666,0.6,0.7333333333333333,0.6666666666666666,0.6,0.7333333333333333,0.7333333333333333,0.6,0.7333333333333333,0.7333333333333333,0.5333333333333333,0.7333333333333333,0.7333333333333333,0.5333333333333333,0.7333333333333333,0.6666666666666666,0.5333333333333333,0.7333333333333333,0.6666666666666666,0.5333333333333333,0.7333333333333333,0.7333333333333333,0.5333333333333333
PPCOR,0.375,0.375,0.5,0.4375,0.4375,0.5,0.4375,0.4375,0.625,0.4375,0.4375,0.5,0.375,0.375,0.5,0.5,0.4375,0.625,0.5,0.5,0.625,0.4375,0.4375,0.625,0.4375,0.4375,0.625,0.4375,0.4375,0.625
SCODE,0.26666666666666666,0.4,0.4666666666666667,0.3333333333333333,0.4,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.4,0.4,0.4666666666666667,0.4,0.3333333333333333,0.4666666666666667,0.4,0.5333333333333333,0.4666666666666667,0.4,0.26666666666666666,0.4,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.4666666666666667,0.26666666666666666,0.4,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333
SCNS,0.35294117647058826,0.26666666666666666,0.4,0.4,0.35294117647058826,0.3684210526315789,0.3333333333333333,0.5333333333333333,0.17647058823529413,0.3181818181818182,0.35294117647058826,0.4,0.3888888888888889,0.4,0.4,0.35,0.2692307692307692,0.3333333333333333,0.3333333333333333,0.35294117647058826,0.35294117647058826,0.34782608695652173,0.23529411764705882,0.4117647058823529,0.3125,0.2777777777777778,0.35294117647058826,0.3076923076923077,0.4375,0.4117647058823529
SINCERITIES,0.13333333333333333,0.06666666666666667,0.2,0.2,0.13333333333333333,0.2,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.2,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.2,0.2,0.2,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.2,0.06666666666666667,0.3333333333333333
LEAP,0.2,0.2,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.4,0.4,0.4,0.4,0.4,0.25,0.3333333333333333,0.2,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.25,0.13333333333333333,0.2,0.26666666666666666,0.3333333333333333,0.5333333333333333,0.2,0.13333333333333333,0.2,0.13333333333333333,0.13333333333333333,0.26666666666666666
GRISLI,0.3333333333333333,0.4375,0.3125,0.47058823529411764,0.4,0.25,0.5,0.5,0.5333333333333333,0.35294117647058826,0.375,0.3125,0.3333333333333333,0.3125,0.4,0.375,0.4,0.375,0.6,0.5,0.4117647058823529,0.4375,0.4444444444444444,0.4444444444444444,0.2777777777777778,0.3333333333333333,0.4375,0.3333333333333333,0.4666666666666667,0.47058823529411764
SCINGE,0.375,0.26666666666666666,0.2,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.4,0.3333333333333333,0.3125,0.4,0.4666666666666667,0.375,0.3333333333333333,0.23529411764705882,0.26666666666666666,0.2,0.2,0.23529411764705882,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.17647058823529413,0.25,0.3333333333333333,0.2,0.11764705882352941,0.06666666666666667
SCRIBE,0.06666666666666667,0.0,0.2,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.26666666666666666,0.2,0.2,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.2,0.0,0.0,0.2,0.13333333333333333,0.06666666666666667,0.2,0.2,0.13333333333333333,0.26666666666666666,0.2,0.2,0.13333333333333333,0.06666666666666667,0.06666666666666667
