,VSC_2000_0,VSC_2000_1,VSC_2000_2,VSC_2000_3,VSC_2000_4,VSC_2000_5,VSC_2000_6,VSC_2000_7,VSC_2000_8,VSC_2000_9,VSC_2000_0_20,VSC_2000_1_20,VSC_2000_2_20,VSC_2000_3_20,VSC_2000_4_20,VSC_2000_5_20,VSC_2000_6_20,VSC_2000_7_20,VSC_2000_8_20,VSC_2000_9_20,VSC_2000_0_50,VSC_2000_1_50,VSC_2000_2_50,VSC_2000_3_50,VSC_2000_4_50,VSC_2000_5_50,VSC_2000_6_50,VSC_2000_7_50,VSC_2000_8_50,VSC_2000_9_50
GENIE3,1.0,1.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,1.2,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
GRISLI,0.0,0.4,0.6,0.8,0.2,0.2,0.6,0.0,0.4,0.8,0.4,0.4,0.6,0.4,0.4,0.6,0.4,0.2,0.6,0.6,0.0,0.0,0.6,0.6,0.6,0.0,0.6,0.6,0.2,0.6
GRNBOOST2,0.6,0.6,0.6,0.8,0.6,0.6,0.6,0.8,0.6,0.8,0.6,0.6,0.8,0.8,0.6,0.8,0.8,1.0,0.8,0.6,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.4,1.4,1.2
GRNVBEM,1.2,2.2,1.4,1.6,1.8,1.8,1.8,2.2,1.6,1.6,1.2,2.2,1.4,1.0,1.6,1.8,1.8,1.8,1.6,1.6,1.0,1.4,1.2,0.8,1.2,1.0,1.2,1.2,1.0,1.0
LEAP,1.4,1.4,1.2,1.0,1.2,1.2,1.6,1.2,1.0,1.2,1.2,1.4,1.2,1.4,1.2,1.2,1.2,1.4,1.0,1.2,1.2,1.2,1.2,1.4,1.0,1.0,0.8,1.2,1.2,1.2
SCINGE,0.2,0.6,0.2,0.2,0.6,0.2,0.4,0.4,0.2,0.2,0.0,0.4,0.2,0.2,0.4,0.2,0.2,0.4,0.2,0.6,0.0,0.4,0.2,0.2,0.4,0.0,0.2,0.0,0.2,0.2
SCNS,0.6,0.2,0.4,0.8,0.4,1.0,0.2,1.0,0.4,0.4,0.2,0.2,0.6,0.8,0.4,1.0,0.4,0.2,0.2,0.2,0.6,0.6,0.2,0.4,0.4,0.2,0.2,0.6,0.2,0.6
SCODE,0.2,0.2,0.4,0.2,0.0,0.2,0.2,0.0,0.2,0.8,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
SCRIBE,1.0,0.6,0.4,0.6,0.6,0.4,1.0,0.8,0.4,1.0,1.0,0.4,0.0,0.6,0.6,0.2,0.8,0.8,0.4,1.0,1.0,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.2,0.6
SINCERITIES,0.0,0.0,0.4,0.2,0.8,0.4,0.8,0.2,0.4,0.2,0.0,0.0,0.4,0.2,0.8,0.2,0.8,0.2,0.2,0.2,0.2,0.2,0.0,0.2,1.0,0.2,0.6,0.4,0.2,0.2
