Gene1	Gene2	EdgeWeight
Nkx22	Dbx2	63
Nkx22	Olig2	63
Nkx61	Dbx2	63
Nkx62	Dbx2	63
Olig2	Dbx2	63
Olig2	Olig2	62
Nkx22	Dbx1	62
Nkx62	Nkx22	62
Dbx2	Dbx1	61
Nkx62	Pax6	61
Pax6	Dbx2	61
Irx3	Dbx1	60
Pax6	Olig2	60
Nkx61	Olig2	60
Irx3	Dbx2	60
Nkx62	Dbx1	59
Pax6	Dbx1	59
Olig2	Dbx1	59
Nkx61	Dbx1	59
Dbx1	Nkx62	58
Dbx2	Olig2	58
Nkx22	Irx3	58
Irx3	Olig2	57
Nkx62	Olig2	57
Olig2	Pax6	56
Dbx1	Dbx2	56
Dbx1	Dbx1	56
Dbx2	Dbx2	55
Dbx1	Irx3	55
Dbx2	Irx3	55
Irx3	Nkx62	54
Dbx2	Nkx22	53
Dbx2	Pax6	52
Dbx2	Nkx61	52
Dbx1	Olig2	51
Olig2	Nkx62	51
Dbx1	Nkx22	50
Nkx22	Pax6	49
Nkx62	Nkx61	49
Nkx62	Nkx62	48
Olig2	Irx3	47
Nkx61	Nkx62	47
Irx3	Nkx22	45
Irx3	Irx3	44
Pax6	Nkx61	42
Pax6	Irx3	42
Nkx61	Pax6	41
Dbx2	Nkx62	41
Nkx62	Irx3	40
Nkx61	Irx3	40
Nkx22	Nkx62	40
Irx3	Nkx61	38
Olig2	Nkx22	37
Irx3	Pax6	35
Pax6	Nkx22	34
Olig2	Nkx61	34
Dbx1	Nkx61	33
Nkx22	Nkx22	32
Pax6	Nkx62	31
Dbx1	Pax6	30
Nkx61	Nkx61	28
Nkx22	Nkx61	19
Nkx61	Nkx22	19
Pax6	Pax6	16
