Gene1	Gene2	EdgeWeight
Dbx2	Nkx62	0.8686691908782791
Pax6	Irx3	0.86623620830555
Irx3	Pax6	0.86623620830555
Irx3	Dbx2	0.8642356811886609
Dbx2	Irx3	0.8642356811886609
Dbx2	Nkx61	0.8462918886863141
Nkx62	Dbx2	0.8441072611662149
Dbx1	Dbx2	0.841480597912315
Dbx2	Dbx1	0.8414011144150358
Dbx1	Nkx61	0.8388401149854492
Nkx61	Dbx2	0.8377875171731609
Pax6	Olig2	0.835492781142617
Olig2	Pax6	0.835492781142617
Nkx61	Nkx62	0.8177165712113449
Nkx62	Nkx61	0.815456394315013
Nkx61	Dbx1	0.815123183329854
Nkx22	Nkx61	0.7646632771344541
Nkx22	Olig2	0.757794377055612
Irx3	Olig2	0.757764258597855
Olig2	Irx3	0.757764258597855
Irx3	Nkx62	0.7555298629371999
Dbx1	Irx3	0.755235664413905
Nkx61	Irx3	0.754708976052368
Nkx22	Dbx1	0.7494680946366021
Nkx62	Irx3	0.740072337674907
Nkx61	Nkx22	0.736392452647707
Irx3	Nkx61	0.736049961820522
Pax6	Nkx22	0.722437468677028
Irx3	Dbx1	0.721885767907583
Dbx1	Nkx22	0.7192856612823529
Nkx22	Dbx2	0.717634191464193
Pax6	Dbx2	0.7094058612961991
Olig2	Nkx22	0.7093085525242541
Irx3	Nkx22	0.7080858355672249
Pax6	Dbx1	0.7071488875486339
Nkx22	Irx3	0.7020470886655741
Dbx2	Nkx22	0.685556377450601
Nkx62	Dbx1	0.683755465291813
Dbx1	Pax6	0.6805754240643
Dbx1	Nkx62	0.677422169301511
Pax6	Nkx61	0.6732047437732409
Nkx22	Pax6	0.6639535083746609
Dbx2	Pax6	0.661854885155099
Nkx22	Nkx62	0.656990861849339
Nkx62	Nkx22	0.6449870643028199
Nkx61	Pax6	0.6347988059141779
Nkx62	Pax6	0.621428609252708
Pax6	Nkx62	0.598262968386314
Olig2	Dbx2	0.597629653045075
Olig2	Dbx1	0.573151137498576
Dbx1	Olig2	0.573151137498576
Dbx2	Olig2	0.568665647954192
Olig2	Nkx62	0.5402051243756629
Nkx62	Olig2	0.496894568225827
Olig2	Nkx61	0.466533356049117
Nkx61	Olig2	0.466533356049117
