Gene1	Gene2	EdgeWeight
Nkx22	Pax6	1.9076991680079685
Pax6	Nkx22	1.9076991680079685
Olig2	Irx3	1.8391082339884892
Irx3	Olig2	1.8391082339884892
Nkx61	Dbx2	1.8009696140659832
Dbx2	Nkx61	1.8009696140659832
Dbx1	Dbx2	1.7968243340504741
Dbx2	Dbx1	1.7968243340504741
Nkx62	Dbx1	1.77502023966878
Dbx1	Nkx62	1.77502023966878
Nkx62	Dbx2	1.7215982015405047
Dbx2	Nkx62	1.7215982015405047
Nkx22	Irx3	1.6172306647351284
Irx3	Nkx22	1.6172306647351284
Nkx22	Olig2	1.594743749455064
Olig2	Nkx22	1.594743749455064
Pax6	Olig2	1.547604048741009
Olig2	Pax6	1.547604048741009
Pax6	Irx3	1.5251560251281808
Irx3	Pax6	1.5251560251281808
Nkx62	Nkx61	1.522160279611278
Nkx61	Nkx62	1.522160279611278
Dbx1	Nkx61	1.4418532110217657
Nkx61	Dbx1	1.4418532110217657
Dbx2	Irx3	1.0073476137965942
Irx3	Dbx2	1.0073476137965942
Nkx22	Dbx1	0.5973142745296496
Dbx1	Nkx22	0.5973142745296496
Dbx1	Olig2	0.5883527517983804
Olig2	Dbx1	0.5883527517983804
Nkx61	Irx3	0.5796100277624496
Irx3	Nkx61	0.5796100277624496
Nkx22	Dbx2	0.530103761873257
Dbx2	Nkx22	0.530103761873257
Nkx62	Olig2	0.5224775025004977
Olig2	Nkx62	0.5224775025004977
Olig2	Dbx2	0.5171973775453811
Dbx2	Olig2	0.5171973775453811
Nkx62	Nkx22	0.4988488119291292
Nkx22	Nkx62	0.4988488119291292
Dbx1	Irx3	0.4692944966095974
Irx3	Dbx1	0.4692944966095974
Nkx62	Irx3	0.4690533407599291
Irx3	Nkx62	0.4690533407599291
Pax6	Dbx2	0.4361795666592061
Dbx2	Pax6	0.4361795666592061
Nkx22	Nkx61	0.3968578753558608
Nkx61	Nkx22	0.3968578753558608
Nkx61	Olig2	0.3578772964341718
Olig2	Nkx61	0.3578772964341718
Dbx1	Pax6	0.3409617614188802
Pax6	Dbx1	0.3409617614188802
Nkx62	Pax6	0.2785269635932341
Pax6	Nkx62	0.2785269635932341
Pax6	Nkx61	0.10631313294733268
Nkx61	Pax6	0.10631313294733268
