Gene1	Gene2	EdgeWeight
Nkx62	Dbx2	63
Dbx1	Olig2	62
Irx3	Nkx22	61
Pax6	Nkx62	60
Nkx61	Olig2	59
Nkx61	Nkx22	58
Dbx2	Olig2	57
Nkx61	Dbx1	56
Nkx62	Nkx61	55
Irx3	Dbx2	54
Nkx22	Pax6	53
Dbx1	Irx3	52
Nkx22	Dbx2	51
Nkx61	Irx3	50
Dbx2	Nkx62	49
Pax6	Dbx1	48
Irx3	Pax6	47
Irx3	Nkx62	46
Nkx62	Olig2	45
Dbx1	Dbx1	44
Nkx62	Nkx22	43
Nkx22	Irx3	42
Dbx1	Pax6	41
Dbx2	Dbx1	40
Nkx62	Nkx62	39
Olig2	Dbx2	38
Pax6	Nkx22	37
Pax6	Dbx2	36
Olig2	Nkx61	35
Olig2	Dbx1	34
Nkx62	Dbx1	33
Dbx2	Dbx2	32
Irx3	Irx3	31
Nkx61	Dbx2	30
Nkx22	Nkx62	29
Dbx1	Dbx2	28
Olig2	Olig2	27
Nkx22	Dbx1	26
Nkx61	Nkx62	25
Olig2	Nkx22	24
Olig2	Irx3	23
Dbx2	Irx3	22
Dbx1	Nkx62	21
Dbx2	Nkx61	20
Pax6	Olig2	19
Nkx22	Nkx22	18
Nkx22	Olig2	17
Pax6	Nkx61	16
Pax6	Irx3	15
Irx3	Dbx1	14
Olig2	Nkx62	13
Irx3	Olig2	12
Olig2	Pax6	11
Dbx2	Pax6	10
Nkx62	Irx3	9
Dbx1	Nkx22	8
Dbx2	Nkx22	7
Nkx61	Pax6	6
Pax6	Pax6	5
Dbx1	Nkx61	4
Nkx22	Nkx61	3
Irx3	Nkx61	2
Nkx62	Pax6	1
Nkx61	Nkx61	0
