Gene1	Gene2	EdgeWeight
Nkx62	Dbx2	0.8385271842425122
Dbx2	Nkx62	0.831847800352896
Irx3	Dbx2	0.811349778402361
Dbx2	Irx3	0.804889068705097
Dbx2	Dbx1	0.8036874534582779
Dbx1	Dbx2	0.7989402681917529
Dbx1	Nkx62	0.7621552621665071
Nkx22	Irx3	0.7404161194121601
Nkx22	Olig2	0.7396950222682521
Olig2	Nkx22	0.734428804351431
Irx3	Olig2	0.733871771145158
Olig2	Irx3	0.732662896502423
Nkx62	Dbx1	0.7244496477566791
Irx3	Nkx62	0.7077238217767622
Dbx1	Olig2	0.7034216205666551
Irx3	Nkx22	0.7002420378559339
Irx3	Dbx1	0.694778779997246
Nkx22	Nkx62	0.694622817234003
Nkx62	Irx3	0.68495269595199
Dbx1	Irx3	0.679416599554549
Nkx22	Dbx2	0.6774832032961561
Nkx22	Dbx1	0.67001723041773
Olig2	Dbx2	0.6592218049948699
Dbx2	Nkx22	0.6576950097616899
Olig2	Dbx1	0.655435970028462
Olig2	Nkx62	0.6537837027948821
Dbx2	Olig2	0.6345716456160551
Pax6	Olig2	0.631690966715474
Olig2	Pax6	0.631690966715474
Dbx1	Nkx22	0.6281477280499279
Nkx62	Olig2	0.624696136900082
Nkx62	Nkx22	0.587652236158526
Irx3	Pax6	0.5873066845992329
Pax6	Irx3	0.5873066845992329
Dbx2	Pax6	0.582484637902146
Pax6	Nkx22	0.581211130654497
Nkx22	Pax6	0.5784657334339279
Dbx1	Pax6	0.551390672693991
Pax6	Dbx2	0.54712536447704
Dbx1	Nkx61	0.5264898403095379
Nkx62	Pax6	0.524392756703264
Pax6	Dbx1	0.521442240998321
Pax6	Nkx62	0.518264542635729
Nkx61	Dbx1	0.50954757993028
Nkx61	Nkx62	0.508559774632163
Nkx61	Dbx2	0.4981599836434071
Dbx2	Nkx61	0.494149652806815
Nkx22	Nkx61	0.47591343799541896
Nkx61	Nkx22	0.4653655641784
Nkx62	Nkx61	0.464315873893212
Nkx61	Olig2	0.454700497862892
Irx3	Nkx61	0.453978589183563
Nkx61	Irx3	0.437758955308956
Pax6	Nkx61	0.389242248353178
Olig2	Nkx61	0.377187341115899
Nkx61	Pax6	0.36466994362935
