Gene1	Gene2	EdgeWeight
Olig2	Nkx61	1.0
Pax6	Dbx1	1.0
Olig2	Nkx22	1.0
Nkx61	Irx3	1.0
Nkx22	Nkx22	1.0
Pax6	Irx3	0.996886406613522
Pax6	Nkx22	0.914999743670427
Nkx22	Irx3	0.9108043224145921
Olig2	Pax6	0.8440328136511991
Pax6	Nkx61	0.7465394526709871
Dbx2	Dbx1	0.7357305466900159
Dbx2	Irx3	0.705824401596549
Olig2	Irx3	0.6679555194661899
Nkx62	Nkx22	0.661678673428545
Pax6	Nkx62	0.64238667926534
Nkx62	Pax6	0.611430551530229
Pax6	Olig2	0.600799342333707
Dbx2	Nkx62	0.565812691621048
Nkx62	Irx3	0.5480522966745051
Nkx62	Nkx62	0.5452605420815171
Pax6	Dbx2	0.529950315716549
Dbx2	Nkx22	0.5091074054596489
Nkx61	Nkx22	0.5064559159826401
Nkx62	Dbx1	0.48953275629605
Dbx1	Irx3	0.46941420408505297
Dbx1	Nkx22	0.4532131694766
Dbx2	Pax6	0.441029610701202
Irx3	Dbx1	0.41328356121564597
Irx3	Irx3	0.406413144315634
Dbx2	Olig2	0.389870276553645
Olig2	Dbx1	0.383178429584971
Dbx1	Pax6	0.365562488625189
Pax6	Pax6	0.360822330235156
Dbx1	Nkx62	0.29072585749643
Irx3	Nkx62	0.28432989675331105
Olig2	Nkx62	0.270729462683155
Nkx22	Dbx2	0.240816512408535
Irx3	Olig2	0.23775580978726898
Olig2	Olig2	0.216455929196348
Dbx1	Dbx1	0.21444220002881698
Irx3	Pax6	0.184618998310013
Nkx62	Olig2	0.164933696565455
Nkx22	Nkx62	0.15400640410903502
Nkx22	Nkx61	0.14433744026311401
Nkx22	Dbx1	0.13005256538627
Nkx61	Dbx2	0.110452155693829
Dbx2	Dbx2	0.0920823013262658
Nkx61	Nkx62	0.0678092002621198
Nkx61	Nkx61	0.0653673271991541
Dbx1	Dbx2	0.0536613186493776
Dbx2	Nkx61	0.0529797858022545
Dbx1	Olig2	0.0432158874204523
Olig2	Dbx2	0.0289984138178502
Dbx1	Nkx61	0.0284133643348721
Nkx62	Nkx61	0.0274577241134951
Nkx61	Pax6	0.0174323475575825
Nkx61	Dbx1	0.014881177303911999
Nkx22	Olig2	0.0107491244997614
Irx3	Nkx22	0.00432023562013941
Irx3	Dbx2	0.00374908954625541
Irx3	Nkx61	5.46258936749366e-35
Nkx62	Dbx2	5.8744494575781105e-36
Nkx61	Olig2	5.3567026997851697e-36
Nkx22	Pax6	0.0
Nkx22	Pax6	0.0
Nkx22	Pax6	0.0
Nkx22	Pax6	0.0
Nkx22	Pax6	0.0
