Gene1	Gene2	EdgeWeight
Pax6	Dbx1	63
Nkx22	Pax6	62
Irx3	Irx3	61
Pax6	Dbx2	60
Dbx2	Irx3	59
Dbx2	Olig2	58
Irx3	Dbx2	57
Olig2	Dbx1	56
Dbx2	Nkx62	55
Nkx61	Olig2	54
Dbx1	Olig2	53
Nkx62	Dbx1	52
Nkx62	Pax6	51
Nkx62	Olig2	50
Olig2	Irx3	49
Pax6	Nkx62	48
Nkx61	Pax6	47
Olig2	Pax6	46
Nkx61	Dbx1	45
Nkx22	Olig2	44
Dbx1	Nkx62	43
Nkx62	Irx3	42
Dbx1	Pax6	41
Dbx1	Irx3	40
Dbx2	Dbx1	39
Nkx61	Irx3	38
Nkx22	Dbx2	37
Pax6	Nkx22	36
Irx3	Nkx22	35
Dbx2	Nkx22	34
Nkx22	Nkx62	33
Olig2	Nkx22	32
Olig2	Dbx2	31
Nkx61	Dbx2	30
Pax6	Olig2	29
Irx3	Olig2	28
Irx3	Dbx1	27
Nkx62	Nkx22	26
Dbx1	Dbx1	25
Dbx1	Nkx22	24
Nkx61	Nkx22	23
Nkx22	Nkx22	22
Nkx22	Dbx1	21
Olig2	Olig2	20
Nkx62	Dbx2	19
Pax6	Pax6	18
Nkx22	Irx3	17
Dbx1	Dbx2	16
Irx3	Nkx61	15
Irx3	Nkx62	14
Dbx2	Pax6	13
Olig2	Nkx62	12
Nkx61	Nkx62	11
Irx3	Pax6	10
Pax6	Irx3	9
Nkx62	Nkx62	8
Dbx2	Dbx2	7
Nkx62	Nkx61	6
Nkx61	Nkx61	5
Olig2	Nkx61	4
Nkx22	Nkx61	3
Dbx1	Nkx61	2
Pax6	Nkx61	1
Dbx2	Nkx61	0
