Gene1	Gene2	EdgeWeight
Nkx22	Pax6	1.8997716837938088
Pax6	Nkx22	1.8997716837938088
Nkx61	Dbx2	1.871664612720581
Dbx2	Nkx61	1.871664612720581
Nkx62	Dbx1	1.777588767691485
Dbx1	Nkx62	1.777588767691485
Dbx1	Dbx2	1.7549813505757768
Dbx2	Dbx1	1.7549813505757768
Olig2	Irx3	1.7419294940881942
Irx3	Olig2	1.7419294940881942
Pax6	Irx3	1.7197727231352844
Irx3	Pax6	1.7197727231352844
Nkx62	Dbx2	1.686328032781156
Dbx2	Nkx62	1.686328032781156
Pax6	Olig2	1.677631813914242
Olig2	Pax6	1.677631813914242
Nkx22	Irx3	1.5850382726160084
Irx3	Nkx22	1.5850382726160084
Nkx62	Nkx61	1.5587267138910448
Nkx61	Nkx62	1.5587267138910448
Nkx22	Olig2	1.5353030258749445
Olig2	Nkx22	1.5353030258749445
Dbx1	Nkx61	1.503985031391176
Nkx61	Dbx1	1.503985031391176
Dbx2	Irx3	0.7892683522392174
Irx3	Dbx2	0.7892683522392174
Nkx61	Irx3	0.7201866385923585
Irx3	Nkx61	0.7201866385923585
Nkx22	Dbx2	0.6107495358544024
Dbx2	Nkx22	0.6107495358544024
Nkx22	Nkx61	0.5813479140987631
Nkx61	Nkx22	0.5813479140987631
Dbx1	Irx3	0.4957958228503378
Irx3	Dbx1	0.4957958228503378
Pax6	Dbx2	0.44869268102115417
Dbx2	Pax6	0.44869268102115417
Nkx62	Olig2	0.4210499072505111
Olig2	Nkx62	0.4210499072505111
Nkx62	Irx3	0.4200929377484584
Irx3	Nkx62	0.4200929377484584
Olig2	Dbx2	0.3924098851369061
Dbx2	Olig2	0.3924098851369061
Dbx1	Olig2	0.3705685361552298
Olig2	Dbx1	0.3705685361552298
Nkx62	Pax6	0.3622784937561008
Pax6	Nkx62	0.3622784937561008
Dbx1	Pax6	0.3336228859878917
Pax6	Dbx1	0.3336228859878917
Nkx61	Olig2	0.3283076295751317
Olig2	Nkx61	0.3283076295751317
Nkx62	Nkx22	0.2960900187893706
Nkx22	Nkx62	0.2960900187893706
Nkx22	Dbx1	0.29382809056301684
Dbx1	Nkx22	0.29382809056301684
Pax6	Nkx61	0.15809302302725198
Nkx61	Pax6	0.15809302302725198
