Gene1	Gene2	EdgeWeight
Nkx61	Dbx2	36
Irx3	Dbx2	34
Dbx1	Dbx2	31
Nkx62	Dbx2	30
Nkx22	Dbx2	29
Olig2	Dbx2	28
Pax6	Dbx2	27
Irx3	Nkx22	9
Pax6	Nkx22	7
Olig2	Nkx22	7
Dbx2	Nkx22	5
Nkx62	Nkx22	4
Nkx61	Nkx22	3
Olig2	Nkx62	2
Irx3	Nkx61	1
Dbx1	Nkx62	1
Nkx22	Nkx62	1
Irx3	Dbx1	1
Nkx22	Pax6	1
Nkx62	Nkx61	1
Nkx22	Dbx1	1
Dbx1	Nkx22	1
Dbx2	Dbx1	0
Nkx62	Pax6	0
Dbx2	Olig2	0
Irx3	Olig2	0
Nkx62	Dbx1	0
Irx3	Nkx62	0
Dbx2	Nkx62	0
Nkx61	Nkx62	0
Pax6	Nkx62	0
Nkx62	Irx3	0
Nkx22	Irx3	0
Dbx1	Irx3	0
Pax6	Irx3	0
Nkx61	Irx3	0
Olig2	Irx3	0
Nkx61	Olig2	0
Pax6	Olig2	0
Dbx1	Olig2	0
Nkx61	Dbx1	0
Olig2	Dbx1	0
Dbx1	Pax6	0
Nkx61	Pax6	0
Olig2	Pax6	0
Dbx2	Pax6	0
Irx3	Pax6	0
Nkx22	Nkx61	0
Nkx22	Olig2	0
Dbx1	Nkx61	0
Pax6	Nkx61	0
Olig2	Nkx61	0
Dbx2	Nkx61	0
Pax6	Dbx1	0
Nkx62	Olig2	0
Dbx2	Irx3	0
