Gene1	Gene2	EdgeWeight
Pax6	Dbx2	38.0466770505465
Irx3	Dbx2	32.2629813331099
Irx3	Irx3	29.4500253512349
Nkx22	Irx3	28.1453927670604
Pax6	Irx3	27.173665737986607
Olig2	Dbx1	26.0019163157727
Olig2	Dbx2	24.402512210849103
Pax6	Dbx1	24.180742802347694
Olig2	Nkx62	22.6136386986089
Nkx62	Nkx62	21.860063602061
Irx3	Dbx1	20.8887138814255
Nkx61	Olig2	20.8039919733223
Pax6	Olig2	20.622197385661305
Nkx61	Nkx62	20.0006063881442
Nkx61	Dbx2	19.6955351071724
Olig2	Irx3	19.2476033306762
Irx3	Nkx62	18.9757275384186
Nkx22	Nkx62	18.856688685642702
Nkx61	Nkx61	17.5903627635387
Nkx62	Dbx2	17.5204799965936
Nkx22	Dbx2	17.4999019625878
Nkx22	Dbx1	17.4470312610781
Nkx62	Dbx1	17.1366303789212
Irx3	Olig2	17.1301574901151
Nkx22	Nkx22	16.7328184390224
Nkx22	Olig2	16.3067278020156
Olig2	Olig2	15.4246651961481
Nkx61	Irx3	15.078687162520499
Dbx1	Nkx62	14.591579522883999
Olig2	Pax6	14.4156929975762
Nkx22	Pax6	12.1113587037185
Nkx62	Pax6	11.656009349819401
Dbx2	Olig2	11.549420491854999
Dbx2	Dbx1	11.2380459206619
Dbx1	Dbx1	10.9563449075886
Nkx61	Nkx22	10.6569127567543
Dbx1	Nkx22	10.5401491382101
Nkx61	Dbx1	10.230164219202301
Dbx2	Pax6	10.1477936755919
Irx3	Nkx22	10.0920924482791
Nkx61	Pax6	9.90881650324743
Nkx62	Nkx22	9.70456328770714
Dbx2	Nkx62	9.548469298432213
Dbx2	Nkx22	9.35905770094216
Nkx62	Olig2	9.27750342960255
Dbx1	Pax6	9.25664046862379
Dbx1	Olig2	9.08825173106435
Dbx2	Dbx2	8.93929708494527
Pax6	Nkx22	8.35786708229927
Nkx62	Irx3	8.3187654326807
Dbx1	Irx3	7.76457478824237
Dbx2	Irx3	7.15854390218462
Olig2	Nkx61	7.01848662756415
Olig2	Nkx22	6.759815884873941
Irx3	Nkx61	6.66705758580669
Nkx22	Nkx61	6.584997323161
Irx3	Pax6	5.9734683912045705
Pax6	Pax6	5.05503518220292
Nkx62	Nkx61	4.989507660783151
Pax6	Nkx61	4.3580539420095485
Dbx1	Nkx61	3.67954795655636
Dbx2	Nkx61	3.49993302871688
Pax6	Nkx62	3.24103101595032
Dbx1	Dbx2	1.87965676716984
