Gene1	Gene2	EdgeWeight
Nkx61	Nkx22	30.0906716020365
Olig2	Dbx2	29.524218389771494
Olig2	Nkx62	27.2801171443104
Olig2	Dbx1	26.1088188385391
Nkx61	Olig2	23.6736066644994
Olig2	Nkx22	22.864641935234104
Pax6	Nkx22	20.917265461738697
Nkx22	Nkx22	20.2341606282363
Nkx61	Nkx61	19.017409932910603
Nkx61	Dbx1	16.324316725696498
Nkx61	Dbx2	15.938521338485902
Nkx22	Dbx2	14.8640219245493
Nkx61	Nkx62	13.7529475885799
Nkx62	Dbx2	13.491251093006499
Pax6	Nkx62	13.2283316967193
Dbx2	Nkx22	12.0708362597908
Nkx62	Nkx22	11.9390677298751
Nkx22	Nkx62	11.894490764584699
Dbx1	Dbx2	11.723516705155301
Olig2	Olig2	11.6430733801501
Dbx2	Irx3	11.603950517614301
Pax6	Olig2	11.5727933522527
Nkx61	Irx3	10.877568919145
Irx3	Dbx1	10.7048057946468
Nkx22	Irx3	10.6082839160716
Irx3	Irx3	10.2156155658399
Irx3	Olig2	9.165622884398688
Pax6	Dbx1	9.13729137815661
Dbx1	Dbx1	9.08706522476132
Dbx2	Dbx2	8.407747130642871
Irx3	Nkx22	7.610473461194379
Irx3	Dbx2	7.58863098713406
Olig2	Pax6	7.21056369923056
Dbx2	Olig2	7.17540684645451
Nkx22	Olig2	7.12567319582242
Nkx61	Pax6	7.04562098336808
Dbx1	Nkx22	7.0215372329733805
Pax6	Irx3	7.00796505911646
Dbx1	Irx3	6.282428898488178
Nkx22	Dbx1	6.15778177794014
Dbx2	Dbx1	6.10965881713984
Olig2	Irx3	6.0899757175676905
Olig2	Nkx61	5.9674000428141705
Dbx1	Olig2	5.9332728987964405
Nkx62	Nkx62	5.80969745822646
Dbx1	Nkx62	5.68117806599432
Nkx62	Dbx1	5.33579943701007
Dbx2	Nkx61	5.31015758391675
Pax6	Nkx61	5.1157886469164815
Pax6	Dbx2	5.08590152979766
Pax6	Pax6	4.765289449305019
Dbx1	Pax6	4.60801951207707
Dbx2	Nkx62	4.21532788930416
Nkx62	Irx3	4.098584996482351
Irx3	Nkx61	4.07053244038441
Nkx22	Pax6	3.78489193577864
Nkx22	Nkx61	3.69345032634583
Irx3	Pax6	3.56250372556879
Dbx2	Pax6	3.55433798862438
Dbx1	Nkx61	3.5329480113005496
Nkx62	Olig2	2.92974513709367
Irx3	Nkx62	2.1558565830894
Nkx62	Pax6	2.05386147711632
Nkx62	Nkx61	1.60170898048209
