Gene1	Gene2	EdgeWeight
Nkx62	Nkx62	1.0
Nkx22	Nkx62	1.0
Irx3	Irx3	1.0
Olig2	Irx3	1.0
Dbx2	Dbx2	1.0
Nkx62	Dbx2	1.0
Irx3	Olig2	1.0
Olig2	Olig2	1.0
Dbx1	Olig2	1.0
Nkx61	Nkx61	1.0
Nkx22	Nkx62	1.0
Nkx22	Nkx61	1.0
Irx3	Pax6	1.0
Dbx1	Dbx1	1.0
Nkx22	Nkx22	1.0
Nkx62	Nkx62	1.0
Irx3	Irx3	1.0
Nkx62	Nkx62	1.0
Nkx22	Nkx22	1.0
Irx3	Dbx2	1.0
Dbx1	Dbx1	1.0
Dbx2	Irx3	1.0
Olig2	Irx3	1.0
Dbx2	Dbx2	1.0
Olig2	Olig2	1.0
Pax6	Pax6	1.0
Dbx1	Dbx1	1.0
Nkx22	Nkx22	1.0
Nkx62	Nkx62	1.0
Irx3	Irx3	1.0
Dbx2	Dbx2	1.0
Dbx1	Dbx2	1.0
Olig2	Olig2	1.0
Irx3	Pax6	1.0
Pax6	Pax6	1.0
Dbx2	Dbx1	1.0
Dbx1	Irx3	1.0
Irx3	Irx3	1.0
Dbx2	Dbx2	1.0
Nkx62	Nkx62	1.0
Nkx62	Nkx22	1.0
Nkx22	Nkx22	1.0
Nkx22	Dbx1	1.0
Dbx1	Dbx1	1.0
Olig2	Dbx1	1.0
Dbx2	Dbx1	1.0
Pax6	Pax6	1.0
Irx3	Pax6	1.0
Nkx61	Nkx61	1.0
Olig2	Olig2	1.0
Dbx1	Dbx2	1.0
Olig2	Dbx2	1.0
Dbx2	Dbx2	1.0
Irx3	Irx3	1.0
Irx3	Nkx61	1.0
Nkx62	Nkx22	1.0
Pax6	Pax6	1.0
Nkx22	Nkx22	1.0
Olig2	Olig2	1.0
Irx3	Dbx1	1.0
Olig2	Nkx61	1.0
Nkx61	Nkx61	1.0
Olig2	Pax6	1.0
Nkx22	Olig2	0.9999979999999999
Dbx1	Pax6	0.9999950000000001
Nkx62	Dbx1	0.999985
Pax6	Irx3	0.9999809999999999
Nkx62	Irx3	0.9999610000000001
Olig2	Nkx22	0.999959
Irx3	Nkx22	0.9998969999999999
Olig2	Nkx62	0.9996950000000001
Dbx1	Nkx22	0.999619
Nkx62	Olig2	0.998426
Dbx1	Nkx62	0.998391
Dbx2	Pax6	0.998265
Dbx2	Nkx62	0.9979399999999999
Nkx61	Olig2	0.996294
Nkx22	Dbx2	0.9929549999999999
Irx3	Nkx62	0.991978
Dbx2	Olig2	0.990828
Nkx62	Pax6	0.978117
Dbx2	Nkx61	0.973244
Nkx22	Irx3	0.971353
Pax6	Nkx62	0.9473209999999999
Nkx61	Nkx22	0.907903
Nkx61	Dbx1	0.813116
Dbx2	Nkx22	0.794147
Pax6	Dbx2	0.793639
Nkx62	Nkx61	0.719133
Pax6	Olig2	0.597685
Dbx1	Nkx61	0.5778260000000001
Nkx61	Pax6	0.56162
Nkx61	Nkx62	0.5542
Nkx61	Irx3	0.494771
Pax6	Dbx1	0.39568200000000003
Pax6	Nkx61	0.335816
Nkx61	Dbx2	0.21282600000000002
Pax6	Nkx22	0.1377
Nkx22	Pax6	0.086471
