Gene1	Gene2	EdgeWeight
Irx3	Olig2	470.62912310993437
Olig2	Irx3	397.2947027492801
Pax6	Nkx22	341.90547863398615
Nkx22	Pax6	337.9985741628131
Dbx2	Dbx1	271.2122366213557
Nkx61	Dbx2	248.1549970916496
Dbx2	Nkx62	236.25779155907261
Dbx2	Nkx61	235.81733807935447
Pax6	Irx3	227.68797470230248
Nkx22	Irx3	219.0569744781208
Nkx61	Dbx1	217.56365774323842
Pax6	Olig2	214.9603869494325
Nkx61	Nkx62	213.71733167053083
Nkx22	Olig2	198.14662362695918
Dbx1	Nkx62	192.3051780751201
Nkx62	Dbx1	176.25746977769677
Dbx1	Dbx2	174.4085415390655
Irx3	Pax6	122.45714595238873
Irx3	Nkx22	118.53349155029251
Nkx62	Dbx2	118.38502316883208
Dbx1	Nkx61	112.40939361653645
Olig2	Pax6	107.7326023782444
Olig2	Nkx22	107.13734692561786
Nkx62	Nkx61	93.6629593663391
Dbx2	Irx3	58.553674688115024
Nkx61	Irx3	58.38375212261491
Irx3	Nkx62	52.55002792259016
Irx3	Dbx1	48.921519026699215
Irx3	Dbx2	43.926320074687055
Irx3	Nkx61	40.32781329926688
Dbx2	Olig2	36.53393959274909
Olig2	Dbx1	36.093327422181204
Nkx61	Olig2	33.73768036709733
Dbx1	Irx3	32.02093372537057
Nkx22	Nkx62	30.771731704396238
Nkx62	Irx3	30.001987534196104
Olig2	Dbx2	27.62343836344993
Nkx22	Dbx1	27.418731720481745
Olig2	Nkx62	25.52664330641305
Dbx1	Olig2	25.3970348228795
Pax6	Dbx1	24.533057688347085
Pax6	Nkx62	22.87129576187701
Olig2	Nkx61	20.977161709490822
Nkx22	Nkx61	20.350197680329376
Nkx62	Olig2	19.59521153094805
Nkx61	Nkx22	17.959725439423107
Nkx22	Dbx2	17.335718153611992
Nkx61	Pax6	16.54814215634269
Pax6	Dbx2	16.165961608703874
Dbx2	Pax6	16.075363328877778
Dbx2	Nkx22	14.570559378723559
Pax6	Nkx61	13.455136248682823
Dbx1	Nkx22	10.750335608105178
Nkx62	Pax6	10.6845093732031
Nkx62	Nkx22	10.143062463851685
Dbx1	Pax6	8.503662648130138
