Gene1	Gene2	EdgeWeight
Nkx61	Pax6	5.3241387137805996
Pax6	Irx3	2.2225077285647403
Pax6	Dbx1	1.91963110271916
Pax6	Nkx62	1.67253883522179
Olig2	Irx3	1.53570861048381
Nkx61	Dbx1	1.28453652730931
Pax6	Nkx22	1.21617180922445
Nkx61	Irx3	1.1599107548549898
Nkx62	Dbx1	1.0
Pax6	Nkx61	1.0
Nkx62	Pax6	1.0
Olig2	Nkx22	1.0
Nkx22	Irx3	1.0
Nkx62	Irx3	0.9909483254198951
Nkx22	Dbx1	0.952102623784494
Dbx1	Pax6	0.9456908540728991
Dbx1	Irx3	0.9433295002831671
Nkx62	Olig2	0.9279506583894279
Dbx2	Irx3	0.918363043131727
Dbx2	Dbx1	0.906629777353553
Dbx1	Olig2	0.882036097705902
Olig2	Olig2	0.864769160286155
Nkx22	Nkx62	0.8626627880735931
Nkx61	Olig2	0.8470680539850379
Dbx1	Dbx1	0.8434259643530041
Irx3	Dbx1	0.7876027503692541
Irx3	Irx3	0.746193276531855
Irx3	Nkx62	0.738229933048627
Dbx2	Pax6	0.7217040813896769
Dbx2	Olig2	0.673721313964041
Pax6	Dbx2	0.648524432328463
Nkx22	Nkx61	0.514945739075467
Olig2	Dbx1	0.49549866517727703
Olig2	Nkx62	0.44868187983809704
Dbx2	Nkx62	0.44633010463812106
Nkx62	Nkx62	0.44589884473622204
Irx3	Nkx61	0.4400718211647171
Dbx1	Nkx62	0.43403019727856107
Irx3	Olig2	0.41778530346991494
Nkx61	Nkx62	0.415802107590306
Pax6	Olig2	0.405195378845104
Nkx22	Dbx2	0.37296870658937
Nkx61	Dbx2	0.371217363203725
Irx3	Dbx2	0.35962388823031893
Dbx2	Dbx2	0.35804847774728
Dbx1	Dbx2	0.33476393449017
Nkx62	Dbx2	0.33290765532327005
Nkx22	Nkx22	0.327596754859942
Olig2	Dbx2	0.308048355292916
Nkx61	Nkx22	0.307469669234118
Dbx2	Nkx22	0.28362141718131395
Nkx22	Olig2	0.277887644166553
Pax6	Pax6	0.268469941147558
Olig2	Nkx61	0.267836343343748
Dbx1	Nkx22	0.267429388119876
Dbx2	Nkx61	0.266951996455542
Irx3	Nkx22	0.26413663611851396
Dbx1	Nkx61	0.253300753785536
Irx3	Pax6	0.24983730654745
Nkx62	Nkx22	0.24447129351645303
Nkx62	Nkx61	0.0676139245514215
Nkx22	Pax6	0.0513063483434057
Olig2	Pax6	0.0267497830354142
Nkx61	Nkx61	0.0
Nkx61	Nkx61	0.0
Nkx61	Nkx61	0.0
Nkx61	Nkx61	0.0
Nkx61	Nkx61	0.0
