Gene1	Gene2	EdgeWeight
Dbx2	Dbx1	487.3920545321853
Irx3	Olig2	480.56105958950434
Dbx2	Nkx62	409.5172549575953
Olig2	Irx3	382.6651165117752
Pax6	Nkx22	325.13456896983644
Dbx1	Dbx2	261.90108536196146
Nkx22	Pax6	253.01554863918616
Nkx22	Olig2	243.41345868664672
Nkx62	Dbx2	225.4439050811388
Nkx22	Irx3	219.1615014999624
Pax6	Irx3	211.7209019492524
Nkx62	Dbx1	209.67507147958335
Dbx1	Nkx62	202.2233877807923
Irx3	Nkx22	190.51431437629552
Pax6	Olig2	176.0928456628638
Nkx61	Dbx2	155.55886248853017
Olig2	Nkx22	152.51371870997409
Nkx61	Dbx1	144.92161483372746
Dbx2	Nkx61	122.66406066739744
Irx3	Pax6	91.60655331681
Irx3	Dbx2	88.30509306626318
Dbx2	Irx3	87.00485790490185
Nkx61	Nkx62	85.62903138905081
Irx3	Dbx1	85.40863437400441
Dbx1	Nkx61	85.09615840090397
Olig2	Pax6	73.16440767295703
Nkx62	Nkx61	68.60417866940217
Irx3	Nkx62	62.822642163308245
Olig2	Dbx2	52.1256664121882
Dbx2	Olig2	47.816647540566244
Olig2	Dbx1	45.49779196898602
Nkx22	Dbx2	43.70115984165777
Nkx22	Dbx1	40.174092847884175
Dbx1	Irx3	37.79327625159848
Olig2	Nkx62	36.8133478183342
Nkx62	Irx3	34.03225796626808
Nkx22	Nkx62	32.487451987997126
Irx3	Nkx61	31.36943627528014
Dbx2	Nkx22	31.11783937901557
Pax6	Dbx1	24.93073996362936
Dbx1	Olig2	24.29071160480628
Nkx62	Olig2	23.859716032461428
Pax6	Nkx62	23.506883902921885
Nkx22	Nkx61	22.444166554795995
Nkx61	Irx3	21.62208791624168
Pax6	Dbx2	20.96422774826053
Olig2	Nkx61	19.654770184625214
Dbx1	Nkx22	19.47978185652344
Nkx61	Olig2	17.9655608831512
Nkx62	Nkx22	17.247011139438058
Dbx2	Pax6	13.991599808659684
Nkx61	Nkx22	11.992765568916841
Nkx62	Pax6	10.966115299561286
Dbx1	Pax6	10.546966064760914
Pax6	Nkx61	9.167229247595023
Nkx61	Pax6	5.708809198064861
