Gene1	Gene2	EdgeWeight
Pax6	Nkx22	0.5396484107736952
Nkx22	Pax6	0.5045298544330983
Nkx61	Dbx2	0.4620827740202199
Irx3	Olig2	0.4471331928907029
Olig2	Irx3	0.4022353175259012
Dbx2	Nkx61	0.3985504875108983
Dbx2	Dbx1	0.3314025807250435
Dbx2	Nkx62	0.3248185808053007
Nkx61	Dbx1	0.24775262571135906
Nkx61	Nkx62	0.2477421072876784
Dbx1	Nkx62	0.2245237609062192
Nkx62	Dbx1	0.224290208487079
Irx3	Pax6	0.21117457736856468
Pax6	Olig2	0.21025271128041856
Pax6	Irx3	0.2092201679717988
Dbx1	Dbx2	0.2049309431194284
Dbx1	Nkx61	0.18760585734612198
Irx3	Nkx22	0.1861614733342784
Nkx62	Dbx2	0.1848826800627868
Nkx22	Irx3	0.1806535245878668
Nkx22	Olig2	0.17619719518032453
Nkx62	Nkx61	0.16942065476715293
Olig2	Pax6	0.1668368455581342
Olig2	Nkx22	0.1613925647794222
Dbx2	Irx3	0.08497661108877454
Irx3	Nkx61	0.08001478368148265
Irx3	Dbx2	0.07383666137505443
Irx3	Dbx1	0.06302694710028009
Irx3	Nkx62	0.06153642959572176
Nkx22	Nkx61	0.061019752771992584
Nkx61	Irx3	0.05887324474984159
Olig2	Nkx61	0.05814240594011035
Dbx2	Olig2	0.05451371519605895
Olig2	Dbx1	0.0510587496364978
Olig2	Nkx62	0.047398439135429085
Nkx22	Nkx62	0.04729455065781903
Pax6	Nkx62	0.046686131611832056
Pax6	Nkx61	0.04524605798224096
Nkx22	Dbx1	0.042685947935158536
Nkx61	Olig2	0.04219178233769636
Pax6	Dbx1	0.03978294040458154
Dbx2	Nkx22	0.037423667520775736
Dbx2	Pax6	0.037298838401905114
Dbx1	Olig2	0.03637027400067527
Dbx1	Irx3	0.03555990375996888
Nkx62	Olig2	0.033341129114123035
Nkx61	Nkx22	0.030233222362925912
Nkx61	Pax6	0.029128885267120173
Nkx22	Dbx2	0.02907877897375886
Nkx62	Irx3	0.028481230315848618
Dbx1	Pax6	0.027106527185146584
Olig2	Dbx2	0.027093769158496917
Dbx1	Nkx22	0.026005721695795767
Nkx62	Pax6	0.0239244717860306
Nkx62	Nkx22	0.019134939533107742
Pax6	Dbx2	0.018094393290254782
