Gene1	Gene2	EdgeWeight
Nkx62	Nkx62	1.0
Pax6	Nkx61	1.0
Dbx2	Nkx62	1.0
Nkx62	Nkx62	1.0
Irx3	Irx3	1.0
Nkx61	Irx3	1.0
Pax6	Irx3	1.0
Nkx22	Dbx2	1.0
Olig2	Olig2	1.0
Nkx22	Olig2	1.0
Nkx61	Nkx61	1.0
Irx3	Pax6	1.0
Nkx61	Nkx22	1.0
Nkx61	Pax6	1.0
Pax6	Pax6	1.0
Dbx1	Dbx1	1.0
Nkx22	Dbx1	1.0
Nkx22	Nkx62	1.0
Dbx1	Nkx22	1.0
Nkx22	Nkx22	1.0
Nkx22	Nkx62	1.0
Nkx62	Nkx62	1.0
Nkx22	Nkx22	1.0
Dbx1	Dbx1	1.0
Pax6	Irx3	1.0
Nkx61	Nkx22	1.0
Dbx2	Irx3	1.0
Dbx2	Dbx2	1.0
Olig2	Olig2	1.0
Nkx61	Nkx61	1.0
Irx3	Pax6	1.0
Nkx61	Pax6	1.0
Pax6	Pax6	1.0
Dbx2	Dbx1	1.0
Dbx1	Dbx1	1.0
Nkx22	Nkx22	1.0
Olig2	Dbx1	1.0
Nkx62	Nkx62	1.0
Irx3	Irx3	1.0
Irx3	Dbx2	1.0
Dbx2	Dbx2	1.0
Olig2	Olig2	1.0
Nkx61	Nkx61	1.0
Nkx22	Nkx61	1.0
Irx3	Pax6	1.0
Pax6	Pax6	1.0
Irx3	Irx3	1.0
Irx3	Irx3	1.0
Dbx2	Dbx1	1.0
Nkx22	Dbx2	1.0
Irx3	Irx3	1.0
Nkx62	Nkx62	1.0
Pax6	Nkx61	1.0
Pax6	Nkx62	1.0
Dbx2	Nkx62	1.0
Nkx22	Nkx22	1.0
Nkx61	Nkx22	1.0
Nkx61	Pax6	1.0
Pax6	Pax6	1.0
Dbx1	Dbx1	1.0
Dbx1	Dbx2	1.0
Nkx61	Olig2	1.0
Nkx62	Pax6	1.0
Nkx61	Nkx61	1.0
Pax6	Olig2	1.0
Dbx2	Dbx2	1.0
Pax6	Pax6	1.0
Dbx1	Dbx1	1.0
Nkx22	Dbx1	1.0
Nkx22	Nkx61	1.0
Nkx61	Nkx61	1.0
Nkx62	Olig2	1.0
Dbx2	Nkx22	1.0
Pax6	Olig2	1.0
Olig2	Olig2	1.0
Nkx22	Nkx22	1.0
Nkx62	Nkx22	1.0
Olig2	Olig2	1.0
Dbx1	Dbx2	1.0
Dbx2	Dbx2	1.0
Irx3	Dbx2	1.0
Nkx62	Dbx2	0.999999
Pax6	Dbx1	0.999999
Nkx22	Pax6	0.9999959999999999
Olig2	Nkx22	0.999994
Nkx22	Irx3	0.999978
Irx3	Nkx61	0.999959
Dbx1	Nkx62	0.9999549999999999
Dbx1	Pax6	0.9999450000000001
Nkx62	Irx3	0.999921
Dbx2	Pax6	0.999841
Dbx2	Nkx61	0.9998299999999999
Olig2	Nkx61	0.9995450000000001
Irx3	Olig2	0.999208
Irx3	Nkx62	0.9990559999999999
Pax6	Dbx2	0.998984
Nkx62	Dbx1	0.9986659999999999
Dbx1	Olig2	0.9983629999999999
Nkx61	Dbx2	0.997669
Dbx1	Irx3	0.9967309999999999
Olig2	Irx3	0.994807
Nkx61	Nkx62	0.987511
Pax6	Nkx22	0.920201
Olig2	Pax6	0.920018
Nkx62	Nkx61	0.8190310000000001
Olig2	Nkx62	0.733042
Dbx2	Olig2	0.684986
Olig2	Dbx2	0.602992
Irx3	Dbx1	0.584626
Irx3	Nkx22	0.407839
Nkx61	Dbx1	0.318251
Dbx1	Nkx61	0.237025
