Gene1	Gene2	EdgeWeight
Irx3	Dbx1	63
Pax6	Nkx62	63
Nkx62	Dbx2	63
Irx3	Olig2	63
Nkx61	Dbx1	62
Dbx1	Irx3	62
Olig2	Dbx2	62
Dbx1	Nkx62	61
Dbx2	Dbx2	61
Nkx62	Dbx1	61
Irx3	Irx3	61
Pax6	Irx3	60
Pax6	Dbx2	60
Nkx22	Dbx2	60
Dbx1	Dbx1	60
Olig2	Nkx62	59
Dbx1	Olig2	59
Irx3	Dbx2	59
Nkx61	Nkx62	59
Nkx62	Olig2	59
Nkx61	Irx3	58
Nkx22	Nkx62	58
Dbx2	Irx3	58
Nkx22	Irx3	57
Pax6	Nkx61	56
Nkx62	Irx3	55
Dbx2	Dbx1	55
Dbx2	Olig2	54
Olig2	Dbx1	54
Dbx1	Pax6	54
Dbx1	Dbx2	53
Olig2	Pax6	53
Nkx22	Dbx1	53
Olig2	Irx3	52
Olig2	Olig2	52
Nkx22	Pax6	51
Nkx61	Dbx2	50
Nkx62	Nkx61	50
Irx3	Nkx62	50
Pax6	Dbx1	50
Nkx62	Nkx22	49
Nkx62	Nkx62	48
Dbx2	Nkx22	48
Dbx2	Nkx62	48
Irx3	Nkx22	47
Dbx2	Pax6	47
Nkx61	Pax6	46
Nkx22	Olig2	44
Nkx61	Olig2	43
Pax6	Olig2	42
Olig2	Nkx22	38
Pax6	Nkx22	37
Nkx22	Nkx22	36
Nkx62	Pax6	34
Dbx2	Nkx61	32
Irx3	Pax6	29
Dbx1	Nkx61	27
Dbx1	Nkx22	25
Olig2	Nkx61	21
Nkx61	Nkx61	21
Nkx61	Nkx22	19
Nkx22	Nkx61	15
Irx3	Nkx61	15
Pax6	Pax6	9
