Gene1	Gene2	EdgeWeight
Nkx22	Nkx61	0.16792919103164497
Irx3	Pax6	0.127791393056921
Nkx61	Nkx22	0.12375949009172099
Pax6	Dbx2	0.0929033875930208
Dbx2	Pax6	0.0900042018352772
Olig2	Irx3	0.087672798034853
Dbx2	Irx3	0.0870382834090962
Dbx1	Dbx2	0.085911497622296
Pax6	Dbx1	0.0856108228080971
Pax6	Irx3	0.0855050051117257
Dbx1	Nkx22	0.0808161301043792
Nkx61	Pax6	0.0799781961801905
Irx3	Olig2	0.0764886209142649
Pax6	Nkx62	0.0743042426287517
Dbx2	Nkx61	0.0724943613871288
Nkx22	Irx3	0.0722257882666592
Nkx61	Irx3	0.07181838523447501
Nkx22	Dbx2	0.0715310122645927
Irx3	Dbx2	0.0689755853098422
Dbx2	Nkx22	0.0687357670675466
Dbx2	Nkx62	0.0686600391467194
Nkx22	Dbx1	0.0654163964438695
Olig2	Dbx2	0.0649422105682514
Dbx2	Dbx1	0.0618833704134058
Irx3	Dbx1	0.0608288934390519
Nkx61	Olig2	0.060566471768594005
Pax6	Nkx22	0.0588812144002017
Irx3	Nkx22	0.0586907549334733
Olig2	Pax6	0.0564126029379607
Pax6	Nkx61	0.0562393881406335
Nkx62	Nkx22	0.0562055326308401
Nkx22	Nkx62	0.0552910334511206
Nkx62	Nkx61	0.0548223681006945
Irx3	Nkx62	0.0546038396468461
Nkx61	Dbx2	0.0541356115937508
Pax6	Olig2	0.0526304271852635
Nkx61	Nkx62	0.0518073993335465
Nkx62	Dbx1	0.0517087886470275
Olig2	Nkx61	0.0513455911039284
Olig2	Dbx1	0.0512265234892718
Nkx61	Dbx1	0.0511359638355185
Dbx1	Nkx61	0.0498767349117925
Nkx22	Pax6	0.0497875543219719
Irx3	Nkx61	0.0496489629476225
Dbx1	Irx3	0.0493304270852373
Nkx62	Pax6	0.0485326285235741
Nkx22	Olig2	0.0474898350906907
Nkx62	Irx3	0.0473070122361661
Olig2	Nkx62	0.0465483311171772
Dbx1	Pax6	0.0462530267623658
Dbx1	Olig2	0.0447683878668165
Nkx62	Dbx2	0.0442681815757379
Olig2	Nkx22	0.043408472335405
Dbx1	Nkx62	0.042508227078292
Dbx2	Olig2	0.0377709781097285
Nkx62	Olig2	0.0341986094555488
