Gene1	Gene2	EdgeWeight
Nkx22	Nkx61	0.163755985088355
Irx3	Pax6	0.12688155331536
Nkx61	Nkx22	0.11966199127611199
Dbx2	Nkx62	0.111391762649536
Dbx2	Irx3	0.09817756816744301
Pax6	Dbx2	0.0929634453906539
Dbx2	Pax6	0.0905966902867734
Olig2	Irx3	0.0864436728329297
Pax6	Irx3	0.0854059121536249
Pax6	Dbx1	0.0844757253840934
Dbx1	Dbx2	0.0811586821904677
Dbx1	Nkx22	0.0792418929861208
Pax6	Nkx62	0.0775999101893301
Irx3	Olig2	0.0768562169183908
Nkx22	Dbx2	0.0754706081637918
Dbx1	Nkx61	0.0746657209833273
Nkx22	Dbx1	0.0736395864193667
Dbx2	Olig2	0.0731987890919827
Nkx61	Pax6	0.0710213948750327
Nkx22	Irx3	0.069379969803674
Irx3	Dbx2	0.0693258793832232
Dbx2	Nkx22	0.0692197846050662
Dbx2	Nkx61	0.0678362067418787
Olig2	Dbx2	0.0648955780280471
Dbx2	Dbx1	0.063712401444192
Nkx61	Olig2	0.0616196029423185
Nkx61	Irx3	0.0613923528961451
Pax6	Olig2	0.0588530333303589
Pax6	Nkx22	0.0584945581911064
Nkx62	Nkx22	0.0580172059095937
Irx3	Nkx22	0.0576390060053177
Irx3	Nkx62	0.0572777485180466
Olig2	Pax6	0.0569292778558464
Nkx61	Dbx2	0.0567537010200058
Nkx62	Nkx61	0.0561289762793488
Nkx22	Nkx62	0.0551034825942493
Irx3	Nkx61	0.0543811660776223
Nkx22	Pax6	0.0538137843828299
Olig2	Nkx62	0.0534577639998064
Olig2	Dbx1	0.0527251435329847
Nkx62	Dbx1	0.0524891034118976
Nkx62	Dbx2	0.0518968800872019
Dbx1	Olig2	0.05169207329091599
Olig2	Nkx61	0.0512831853662103
Irx3	Dbx1	0.0502724781173948
Nkx62	Irx3	0.0490538206915817
Dbx1	Irx3	0.0489977354384401
Nkx61	Dbx1	0.0488627126119194
Nkx61	Nkx62	0.0484436449447089
Nkx62	Pax6	0.0484396753679665
Nkx22	Olig2	0.0455645035924723
Dbx1	Nkx62	0.0446391120837915
Pax6	Nkx61	0.0444414990918042
Olig2	Nkx22	0.0424160073498466
Nkx62	Olig2	0.0369639161565996
Dbx1	Pax6	0.0366664798353464
