Gene1	Gene2	EdgeWeight
Irx3	Olig2	0.421581789002671
Dbx2	Dbx1	0.4132696367452046
Dbx2	Nkx62	0.4119553097468146
Nkx22	Pax6	0.4102738665388608
Olig2	Irx3	0.398699085978209
Pax6	Nkx22	0.39125709459907976
Nkx62	Dbx2	0.2991930793751025
Dbx1	Dbx2	0.29225487583773224
Nkx22	Olig2	0.25054326404020594
Dbx2	Nkx61	0.2472742496700905
Nkx62	Dbx1	0.2456333501640805
Irx3	Nkx22	0.2439519680872951
Nkx22	Irx3	0.2373679345025816
Dbx1	Nkx62	0.2303572547135952
Olig2	Nkx22	0.2300784189437575
Irx3	Pax6	0.1865984644038654
Olig2	Pax6	0.1850774556866372
Nkx61	Dbx2	0.1848637172764312
Dbx1	Nkx61	0.1657091099586344
Nkx62	Nkx61	0.1603068331905516
Pax6	Olig2	0.1596516721490786
Pax6	Irx3	0.144699065499931
Nkx61	Nkx62	0.12636376712082553
Nkx61	Dbx1	0.12626970045394326
Irx3	Dbx2	0.12218421420794967
Nkx22	Nkx61	0.11192249138239024
Irx3	Nkx61	0.1116984878103108
Dbx2	Irx3	0.10674821024355924
Olig2	Nkx61	0.10339256059168056
Pax6	Nkx61	0.09969626739634188
Irx3	Nkx62	0.08270350523217868
Irx3	Dbx1	0.0808948831046512
Dbx2	Pax6	0.06327446002995912
Dbx2	Olig2	0.06020519297725789
Nkx22	Nkx62	0.0584243613372106
Dbx1	Pax6	0.054712051203269406
Nkx62	Pax6	0.05406861335518266
Olig2	Nkx62	0.051345218716818235
Olig2	Dbx1	0.04910191910385755
Dbx2	Nkx22	0.04865960072627999
Nkx22	Dbx1	0.047758660003845085
Dbx1	Irx3	0.046823489355817344
Nkx61	Pax6	0.04599508878222571
Nkx22	Dbx2	0.041081601060650605
Dbx1	Olig2	0.040711764690635414
Olig2	Dbx2	0.039632095131559686
Pax6	Nkx62	0.03885058313255719
Nkx62	Irx3	0.038514140291660635
Nkx62	Olig2	0.0382111144660716
Pax6	Dbx1	0.037071850424417865
Dbx1	Nkx22	0.03529673220083277
Nkx61	Olig2	0.029095202674078786
Nkx62	Nkx22	0.02863601560907312
Nkx61	Irx3	0.02714807412824067
Nkx61	Nkx22	0.02212016983368135
Pax6	Dbx2	0.020790417110573643
