Gene1	Gene2	EdgeWeight
Dbx2	Olig2	2.0
Pax6	Irx3	2.0
Dbx1	Dbx2	0.5
Dbx2	Nkx62	0.5
Nkx22	Dbx1	0.22221999999999997
Dbx1	Nkx61	0.22221999999999997
Dbx2	Irx3	0.22221999999999997
Dbx1	Olig2	0.22221999999999997
Dbx2	Pax6	0.125
Irx3	Nkx61	0.125
Dbx1	Nkx22	0.08
Nkx62	Nkx61	0.08
Nkx22	Olig2	0.08
Olig2	Irx3	0.08
Nkx22	Dbx2	0.05555
Dbx1	Pax6	0.04081
Dbx1	Nkx62	0.04081
Nkx61	Olig2	0.03125
Irx3	Pax6	0.03125
Pax6	Olig2	0.02469
Olig2	Pax6	0.02469
Nkx22	Nkx61	0.02469
Dbx2	Nkx22	0.01652
Dbx1	Irx3	0.01652
Pax6	Dbx1	0.01652
Dbx2	Dbx1	0.01652
Nkx61	Dbx2	0.013880000000000002
Irx3	Nkx22	0.013880000000000002
Nkx62	Nkx22	0.013880000000000002
Nkx61	Irx3	0.01183
Nkx61	Nkx22	0.01183
Pax6	Nkx62	0.0102
Pax6	Dbx2	0.008879999999999999
Olig2	Nkx62	0.007809999999999999
Olig2	Nkx61	0.007809999999999999
Pax6	Nkx61	0.00692
Nkx62	Irx3	0.00692
Nkx22	Pax6	0.00617
Pax6	Nkx22	0.00617
Nkx61	Dbx1	0.00554
Nkx62	Dbx2	0.005
Nkx62	Pax6	0.005
Irx3	Dbx2	0.004529999999999999
Irx3	Nkx62	0.004529999999999999
Irx3	Olig2	0.00413
Nkx22	Nkx62	0.00413
Irx3	Dbx1	0.00413
Nkx61	Pax6	0.0034700000000000004
Olig2	Nkx22	0.00274
Nkx22	Irx3	0.00274
Dbx2	Nkx61	0.0022199999999999998
Nkx62	Olig2	0.00195
Olig2	Dbx2	0.00195
Nkx61	Nkx62	0.00183
Nkx62	Dbx1	0.00173
