Gene1	Gene2	EdgeWeight
Nkx62	Nkx62	1.0
Nkx22	Nkx22	1.0
Dbx1	Dbx1	1.0
Pax6	Pax6	1.0
Nkx61	Nkx61	1.0
Olig2	Olig2	1.0
Dbx2	Dbx2	1.0
Irx3	Irx3	1.0
Pax6	Nkx22	-0.6252923120694549
Nkx22	Pax6	-0.6252923120694549
Irx3	Olig2	-0.5181544103456429
Olig2	Irx3	-0.5181544103456429
Dbx2	Nkx61	-0.30768713979024104
Nkx61	Dbx2	-0.30768713979024104
Pax6	Irx3	0.29633011635931605
Irx3	Pax6	0.296330116359315
Olig2	Pax6	0.27579919264102104
Pax6	Olig2	0.27579919264102104
Dbx2	Dbx1	0.26916070521689
Dbx1	Dbx2	0.26916070521689
Nkx62	Dbx2	0.256138954670818
Dbx2	Nkx62	0.256138954670818
Irx3	Nkx22	-0.21551341542722002
Nkx22	Irx3	-0.21551341542722002
Nkx62	Dbx1	0.19111408980605396
Dbx1	Nkx62	0.19111408980605396
Olig2	Dbx1	0.16935861529555302
Dbx1	Olig2	0.16935861529555302
Olig2	Nkx62	0.16908870509332097
Nkx62	Olig2	0.16908870509332097
Nkx61	Dbx1	-0.16855908295181
Dbx1	Nkx61	-0.168559082951809
Nkx22	Olig2	-0.15834977927978
Olig2	Nkx22	-0.15834977927978
Dbx2	Irx3	0.156039132058608
Irx3	Dbx2	0.156039132058608
Nkx62	Irx3	0.144989864826375
Irx3	Nkx62	0.144989864826375
Nkx62	Nkx22	0.125707640716129
Nkx22	Nkx62	0.125707640716129
Nkx62	Nkx61	-0.11733049836522698
Nkx61	Nkx62	-0.11733049836522698
Dbx1	Irx3	0.11413212200075802
Irx3	Dbx1	0.11413212200075802
Dbx1	Nkx22	0
Nkx22	Dbx1	0
Nkx61	Olig2	0
Olig2	Nkx61	0
Nkx61	Nkx22	0
Nkx22	Nkx61	0
Pax6	Nkx61	0
Nkx61	Pax6	0
Pax6	Dbx2	0
Dbx2	Pax6	0
Nkx62	Pax6	0
Pax6	Nkx62	0
Dbx2	Olig2	0
Olig2	Dbx2	0
Nkx22	Dbx2	0
Dbx2	Nkx22	0
Nkx61	Irx3	0
Irx3	Nkx61	0
Dbx1	Pax6	0
Pax6	Dbx1	0
