,mCAD_2000_0,mCAD_2000_1,mCAD_2000_2,mCAD_2000_3,mCAD_2000_4,mCAD_2000_5,mCAD_2000_6,mCAD_2000_7,mCAD_2000_8,mCAD_2000_9,mCAD_2000_0_20,mCAD_2000_1_20,mCAD_2000_2_20,mCAD_2000_3_20,mCAD_2000_4_20,mCAD_2000_5_20,mCAD_2000_6_20,mCAD_2000_7_20,mCAD_2000_8_20,mCAD_2000_9_20,mCAD_2000_0_50,mCAD_2000_1_50,mCAD_2000_2_50,mCAD_2000_3_50,mCAD_2000_4_50,mCAD_2000_5_50,mCAD_2000_6_50,mCAD_2000_7_50,mCAD_2000_8_50,mCAD_2000_9_50
GENIE3,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.29670329670329676,0.3076923076923077,0.3076923076923077,0.3846153846153846,0.37362637362637363,0.37362637362637363,0.3626373626373627,0.37362637362637363,0.3516483516483517,0.3626373626373627,0.37362637362637363,0.3846153846153846,0.39560439560439564
GRISLI,0.543956043956044,0.6648351648351649,0.6208791208791209,0.6483516483516483,0.6208791208791209,0.7032967032967034,0.554945054945055,0.6538461538461539,0.6703296703296704,0.5494505494505495,0.543956043956044,0.6648351648351649,0.6208791208791209,0.6483516483516483,0.6208791208791209,0.6978021978021979,0.5494505494505495,0.6758241758241759,0.6648351648351649,0.554945054945055,0.5604395604395604,0.7417582417582418,0.5934065934065934,0.5824175824175825,0.6043956043956044,0.6648351648351648,0.5274725274725275,0.5824175824175825,0.6868131868131868,0.5714285714285715
GRNBOOST2,0.26373626373626374,0.21978021978021983,0.25274725274725274,0.3186813186813187,0.2967032967032967,0.20879120879120883,0.2417582417582418,0.26373626373626374,0.2307692307692308,0.26373626373626374,0.3076923076923077,0.3186813186813187,0.17582417582417587,0.26373626373626374,0.25274725274725274,0.24175824175824182,0.17582417582417587,0.17582417582417587,0.27472527472527475,0.3296703296703297,0.2637362637362638,0.28571428571428575,0.3076923076923077,0.29670329670329676,0.3076923076923077,0.3626373626373627,0.29670329670329676,0.2307692307692308,0.31868131868131877,0.28571428571428575
GRNVBEM,0.32417582417582425,0.34615384615384626,0.27472527472527475,0.46153846153846156,0.25274725274725274,0.3186813186813187,0.46153846153846156,0.5274725274725275,0.4505494505494506,0.3076923076923077,0.4120879120879121,0.31318681318681324,0.26373626373626374,0.4725274725274725,0.25274725274725274,0.3186813186813187,0.4065934065934066,0.510989010989011,0.4285714285714286,0.3076923076923077,0.3076923076923077,0.3626373626373627,0.2307692307692308,0.3846153846153847,0.2197802197802198,0.27472527472527475,0.39560439560439564,0.5384615384615385,0.3516483516483517,0.3516483516483517
LEAP,0.45054945054945056,0.43956043956043955,0.43956043956043955,0.2857142857142857,0.4285714285714286,0.3516483516483516,0.4175824175824176,0.3516483516483517,0.3626373626373627,0.40659340659340665,0.45054945054945056,0.43956043956043955,0.43956043956043955,0.2857142857142857,0.4285714285714286,0.3516483516483516,0.4175824175824176,0.3516483516483517,0.3626373626373627,0.40659340659340665,0.5054945054945056,0.5054945054945055,0.46153846153846156,0.3736263736263736,0.47252747252747257,0.4065934065934066,0.4725274725274726,0.4175824175824176,0.4175824175824176,0.5054945054945055
PIDC,0.31318681318681324,0.31318681318681324,0.29120879120879123,0.33516483516483514,0.3131868131868132,0.3131868131868132,0.29120879120879123,0.3131868131868132,0.3351648351648352,0.29120879120879123,0.31318681318681324,0.31318681318681324,0.29120879120879123,0.33516483516483514,0.3131868131868132,0.29120879120879123,0.31318681318681324,0.3131868131868132,0.3351648351648352,0.29120879120879123,0.31318681318681324,0.33516483516483514,0.33516483516483514,0.33516483516483514,0.33516483516483514,0.33516483516483525,0.29120879120879123,0.33516483516483514,0.31318681318681324,0.29120879120879123
PPCOR,0.34615384615384615,0.36813186813186816,0.3461538461538462,0.3186813186813187,0.32967032967032966,0.2637362637362638,0.30219780219780223,0.3241758241758242,0.36813186813186816,0.29120879120879123,0.3516483516483517,0.36813186813186816,0.35164835164835173,0.3186813186813187,0.30219780219780223,0.27472527472527475,0.2802197802197803,0.3241758241758242,0.36813186813186816,0.2912087912087913,0.3571428571428572,0.3516483516483516,0.3571428571428571,0.42307692307692313,0.3846153846153846,0.28571428571428575,0.40659340659340665,0.42307692307692313,0.4010989010989012,0.3571428571428572
SCINGE,0.46153846153846156,0.36813186813186816,0.7967032967032968,0.6318681318681318,0.46703296703296704,0.6098901098901099,0.5879120879120879,0.29120879120879123,0.489010989010989,0.5769230769230769,0.46153846153846156,0.36813186813186816,0.7747252747252746,0.6318681318681318,0.46153846153846156,0.6043956043956045,0.5879120879120879,0.29120879120879123,0.4725274725274725,0.5604395604395604,0.47802197802197804,0.4340659340659341,0.478021978021978,0.6153846153846154,0.4175824175824176,0.4945054945054945,0.6263736263736264,0.4065934065934066,0.5604395604395604,0.7032967032967032
SCNS,0.37362637362637363,0.35714285714285715,0.38461538461538464,0.35714285714285715,0.35714285714285715,0.3626373626373627,0.3626373626373627,0.3626373626373627,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.38461538461538464,0.35714285714285715,0.35714285714285715,0.3626373626373627,0.3626373626373627,0.3626373626373627,0.35714285714285715,0.35714285714285715,0.36813186813186816,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.3626373626373627,0.3626373626373627,0.3626373626373627,0.3626373626373627,0.35714285714285715
SCODE,0.6373626373626373,0.6923076923076923,0.7692307692307692,0.7252747252747253,0.6483516483516484,0.8901098901098902,0.5934065934065934,0.5824175824175825,0.6923076923076924,0.7472527472527473,0.7362637362637363,0.7252747252747254,0.8681318681318682,0.6813186813186813,0.7362637362637363,0.7582417582417583,0.6813186813186813,0.6043956043956045,0.7362637362637363,0.7692307692307693,0.7032967032967034,0.7582417582417583,0.7252747252747254,0.9120879120879122,0.6703296703296704,0.7142857142857143,0.7692307692307693,0.5934065934065934,0.5604395604395604,0.7362637362637363
