,mCAD_2000_0,mCAD_2000_0_20,mCAD_2000_0_50,mCAD_2000_1,mCAD_2000_1_20,mCAD_2000_1_50,mCAD_2000_2,mCAD_2000_2_20,mCAD_2000_2_50,mCAD_2000_3,mCAD_2000_3_20,mCAD_2000_3_50,mCAD_2000_4,mCAD_2000_4_20,mCAD_2000_4_50,mCAD_2000_5,mCAD_2000_5_20,mCAD_2000_5_50,mCAD_2000_6,mCAD_2000_6_20,mCAD_2000_6_50,mCAD_2000_7,mCAD_2000_7_20,mCAD_2000_7_50,mCAD_2000_8,mCAD_2000_8_20,mCAD_2000_8_50,mCAD_2000_9,mCAD_2000_9_20,mCAD_2000_9_50
PIDC,0.5,0.5,0.5,0.5,0.5,0.5833333333333334,0.5,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.5,0.5833333333333334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5833333333333334,0.5,0.5,0.5,0.5,0.5,0.5
GRNVBEM,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.6363636363636364
GENIE3,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.5454545454545454,0.6363636363636364
GRNBOOST2,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.45454545454545453
PPCOR,0.5833333333333334,0.5833333333333334,0.5,0.5,0.5,0.5,0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.5,0.5,0.5833333333333334,0.5,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.5,0.5,0.5
SCODE,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.6363636363636364,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7272727272727273,0.8181818181818182,0.7272727272727273,0.9090909090909091,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.9090909090909091,0.7272727272727273,0.7272727272727273,0.5454545454545454,0.7272727272727273,0.8181818181818182,0.7272727272727273,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.7272727272727273,0.8181818181818182,0.7272727272727273
SCNS,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
SINCERITIES,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.5454545454545454,0.625,0.625,0.6666666666666666,0.5454545454545454,0.5454545454545454,0.6,0.625,0.5714285714285714,0.5714285714285714,0.5454545454545454,0.5454545454545454,0.6666666666666666,0.45454545454545453,0.45454545454545453,0.36363636363636365,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.5,0.5454545454545454,0.375,0.42857142857142855,0.5,0.3333333333333333
LEAP,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.6363636363636364
GRISLI,0.6363636363636364,0.6363636363636364,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.9090909090909091,0.7272727272727273,0.7272727272727273,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.7272727272727273,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.5833333333333334,0.5833333333333334,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.6363636363636364,0.6363636363636364,0.7272727272727273
SCINGE,0.6363636363636364,0.6363636363636364,0.5833333333333334,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.75,0.75,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.6363636363636364,0.6666666666666666,0.6363636363636364,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.6363636363636364,0.5,0.5,0.5,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.6666666666666666
SCRIBE,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.36363636363636365,0.45454545454545453
