,mCAD_2000_0,mCAD_2000_0_20,mCAD_2000_0_50,mCAD_2000_1,mCAD_2000_1_20,mCAD_2000_1_50,mCAD_2000_2,mCAD_2000_2_20,mCAD_2000_2_50,mCAD_2000_3,mCAD_2000_3_20,mCAD_2000_3_50,mCAD_2000_4,mCAD_2000_4_20,mCAD_2000_4_50,mCAD_2000_5,mCAD_2000_5_20,mCAD_2000_5_50,mCAD_2000_6,mCAD_2000_6_20,mCAD_2000_6_50,mCAD_2000_7,mCAD_2000_7_20,mCAD_2000_7_50,mCAD_2000_8,mCAD_2000_8_20,mCAD_2000_8_50,mCAD_2000_9,mCAD_2000_9_20,mCAD_2000_9_50
PIDC,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
GRNVBEM,0.5384615384615384,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154
GENIE3,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.6153846153846154,0.6153846153846154,0.6923076923076923
GRNBOOST2,0.6153846153846154,0.6153846153846154,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.6153846153846154,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.6153846153846154,0.5384615384615384
PPCOR,0.6428571428571429,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
SCODE,0.6923076923076923,0.7692307692307693,0.7692307692307693,0.6923076923076923,0.7692307692307693,0.8461538461538461,0.8461538461538461,0.7692307692307693,0.7692307692307693,0.8461538461538461,0.7692307692307693,0.8461538461538461,0.6923076923076923,0.7692307692307693,0.6923076923076923,0.8461538461538461,0.7692307692307693,0.6923076923076923,0.5384615384615384,0.7692307692307693,0.7692307692307693,0.6923076923076923,0.6923076923076923,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.6153846153846154,0.7692307692307693,0.7692307692307693,0.7692307692307693
SCNS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
SINCERITIES,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.6153846153846154,0.6666666666666666,0.6666666666666666,0.7,0.6153846153846154,0.6153846153846154,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6153846153846154,0.6153846153846154,0.7,0.5384615384615384,0.5384615384615384,0.46153846153846156,0.6153846153846154,0.6153846153846154,0.6666666666666666,0.5454545454545454,0.5833333333333334,0.5,0.5555555555555556,0.6,0.42857142857142855
LEAP,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6153846153846154,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.6923076923076923
GRISLI,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.7142857142857143,0.7142857142857143,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7142857142857143,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.6428571428571429,0.6428571428571429,0.6153846153846154,0.7692307692307693,0.7692307692307693,0.7142857142857143,0.6923076923076923,0.6923076923076923,0.7692307692307693,0.7142857142857143,0.7142857142857143,0.6923076923076923
