,Spearman Median,Spearman MAD
GENIE3,0.9729323308270676,0.04100612212258746
GRISLI,0.7418870037414338,0.10444450378301474
GRNBOOST2,0.8827067669172932,0.04200227083761722
GRNVBEM,0.5636525384706728,0.1606877770048878
LEAP,0.9097744360902256,0.050815584343339514
PIDC,0.9757575757575757,0.015079434855890996
PPCOR,0.8777143494033112,0.09278949045004263
SCINGE,0.4281403548663636,0.1957959824506496
SCNS,0.9942345747024256,0.003406415282036987
SCODE,0.5684210526315789,0.12913092878847937
SCRIBE,0.8451127819548873,0.059123027545081426
SINCERITIES,0.33948263299556425,0.19746008794750136
