,mCAD_2000_0,mCAD_2000_1,mCAD_2000_2,mCAD_2000_3,mCAD_2000_4,mCAD_2000_5,mCAD_2000_6,mCAD_2000_7,mCAD_2000_8,mCAD_2000_9,mCAD_2000_0_20,mCAD_2000_1_20,mCAD_2000_2_20,mCAD_2000_3_20,mCAD_2000_4_20,mCAD_2000_5_20,mCAD_2000_6_20,mCAD_2000_7_20,mCAD_2000_8_20,mCAD_2000_9_20,mCAD_2000_0_50,mCAD_2000_1_50,mCAD_2000_2_50,mCAD_2000_3_50,mCAD_2000_4_50,mCAD_2000_5_50,mCAD_2000_6_50,mCAD_2000_7_50,mCAD_2000_8_50,mCAD_2000_9_50
GENIE3,94.14,126.92,121.53,91.63,91.83,107.88,110.66,122.69,109.83,125.42,79.03,88.92,118.82,102.16,88.9,119.49,114.49,110.83,122.99,135.68,96.56,97.33,86.86,74.54,73.79,78.09,87.61,85.15,93.03,89.35
GRISLI,338.88,342.45,351.09000000000003,340.16,332.68,349.08000000000004,350.13,341.21,343.98,353.81,350.5,351.54999999999995,331.64,339.91999999999996,338.75,334.71000000000004,348.84000000000003,403.64,386.71000000000004,385.53,370.94,362.01,364.02,343.66,334.75,358.72,341.40999999999997,347.84000000000003,364.15999999999997,341.01
GRNBOOST2,29.73,27.49,33.24,22.54,24.31,38.74,35.05,33.03,29.74,30.39,18.57,32.91,31.59,31.61,20.71,27.38,31.64,32.48,25.52,23.6,29.49,31.33,23.51,14.26,12.63,15.76,17.02,12.61,21.67,28.43
GRNVBEM,53.239999999999995,54.47,50.49,46.31,51.65,55.3,48.6,52.86,47.45,55.260000000000005,48.19,55.83,54.05,59.22,53.739999999999995,50.209999999999994,56.75,51.81,68.4,71.19,72.17,63.12,62.94,53.59,51.34,46.94,49.519999999999996,48.22,55.06,48.28
LEAP,95.65,93.9,74.77,83.08,87.24,84.01,86.60999999999999,87.33000000000001,90.45,88.82,88.91,91.21000000000001,73.37,81.61,72.69,85.16,85.57000000000001,120.41000000000001,119.98,111.68,110.87,109.66,84.77,88.94999999999999,90.2,83.72999999999999,84.35,94.85000000000001,86.34,85.22999999999999
PIDC,32.99,38.13,36.25,35.23,39.16,42.23,41.32,35.43,35.41,38.69,34.79,38.95,39.21,36.68,34.86,35.7,38.93,35.22,50.64,47.03,45.81,46.15,44.1,39.42,40.01,40.29,37.36,35.07,37.47,36.18
PPCOR,1.4,1.49,1.36,1.11,1.59,1.52,1.44,1.35,1.29,1.6,1.07,1.33,1.35,1.32,1.05,1.21,1.37,1.27,1.52,1.31,1.04,1.23,1.13,0.99,0.96,0.93,1.27,1.16,1.17,1.27
SCINGE,220.54000000000002,262.03,190.39999999999998,219.57,203.82,229.74,233.29000000000002,216.11,233.39,213.31,227.62,244.88,214.28,236.27,195.89000000000001,224.77999999999997,240.38,209.20999999999998,207.8,206.61,208.03,228.88,174.24,204.89999999999998,193.66,219.90000000000003,217.56,216.11,219.77999999999997,205.74
SCNS,2.05,1.96,2.3,2.47,2.88,2.69,2.73,2.62,2.3,2.51,2.5,2.31,2.39,2.97,2.48,2.54,2.45,2.54,2.42,2.49,2.35,2.56,2.38,2.35,2.31,2.34,2.55,2.62,2.57,2.56
SCODE,1508.34,1428.4099999999999,1341.71,1352.6,1398.02,1404.4,1419.29,1417.23,1501.1100000000001,1450.76,1417.97,1509.49,1349.8899999999999,1375.32,1317.05,1446.96,1422.84,1522.55,1923.11,1851.74,1793.83,1788.9499999999998,1524.27,1516.19,1459.0,1473.01,1451.4099999999999,1483.69,1490.49,1445.3200000000002
SCRIBE,20.45,19.9,19.4,21.439999999999998,19.83,20.020000000000003,19.89,20.08,19.68,19.86,19.65,20.11,21.24,18.9,18.65,19.03,19.63,19.5,20.55,20.96,23.0,21.58,20.9,20.799999999999997,20.009999999999998,20.07,20.96,20.6,21.36,22.9
SINCERITIES,6.23,6.34,6.07,5.630000000000001,6.16,6.49,6.29,5.98,6.36,5.87,6.56,6.66,6.49,6.199999999999999,6.140000000000001,6.59,6.35,7.77,7.300000000000001,7.93,7.390000000000001,8.43,7.27,6.9,6.49,6.95,6.0600000000000005,6.9,7.2,6.3
