Gene1	Gene2	EdgeWeight
Sp8	Sp8	1.0
Coup	Coup	1.0
Fgf8	Fgf8	1.0
Emx2	Emx2	1.0
Pax6	Pax6	1.0
Sp8	Coup	-0.43949445238313706
Coup	Sp8	-0.43949445238313706
Coup	Emx2	0.327899697604874
Emx2	Coup	0.327899697604874
Pax6	Fgf8	0.318902715281109
Fgf8	Pax6	0.318902715281109
Sp8	Emx2	-0.28915441163081895
Emx2	Sp8	-0.28915441163081895
Fgf8	Coup	-0.27790475851047697
Coup	Fgf8	-0.27790475851047697
Pax6	Emx2	-0.155857597981458
Emx2	Pax6	-0.155857597981458
Fgf8	Sp8	0.134810726594706
Sp8	Fgf8	0.134810726594706
Pax6	Sp8	0.0819395949385978
Sp8	Pax6	0.0819395949385978
Fgf8	Emx2	0
Emx2	Fgf8	0
Coup	Pax6	0
Pax6	Coup	0
