Gene1	Gene2	EdgeWeight
Sp8	Emx2	98.8514964946089
Coup	Emx2	79.4652779152864
Fgf8	Emx2	52.3719721993706
Sp8	Fgf8	20.9647574481323
Sp8	Pax6	19.202682238694397
Fgf8	Fgf8	14.385532972005999
Pax6	Emx2	11.998600353372199
Pax6	Coup	11.5709045789274
Fgf8	Coup	11.4259772608406
Coup	Pax6	10.0754866348324
Pax6	Pax6	8.05187226053354
Coup	Fgf8	7.61188579723338
Pax6	Fgf8	7.21925477793772
Pax6	Sp8	6.050877244542121
Emx2	Pax6	5.66340457470559
Coup	Coup	5.56902370254441
Emx2	Sp8	5.52843207990912
Sp8	Coup	4.65788381928847
Fgf8	Pax6	4.61205117589626
Sp8	Sp8	4.49588201225154
Emx2	Coup	4.16110818938757
Coup	Sp8	3.56058729884126
Emx2	Emx2	3.4386684339265097
Fgf8	Sp8	1.65330719595782
Emx2	Fgf8	1.11197560295001
