Gene1	Gene2	EdgeWeight
Emx2	Fgf8	1.4801591485245
Emx2	Coup	1.0
Emx2	Emx2	1.0
Fgf8	Sp8	0.436840407617375
Coup	Sp8	0.20538117787077698
Fgf8	Pax6	0.165501805033466
Sp8	Sp8	0.11217317627090401
Coup	Pax6	0.0795642011654788
Pax6	Fgf8	0.065661836337964
Pax6	Emx2	0.0536500324135414
Sp8	Pax6	0.0377092233543025
Sp8	Fgf8	0.0357112036401107
Sp8	Emx2	0.0299646440041303
Coup	Emx2	0.028479239744804
Fgf8	Emx2	0.0230675861002155
Fgf8	Fgf8	0.0176834533306742
Coup	Fgf8	0.0111493669501488
Emx2	Pax6	0.0
Pax6	Coup	0.0
Fgf8	Coup	0.0
Coup	Coup	0.0
Sp8	Coup	0.0
Pax6	Sp8	0.0
Emx2	Sp8	0.0
Coup	Coup	0.0
Fgf8	Coup	0.0
Emx2	Sp8	0.0
Pax6	Sp8	0.0
Sp8	Coup	0.0
Pax6	Pax6	0.0
Emx2	Pax6	0.0
Pax6	Coup	0.0
Pax6	Pax6	0.0
