Gene1	Gene2	EdgeWeight
Fgf8	Sp8	1.0
Coup	Pax6	1.0
Fgf8	Pax6	1.0
Pax6	Fgf8	1.0
Fgf8	Fgf8	1.0
Coup	Coup	1.0
Pax6	Sp8	1.0
Pax6	Pax6	1.0
Sp8	Sp8	1.0
Pax6	Pax6	1.0
Coup	Coup	1.0
Fgf8	Fgf8	1.0
Sp8	Fgf8	1.0
Pax6	Coup	1.0
Sp8	Emx2	0.999999
Emx2	Pax6	0.9999969999999999
Emx2	Coup	0.9999620000000001
Sp8	Pax6	0.999935
Coup	Emx2	0.996258
Coup	Sp8	0.9649
Coup	Fgf8	0.7653760000000001
Emx2	Sp8	0.625441
Emx2	Emx2	0.52085
Emx2	Fgf8	0.469067
Sp8	Coup	0.442669
Fgf8	Coup	0.35954400000000003
Fgf8	Emx2	0.091861
Pax6	Emx2	0.09006
