Gene1	Gene2	EdgeWeight
Fgf8	Pax6	374.76877016973566
Coup	Sp8	285.4451223283307
Pax6	Fgf8	255.87070760874354
Coup	Fgf8	181.87887596882317
Sp8	Coup	168.8548384458793
Emx2	Coup	160.81088399386758
Sp8	Pax6	146.0196780288674
Sp8	Fgf8	145.48672361417215
Emx2	Sp8	136.66790444361055
Fgf8	Sp8	126.62762914957709
Coup	Emx2	119.39487419956578
Pax6	Sp8	115.25934407848172
Coup	Pax6	113.14694024025452
Sp8	Emx2	111.78290829545642
Fgf8	Coup	111.54482867444365
Pax6	Coup	82.78944888580959
Emx2	Pax6	80.06461156114239
Emx2	Fgf8	67.7636928082612
Pax6	Emx2	58.02948263489189
Fgf8	Emx2	57.792734870085894
