Gene1	Gene2	EdgeWeight
Coup	Emx2	0.9465007603681341
Sp8	Coup	0.903677485211621
Coup	Sp8	0.8753825876370741
Sp8	Emx2	0.869577965076457
Pax6	Fgf8	0.8583143103986651
Fgf8	Pax6	0.768146825831307
Emx2	Coup	0.738862552512494
Pax6	Sp8	0.6845348423751999
Emx2	Sp8	0.6301436977642629
Fgf8	Sp8	0.512796667383263
Pax6	Coup	0.5032907290795631
Sp8	Fgf8	0.49700314987777205
Fgf8	Coup	0.47297982233219
Coup	Fgf8	0.46663293781926707
Coup	Pax6	0.45095155753884203
Sp8	Pax6	0.42951917434271203
Fgf8	Emx2	0.40361278331538597
Pax6	Emx2	0.348111400560398
Emx2	Pax6	0.32731189905089003
Emx2	Fgf8	0.288555619237348
