Gene1	Gene2	EdgeWeight
Pax6	Fgf8	0.12341091824775201
Sp8	Fgf8	0.117740653516454
Emx2	Coup	0.11079099830626199
Coup	Emx2	0.0959179046489539
Fgf8	Sp8	0.0881905698641774
Pax6	Sp8	0.0831626577578526
Fgf8	Pax6	0.0725348889426392
Sp8	Pax6	0.0704694246773363
Sp8	Coup	0.0670913564837676
Fgf8	Coup	0.0587838336939607
Pax6	Coup	0.0574120584077005
Emx2	Pax6	0.0538403432068561
Coup	Pax6	0.0452728759064307
Emx2	Sp8	0.0324647921874927
Coup	Fgf8	0.0324450425176978
Coup	Sp8	0.0315424240862908
Emx2	Fgf8	0.0214093521046919
Fgf8	Emx2	0.0136548332180015
Sp8	Emx2	0.011920727174863
Pax6	Emx2	0.0102665702321516
