Gene1	Gene2	EdgeWeight
Emx2	Sp8	12.6093529770375
Emx2	Fgf8	2.6941321157052402
Coup	Sp8	1.05031485136237
Emx2	Coup	1.0
Pax6	Sp8	1.0
Coup	Coup	0.796242044923106
Fgf8	Sp8	0.7206174214770981
Coup	Emx2	0.25089843805718604
Emx2	Emx2	0.23477935258676
Pax6	Fgf8	0.227428845877515
Fgf8	Emx2	0.0936684657746662
Fgf8	Fgf8	0.0589018624331029
Sp8	Emx2	0.0289017560987245
Pax6	Emx2	0.00699753609596776
Fgf8	Pax6	5.1151931855524e-34
Sp8	Pax6	2.26872130922852e-34
Sp8	Sp8	1.9913727505826197e-34
Emx2	Pax6	1.25344552576771e-34
Coup	Pax6	1.1199871812726298e-34
Coup	Fgf8	8.769356501130209e-35
Sp8	Fgf8	1.9947596250730396e-35
Pax6	Coup	1.00097504050971e-35
Pax6	Pax6	4.838650674535059e-36
Fgf8	Coup	0.0
Sp8	Coup	0.0
Sp8	Coup	0.0
Fgf8	Coup	0.0
