Gene1	Gene2	EdgeWeight
Fgf8	Pax6	0.5970506164680788
Pax6	Fgf8	0.5555169603152863
Coup	Sp8	0.5494986059940711
Sp8	Coup	0.5247078535516286
Sp8	Emx2	0.37672857601761217
Coup	Emx2	0.36121883652958137
Emx2	Coup	0.2732768809960009
Coup	Fgf8	0.2697144223172687
Emx2	Sp8	0.2304860813069523
Coup	Pax6	0.19545068318183784
Sp8	Pax6	0.17700288092948002
Pax6	Emx2	0.1683974895819449
Fgf8	Coup	0.15789470953504905
Fgf8	Sp8	0.14788334085829122
Sp8	Fgf8	0.1478159724251896
Fgf8	Emx2	0.09365509787086124
Pax6	Sp8	0.07213197184068572
Pax6	Coup	0.04412055591732151
Emx2	Pax6	0.030495819420603445
Emx2	Fgf8	0.02695264494225513
