Gene1	Gene2	EdgeWeight
Fgf8	Sp8	1.0
Pax6	Pax6	1.0
Fgf8	Pax6	1.0
Pax6	Fgf8	1.0
Fgf8	Fgf8	1.0
Coup	Coup	1.0
Sp8	Sp8	1.0
Pax6	Pax6	1.0
Fgf8	Fgf8	1.0
Sp8	Fgf8	1.0
Coup	Coup	1.0
Sp8	Emx2	0.9999969999999999
Pax6	Sp8	0.999993
Pax6	Coup	0.99979
Emx2	Pax6	0.9550270000000001
Sp8	Pax6	0.944947
Coup	Sp8	0.891175
Coup	Pax6	0.741885
Emx2	Coup	0.694764
Emx2	Sp8	0.643497
Coup	Emx2	0.6322939999999999
Emx2	Fgf8	0.524413
Emx2	Emx2	0.44406599999999996
Sp8	Coup	0.151296
Coup	Fgf8	0.10554000000000001
Fgf8	Emx2	0.085923
Pax6	Emx2	0.048195
Fgf8	Coup	0.046100999999999996
