Gene1	Gene2	EdgeWeight
Sp8	Coup	1.8323382237677683
Coup	Sp8	1.8323382237677683
Fgf8	Pax6	1.8302158192228881
Pax6	Fgf8	1.8302158192228881
Sp8	Emx2	1.5554358711460836
Emx2	Sp8	1.5554358711460836
Coup	Emx2	1.2941488210443688
Emx2	Coup	1.2941488210443688
Coup	Fgf8	0.9495391803508556
Fgf8	Coup	0.9495391803508556
Sp8	Fgf8	0.9122218595658456
Fgf8	Sp8	0.9122218595658456
Coup	Pax6	0.7144285401286963
Pax6	Coup	0.7144285401286963
Sp8	Pax6	0.3151634571527107
Pax6	Sp8	0.3151634571527107
Fgf8	Emx2	0.2753608864521752
Emx2	Fgf8	0.2753608864521752
Emx2	Pax6	0.25652845858409434
Pax6	Emx2	0.25652845858409434
