Gene1	Gene2	EdgeWeight
Sp8	Sp8	1.0
Coup	Coup	1.0
Fgf8	Fgf8	1.0
Emx2	Emx2	1.0
Pax6	Pax6	1.0
Sp8	Coup	-0.42318637820744204
Coup	Sp8	-0.42318637820744204
Fgf8	Coup	-0.34224360047885805
Coup	Fgf8	-0.34224360047885805
Pax6	Fgf8	0.31584571082151597
Fgf8	Pax6	0.31584571082151597
Emx2	Coup	0.311969818442998
Coup	Emx2	0.311969818442998
Sp8	Emx2	-0.28062129030546995
Emx2	Sp8	-0.28062129030546995
Pax6	Sp8	0.14836855948637198
Sp8	Pax6	0.14836855948637198
Pax6	Emx2	-0.14639687303905
Emx2	Pax6	-0.14639687303905
Sp8	Fgf8	0.12330879081747599
Fgf8	Sp8	0.12330879081747599
Coup	Pax6	0
Pax6	Coup	0
Emx2	Fgf8	0
Fgf8	Emx2	0
